ticker,name,priority,missing_area,missing_items,data_sources,impact
5019.T,出光興産,中,公式照合 / イベント / 質的 / 価格,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務,監視精度に影響
5802.T,住友電工,中,公式照合,公式決算原本照合,補助財務 / 補助イベント反応 / 補助質的 / 価格,監視精度に影響
6301.T,コマツ,中,公式照合 / イベント / 質的 / 価格,公式決算原本照合,補助財務,監視精度に影響
6857.T,アドバンテスト,中,財務,PER / PBR / ROE / 営業利益率 / 今期会社予想 / 前期比増減,公式財務確認 / 6月イベント / チャンネル質的 / 価格,監視精度に影響
6981.T,村田製作所,中,公式照合 / イベント / 質的 / 価格,公式決算原本照合,補助財務,監視精度に影響
8035.T,東京エレクトロン,中,財務,PER / PBR / ROE / 営業利益率 / 今期会社予想 / 前期比増減,公式財務確認 / 6月イベント / チャンネル質的 / 価格,監視精度に影響
7735.T,SCREEN HD,中,公式照合 / イベント / 質的,公式決算原本照合,補助財務 / 価格,監視精度に影響
6723.T,ルネサス,中,公式照合 / イベント / 質的 / 価格,公式決算原本照合 / PER,補助財務,監視精度に影響
6920.T,レーザーテック,中,公式照合 / 質的,公式決算原本照合,補助財務 / 補助イベント反応 / 価格,監視精度に影響
5803.T,フジクラ,中,財務,PER / PBR / ROE / 営業利益率 / 今期会社予想 / 前期比増減,公式財務確認 / 6月イベント / チャンネル質的 / 価格,監視精度に影響
8766.T,東京海上HD,中,公式照合 / イベント / 価格,公式決算原本照合,補助財務 / 補助質的,監視精度に影響
7011.T,三菱重工,中,財務,PER / PBR / ROE / 営業利益率 / 今期会社予想 / 前期比増減,公式財務確認 / 6月イベント / チャンネル質的 / 価格,監視精度に影響
6146.T,ディスコ,中,財務,PER / PBR / ROE / 営業利益率 / 今期会社予想 / 前期比増減,公式財務確認 / 6月イベント / チャンネル質的 / 価格,監視精度に影響
7013.T,IHI,中,公式照合 / イベント / 質的 / 価格,公式決算原本照合,補助財務,監視精度に影響
6954.T,ファナック,中,公式照合 / イベント / 価格,公式決算原本照合,補助財務 / チャンネル質的,監視精度に影響
9984.T,ソフトバンクG,中,公式照合 / 質的,公式決算原本照合 / PER,補助財務 / 補助イベント反応 / 価格,監視精度に影響
1802.T,大林組,中,公式照合 / イベント / 価格,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務 / 補助質的,監視精度に影響
9434.T,ソフトバンク,中,公式照合 / イベント / 質的 / 価格,公式決算原本照合,補助財務,監視精度に影響
9432.T,NTT,中,公式照合 / イベント / 質的 / 価格,公式決算原本照合,補助財務,監視精度に影響
1801.T,大成建設,中,公式照合 / イベント / 質的 / 価格,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務,監視精度に影響
9433.T,KDDI,中,公式照合 / 価格,公式決算原本照合 / PER,補助財務 / 補助イベント反応 / 補助質的,監視精度に影響
6367.T,ダイキン工業,中,公式照合 / イベント / 質的,公式決算原本照合,補助財務 / 価格,監視精度に影響
1803.T,清水建設,中,公式照合 / イベント / 質的 / 価格,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務,監視精度に影響
6861.T,キーエンス,中,公式照合 / イベント / 価格,公式決算原本照合 / PER,補助財務 / チャンネル質的,監視精度に影響
3407.T,旭化成,中,公式照合 / イベント / 質的 / 価格,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務,監視精度に影響
6098.T,リクルートHD,中,公式照合 / イベント / 質的,公式決算原本照合,補助財務 / 価格,監視精度に影響
7269.T,スズキ,中,公式照合 / イベント / 質的 / 価格,公式決算原本照合,補助財務,監視精度に影響
4188.T,三菱ケミカルG,中,公式照合 / イベント / 価格,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務 / 補助質的,監視精度に影響
4502.T,武田薬品,中,公式照合 / イベント / 質的,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務 / 価格,監視精度に影響
6701.T,NEC,中,公式照合 / イベント / 価格,公式決算原本照合 / PER,補助財務 / チャンネル質的,監視精度に影響
6201.T,豊田自動織機,中,公式照合 / イベント / 質的 / 価格,公式決算原本照合 / PER,補助財務,監視精度に影響
5108.T,ブリヂストン,中,公式照合 / イベント / 質的 / 価格,公式決算原本照合 / 売上前年比,補助財務,監視精度に影響
2503.T,キリンHD,中,公式照合 / イベント / 質的 / 価格,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務,監視精度に影響
7202.T,いすゞ自動車,中,公式照合 / イベント / 質的 / 価格,公式決算原本照合,補助財務,監視精度に影響
6702.T,富士通,中,公式照合 / イベント / 価格,公式決算原本照合,補助財務 / チャンネル質的,監視精度に影響
4519.T,中外製薬,中,公式照合 / 価格,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務 / 補助イベント反応 / 補助質的,監視精度に影響
1925.T,大和ハウス工業,中,公式照合 / イベント / 質的 / 価格,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務,監視精度に影響
9020.T,JR東日本,中,公式照合 / イベント / 質的 / 価格,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務,監視精度に影響
3402.T,東レ,中,公式照合 / イベント / 質的 / 価格,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務,監視精度に影響
4503.T,アステラス製薬,中,公式照合 / イベント / 質的 / 価格,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務,監視精度に影響
6326.T,クボタ,中,公式照合 / イベント / 質的 / 価格,公式決算原本照合,補助財務,監視精度に影響
7203.T,トヨタ自動車,中,公式照合 / イベント / 質的,公式決算原本照合,補助財務 / 価格,監視精度に影響
9766.T,コナミグループ,中,公式照合 / イベント / 質的 / 価格,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務,監視精度に影響
7267.T,ホンダ,中,公式照合 / イベント / 質的 / 価格,公式決算原本照合,補助財務,監視精度に影響
7532.T,パン・パシフィック,中,公式照合 / イベント / 質的 / 価格,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務,監視精度に影響
6526.T,ソシオネクスト,中,公式照合 / イベント / 質的 / 価格,公式決算原本照合,補助財務,監視精度に影響
9697.T,カプコン,中,公式照合 / イベント / 質的 / 価格,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務,監視精度に影響
4005.T,住友化学,中,公式照合 / イベント / 質的 / 価格,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務,監視精度に影響
6758.T,ソニーグループ,中,公式照合 / イベント / 質的,公式決算原本照合,補助財務 / 価格,監視精度に影響
9202.T,ANA HD,中,公式照合 / イベント / 質的 / 価格,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務,監視精度に影響
6273.T,SMC,中,公式照合 / イベント / 質的 / 価格,公式決算原本照合,補助財務,監視精度に影響
6902.T,デンソー,中,公式照合 / イベント / 質的 / 価格,公式決算原本照合,補助財務,監視精度に影響
2801.T,キッコーマン,中,公式照合 / イベント / 価格,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務 / 補助質的,監視精度に影響
4452.T,花王,中,公式照合 / イベント / 価格,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務 / 補助質的,監視精度に影響
6645.T,オムロン,中,公式照合 / イベント / 質的 / 価格,公式決算原本照合,補助財務,監視精度に影響
9022.T,JR東海,中,公式照合 / イベント / 質的 / 価格,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務,監視精度に影響
2432.T,ディー・エヌ・エー,中,公式照合 / イベント / 質的 / 価格,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務,監視精度に影響
7832.T,バンダイナムコHD,中,公式照合 / イベント / 質的 / 価格,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務,監視精度に影響
4385.T,メルカリ,中,公式照合 / 質的 / 価格,公式決算原本照合 / PER,補助財務 / 補助イベント反応,監視精度に影響
2502.T,アサヒGHD,中,公式照合 / イベント / 質的 / 価格,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務,監視精度に影響
7270.T,SUBARU,中,公式照合 / イベント / 質的 / 価格,公式決算原本照合,補助財務,監視精度に影響
4543.T,テルモ,中,公式照合 / イベント / 質的 / 価格,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務,監視精度に影響
9021.T,JR西日本,中,公式照合 / イベント / 質的 / 価格,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務,監視精度に影響
7974.T,任天堂,中,公式照合 / 質的,公式決算原本照合,補助財務 / 補助イベント反応 / 価格,監視精度に影響
4911.T,資生堂,中,公式照合 / イベント / 質的 / 価格,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務,監視精度に影響
8113.T,ユニ・チャーム,中,公式照合 / イベント / 質的 / 価格,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務,監視精度に影響
4568.T,第一三共,中,公式照合 / イベント / 質的 / 価格,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務,監視精度に影響
4751.T,サイバーエージェント,中,公式照合 / イベント / 質的 / 価格,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務,監視精度に影響
4523.T,エーザイ,中,公式照合 / イベント / 質的 / 価格,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務,監視精度に影響
3092.T,ZOZO,中,公式照合 / イベント / 質的 / 価格,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務,監視精度に影響
3659.T,ネクソン,中,公式照合 / イベント / 質的 / 価格,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務,監視精度に影響
6594.T,ニデック,中,公式照合 / 質的 / 価格,公式決算原本照合 / PER,補助財務 / 補助イベント反応,監視精度に影響
9843.T,ニトリHD,中,公式照合 / イベント / 質的 / 価格,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務,監視精度に影響
4661.T,オリエンタルランド,中,公式照合 / イベント / 質的 / 価格,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務,監視精度に影響
4755.T,楽天グループ,中,公式照合 / イベント / 質的 / 価格,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務,監視精度に影響
4689.T,LINEヤフー,中,公式照合 / イベント / 質的 / 価格,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務,監視精度に影響
6869.T,シスメックス,中,公式照合 / イベント / 質的 / 価格,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務,監視精度に影響
2413.T,エムスリー,中,公式照合 / イベント / 質的 / 価格,公式決算原本照合 / PER / PBR / ROE / 売上前年比 / 利益前年比,補助財務,監視精度に影響
