supplement_rank,updated_at,ticker,company,sector,theme,source_rank,universe_score_100,supplement_score,growth_quality_score,downside_safety_score,valuation_score,medium_trend_score,data_confidence,per,pbr,roe_pct,revenue_yoy_pct,profit_yoy_pct,ret1y_pct,max_drawdown60_pct,supplement_status,hard_gate,official_source_status,evidence_status,note
11,2026/05/25 18:50,6971.T,京セラ,電子部品,部品・通信,24,55,56.1,46.3,56.5,44.4,79,90,27.62,1.17,4.3,2.8,332.8,69.7,-16,要確認,ROE低め 4.3%,公式IR未接続,時流テーマ資料未接続,数値不足またはハードゲートにより、補充候補には上げない。
12,2026/05/25 18:50,9433.T,KDDI,通信,守り・通信インフラ,35,46,55,33.5,69,64.3,51.4,80,,2.06,13.99,4.1,1.1,8.4,-8.9,要確認,未取得: PER,公式IR未接続,時流テーマ資料未接続,数値不足またはハードゲートにより、補充候補には上げない。
13,2026/05/25 18:50,8053.T,住友商事,商社,資源・非資源,57,15,53.6,0,49.6,0,77.2,40,,,,,,92.3,-17.9,要確認,未取得: PER/PBR/ROE/売上前年比/利益前年比,公式IR未接続,時流テーマ資料未接続,数値不足またはハードゲートにより、補充候補には上げない。
14,2026/05/25 18:50,4502.T,武田薬品,医薬品,大型医薬・配当,70,9,53.4,0,60.2,0,49.6,40,,,,,,26.5,-12.4,要確認,未取得: PER/PBR/ROE/売上前年比/利益前年比,公式IR未接続,時流テーマ資料未接続,数値不足またはハードゲートにより、補充候補には上げない。
15,2026/05/25 18:50,4755.T,楽天グループ,ネット/通信,EC・金融・通信,79,5,53.4,0,68.8,0,28.2,40,,,,,,-7.9,-14.7,要確認,未取得: PER/PBR/ROE/売上前年比/利益前年比,公式IR未接続,時流テーマ資料未接続,数値不足またはハードゲートにより、補充候補には上げない。
16,2026/05/25 18:50,6367.T,ダイキン工業,空調,AIデータセンター冷却・空調,22,56,52.6,25.5,70.2,44,73.7,100,24.97,2.14,9.1,5.5,3.3,49.6,-9.3,予備検証候補,なし,公式IR/PDF取得済み,時流テーマ資料あり,決算後反応を未接続のため購入判断には使わず、6月テスト候補の補充枠として扱う。
17,2026/05/25 18:50,9020.T,JR東日本,鉄道,交通・インバウンド,78,6,52.5,0,59,0,48.8,40,,,,,,20.8,-12.7,要確認,未取得: PER/PBR/ROE/売上前年比/利益前年比,公式IR未接続,時流テーマ資料未接続,数値不足またはハードゲートにより、補充候補には上げない。
18,2026/05/25 18:50,9766.T,コナミグループ,ゲーム/IP,ゲーム・スポーツ,74,7,51.6,0,59.1,0,44.4,40,,,,,,3.7,-12,要確認,未取得: PER/PBR/ROE/売上前年比/利益前年比,公式IR未接続,時流テーマ資料未接続,数値不足またはハードゲートにより、補充候補には上げない。
19,2026/05/25 18:50,4503.T,アステラス製薬,医薬品,医薬・パイプライン,65,12,51.5,0,52.5,0,60.7,40,,,,,,66.6,-17,要確認,未取得: PER/PBR/ROE/売上前年比/利益前年比,公式IR未接続,時流テーマ資料未接続,数値不足またはハードゲートにより、補充候補には上げない。
20,2026/05/25 18:50,2432.T,ディー・エヌ・エー,ゲーム/IT,ゲーム・スポーツ,73,7,50.3,0,56.2,0,45.9,40,,,,,,-4.1,-12.1,要確認,未取得: PER/PBR/ROE/売上前年比/利益前年比,公式IR未接続,時流テーマ資料未接続,数値不足またはハードゲートにより、補充候補には上げない。
21,2026/05/25 18:50,6902.T,デンソー,自動車部品,車載・電動化,29,52,50,38.2,36.9,78.4,27.4,90,13.06,0.91,8.48,5.3,6.5,-3.3,-19.9,要確認,なし,公式IR未接続,時流テーマ資料未接続,数値不足またはハードゲートにより、補充候補には上げない。
22,2026/05/25 18:50,4543.T,テルモ,医療機器,医療機器,67,11,49.6,0,55.1,0,45.5,40,,,,,,-13.5,-13.6,要確認,未取得: PER/PBR/ROE/売上前年比/利益前年比,公式IR未接続,時流テーマ資料未接続,数値不足またはハードゲートにより、補充候補には上げない。
23,2026/05/25 18:50,7013.T,IHI,重工/防衛,航空・防衛,36,45,49.4,57.7,23.2,52.6,38.5,90,16.88,4.27,28.39,1,15.3,36.6,-42.3,要確認,60日下落大 -42.3%,公式IR未接続,時流テーマ資料未接続,数値不足またはハードゲートにより、補充候補には上げない。
24,2026/05/25 18:50,8035.T,東京エレクトロン,半導体装置,半導体サイクル,16,60,49.2,41.8,49,33.3,76.5,80,,10.8,29.56,0.5,-10.4,108.9,-19.5,要確認,未取得: PER / PBR高め 10.8倍 / 利益減少 -10.4%,公式IR未接続,時流テーマ資料未接続,数値不足またはハードゲートにより、補充候補には上げない。
25,2026/05/25 18:50,4689.T,LINEヤフー,ネット,広告・EC,82,4,48.9,0,58.1,0,34.9,40,,,,,,-19.6,-9.8,要確認,未取得: PER/PBR/ROE/売上前年比/利益前年比,公式IR未接続,時流テーマ資料未接続,数値不足またはハードゲートにより、補充候補には上げない。
26,2026/05/25 18:50,2801.T,キッコーマン,食品,海外食品,72,7,48.8,0,53.4,0,46,40,,,,,,4.4,-14.3,要確認,未取得: PER/PBR/ROE/売上前年比/利益前年比,公式IR未接続,時流テーマ資料未接続,数値不足またはハードゲートにより、補充候補には上げない。
27,2026/05/25 18:50,6201.T,豊田自動織機,機械/車載,物流・車載,50,32,48.2,12,70.1,64.9,54.6,80,,0.91,3.83,7,-38.2,14.4,-0.9,要確認,未取得: PER / ROE低め 3.83% / 利益減少 -38.2%,公式IR未接続,時流テーマ資料未接続,数値不足またはハードゲートにより、補充候補には上げない。
28,2026/05/25 18:50,4005.T,住友化学,化学,石化・農薬,59,15,47.1,0,39.9,0,72,40,,,,,,76.1,-22.4,要確認,未取得: PER/PBR/ROE/売上前年比/利益前年比,公式IR未接続,時流テーマ資料未接続,数値不足またはハードゲートにより、補充候補には上げない。
29,2026/05/25 18:50,8001.T,伊藤忠商事,商社,資源・非資源,41,40,47,17.7,53.4,68.2,47.8,90,14.35,2.07,14.59,0.7,-39.2,28.5,-15.2,要確認,利益減少 -39.2%,公式IR未接続,時流テーマ資料未接続,数値不足またはハードゲートにより、補充候補には上げない。
30,2026/05/25 18:50,3407.T,旭化成,素材/住宅,素材・住宅,64,12,46.7,0,41,0,67.7,40,,,,,,71.5,-21.8,要確認,未取得: PER/PBR/ROE/売上前年比/利益前年比,公式IR未接続,時流テーマ資料未接続,数値不足またはハードゲートにより、補充候補には上げない。
31,2026/05/25 18:50,7269.T,スズキ,自動車,インド・小型車,33,49,46.5,36.4,19.8,85.4,27.2,90,9.06,1.02,13.83,8,-3.1,-0.7,-27,要確認,60日下落大 -27%,公式IR未接続,時流テーマ資料未接続,数値不足またはハードゲートにより、補充候補には上げない。
32,2026/05/25 18:50,7735.T,SCREEN HD,半導体装置,洗浄装置,8,66,46.4,30.6,39.1,48.4,72.3,90,18.64,4.21,20.28,-3.1,-9.7,106.9,-24.5,要確認,なし,公式IR未接続,時流テーマ資料未接続,数値不足またはハードゲートにより、補充候補には上げない。
33,2026/05/25 18:50,4911.T,資生堂,化粧品,中国・免税,66,12,45.9,0,47.8,0,46.9,40,,,,,,22.2,-20.6,要確認,未取得: PER/PBR/ROE/売上前年比/利益前年比,公式IR未接続,時流テーマ資料未接続,数値不足またはハードゲートにより、補充候補には上げない。
34,2026/05/25 18:50,5019.T,出光興産,エネルギー,原油・化学,63,12,45.8,0,42.2,0,60.8,40,,,,,,55.6,-20.7,要確認,未取得: PER/PBR/ROE/売上前年比/利益前年比,公式IR未接続,時流テーマ資料未接続,数値不足またはハードゲートにより、補充候補には上げない。
35,2026/05/25 18:50,4751.T,サイバーエージェント,ネット広告,広告・ゲーム,83,4,45.5,0,51.3,0,36.5,40,,,,,,-5.7,-13.9,要確認,未取得: PER/PBR/ROE/売上前年比/利益前年比,公式IR未接続,時流テーマ資料未接続,数値不足またはハードゲートにより、補充候補には上げない。
36,2026/05/25 18:50,6861.T,キーエンス,FA,高収益・自動化,30,50,45.4,43.6,45.3,14.9,78.4,80,,5.4,13.53,10.4,8.4,24.4,-18.3,要確認,未取得: PER,公式IR未接続,時流テーマ資料未接続,数値不足またはハードゲートにより、補充候補には上げない。
37,2026/05/25 18:50,8031.T,三井物産,商社,資源・還元,38,42,45.3,10.4,53.2,61.7,70.2,90,17.54,1.84,10.22,-4.6,-4.2,90.6,-16.5,要確認,なし,公式IR未接続,時流テーマ資料未接続,数値不足またはハードゲートにより、補充候補には上げない。
38,2026/05/25 18:50,5108.T,ブリヂストン,タイヤ,タイヤ・価格転嫁,43,37,45.3,9.8,52.4,77.2,43.2,90,12.53,1.15,8.85,0,-14,10.1,-14.9,要確認,利益減少 -14%,公式IR未接続,時流テーマ資料未接続,数値不足またはハードゲートにより、補充候補には上げない。
39,2026/05/25 18:50,1605.T,INPEX,エネルギー,原油・ガス,58,15,45.3,0,37.8,0,69.4,40,,,,,,102.4,-22.7,要確認,未取得: PER/PBR/ROE/売上前年比/利益前年比,公式IR未接続,時流テーマ資料未接続,数値不足またはハードゲートにより、補充候補には上げない。
40,2026/05/25 18:50,8058.T,三菱商事,商社,資源・還元,37,43,45,17.5,50.7,57.3,77.2,70,18.06,2.1,8.51,,,84.9,-17.6,要確認,未取得: 売上前年比/利益前年比,公式IR未接続,時流テーマ資料未接続,数値不足またはハードゲートにより、補充候補には上げない。
41,2026/05/25 18:50,4452.T,花王,生活必需品,日用品・値上げ,88,1,44.6,0,51.3,0,32.5,40,,,,,,-6,-13.9,要確認,未取得: PER/PBR/ROE/売上前年比/利益前年比,公式IR未接続,時流テーマ資料未接続,数値不足またはハードゲートにより、補充候補には上げない。
42,2026/05/25 18:50,2502.T,アサヒGHD,飲料,酒類・海外,87,1,44.3,0,52.8,0,27.7,40,,,,,,-16,-12.3,要確認,未取得: PER/PBR/ROE/売上前年比/利益前年比,公式IR未接続,時流テーマ資料未接続,数値不足またはハードゲートにより、補充候補には上げない。
43,2026/05/25 18:50,4523.T,エーザイ,医薬品,認知症薬,75,6,44,0,48.9,0,35.6,40,,,,,,7.2,-19,要確認,未取得: PER/PBR/ROE/売上前年比/利益前年比,公式IR未接続,時流テーマ資料未接続,数値不足またはハードゲートにより、補充候補には上げない。
44,2026/05/25 18:50,6954.T,ファナック,FA,ロボット・工作機械,28,52,43.4,42.6,34.6,12.7,82.7,90,38.82,3.85,9.28,7.6,15.7,96.1,-25.5,要確認,60日下落大 -25.5%,公式IR未接続,時流テーマ資料未接続,数値不足またはハードゲートにより、補充候補には上げない。
45,2026/05/25 18:50,6758.T,ソニーグループ,エンタメ/半導体,ゲーム・音楽・画像センサー,42,38,43.2,22.7,50.7,47.8,39.8,90,18.12,2.59,-4.01,3.7,2.9,-3.1,-14.5,要確認,ROE低め -4.01%,公式IR未接続,時流テーマ資料未接続,数値不足またはハードゲートにより、補充候補には上げない。
46,2026/05/25 18:50,6645.T,オムロン,制御機器,FA・ヘルスケア,25,54,43,33.2,35.8,31.7,70.8,90,38.7,1.27,3.54,-4.3,10.9,40,-22.7,要確認,ROE低め 3.54%,公式IR未接続,時流テーマ資料未接続,数値不足またはハードゲートにより、補充候補には上げない。
47,2026/05/25 18:50,6526.T,ソシオネクスト,半導体,ASIC・AI半導体,49,34,42.9,13.3,74.1,16.6,74.2,90,46.44,3.49,6.47,6.5,-50.6,38.6,-15.3,要確認,PER高め 46.44倍 / 利益減少 -50.6%,公式IR未接続,時流テーマ資料未接続,数値不足またはハードゲートにより、補充候補には上げない。
48,2026/05/25 18:50,7011.T,三菱重工,重工/防衛,防衛・電力・宇宙,31,50,42.6,50.1,37.9,13.1,39.3,90,34.66,4.26,12.22,-1.1,26.7,30.7,-24.5,要確認,なし,公式IR未接続,時流テーマ資料未接続,数値不足またはハードゲートにより、補充候補には上げない。
49,2026/05/25 18:50,7202.T,いすゞ自動車,商用車,商用車・新興国,47,35,41.5,18.1,21.9,84.3,38.6,90,9.47,1.02,9.46,7.5,-11.2,14.9,-27.3,要確認,利益減少 -11.2% / 60日下落大 -27.3%,公式IR未接続,時流テーマ資料未接続,数値不足またはハードゲートにより、補充候補には上げない。
50,2026/05/25 18:50,1812.T,鹿島,建設,インフラ・防災,68,10,41.4,0,38.9,0,49.2,40,,,,,,57.7,-22.1,要確認,未取得: PER/PBR/ROE/売上前年比/利益前年比,公式IR未接続,時流テーマ資料未接続,数値不足またはハードゲートにより、補充候補には上げない。
51,2026/05/25 18:50,6301.T,コマツ,建機,資源・インフラ,40,40,41.3,13.5,37.9,65.1,50.2,90,17.81,1.61,11.26,0.7,-13.7,44.3,-22,要確認,利益減少 -13.7%,公式IR未接続,時流テーマ資料未接続,数値不足またはハードゲートにより、補充候補には上げない。
52,2026/05/25 18:50,7974.T,任天堂,ゲーム,新ハード・IP,44,36,41.2,59.9,7.8,41.2,10.6,90,27.24,2.86,14.94,98.6,27.5,-35.1,-32.8,要確認,60日下落大 -32.8%,公式IR未接続,時流テーマ資料未接続,数値不足またはハードゲートにより、補充候補には上げない。
53,2026/05/25 18:50,6326.T,クボタ,機械,農機・水インフラ,46,35,40.9,8,36.8,67.8,63.6,90,14.74,1.15,7.32,0.1,-15.9,66.8,-23.6,要確認,利益減少 -15.9%,公式IR未接続,時流テーマ資料未接続,数値不足またはハードゲートにより、補充候補には上げない。
54,2026/05/25 18:50,6981.T,村田製作所,電子部品,MLCC・スマホ/車載,21,58,39.8,30.9,46.6,9.1,65.1,90,41.64,4.49,8.83,5,0.8,223.7,-19.3,要確認,1年上昇率過熱 223.7%,公式IR未接続,時流テーマ資料未接続,数値不足またはハードゲートにより、補充候補には上げない。
55,2026/05/25 18:50,7203.T,トヨタ自動車,自動車,世界販売・円安・HV/EV,48,34,39.4,16.9,21.2,77.6,36.5,90,12.99,0.98,10.15,5.5,-21.5,12.5,-27.9,要確認,利益減少 -21.5% / 60日下落大 -27.9%,公式IR未接続,時流テーマ資料未接続,数値不足またはハードゲートにより、補充候補には上げない。
56,2026/05/25 18:50,6273.T,SMC,FA,空圧機器・自動化,45,36,38.9,21.6,32.2,47,49.2,90,23.84,1.92,8.28,6.4,0.2,17.7,-23.7,要確認,なし,公式IR未接続,時流テーマ資料未接続,数値不足またはハードゲートにより、補充候補には上げない。
57,2026/05/25 18:50,7532.T,パン・パシフィック,小売,ディスカウント・インバウンド,90,1,38.8,0,41.1,0,31.8,40,,,,,,-4.7,-18.9,要確認,未取得: PER/PBR/ROE/売上前年比/利益前年比,公式IR未接続,時流テーマ資料未接続,数値不足またはハードゲートにより、補充候補には上げない。
58,2026/05/25 18:50,7832.T,バンダイナムコHD,ゲーム/IP,IP・ゲーム,92,1,38.5,0,44.2,0,22.8,40,,,,,,-19.3,-15.4,要確認,未取得: PER/PBR/ROE/売上前年比/利益前年比,公式IR未接続,時流テーマ資料未接続,数値不足またはハードゲートにより、補充候補には上げない。
59,2026/05/25 18:50,4188.T,三菱ケミカルG,化学,素材・石化,69,9,37.9,0,31.2,0,52.5,40,,,,,,36.3,-25.4,要確認,未取得: PER/PBR/ROE/売上前年比/利益前年比 / 60日下落大 -25.4%,公式IR未接続,時流テーマ資料未接続,数値不足またはハードゲートにより、補充候補には上げない。
60,2026/05/25 18:50,3402.T,東レ,素材,炭素繊維・繊維,71,7,37.9,0,35.6,0,41.4,40,,,,,,11.9,-21.7,要確認,未取得: PER/PBR/ROE/売上前年比/利益前年比,公式IR未接続,時流テーマ資料未接続,数値不足またはハードゲートにより、補充候補には上げない。
61,2026/05/25 18:50,8113.T,ユニ・チャーム,生活必需品,アジア・衛生用品,89,1,37.2,0,40.2,0,26.9,40,,,,,,-17.2,-17.2,要確認,未取得: PER/PBR/ROE/売上前年比/利益前年比,公式IR未接続,時流テーマ資料未接続,数値不足またはハードゲートにより、補充候補には上げない。
62,2026/05/25 18:50,1802.T,大林組,建設,インフラ・防災,76,6,36.5,0,30.3,0,48.6,40,,,,,,51.4,-26.2,要確認,未取得: PER/PBR/ROE/売上前年比/利益前年比 / 60日下落大 -26.2%,公式IR未接続,時流テーマ資料未接続,数値不足またはハードゲートにより、補充候補には上げない。
63,2026/05/25 18:50,7267.T,ホンダ,自動車,二輪・自動車,51,30,35.8,6.9,34,64,31.2,90,20.63,0.45,-3.51,0.5,-134.1,-4,-21,要確認,ROE低め -3.51% / 利益減少 -134.1%,公式IR未接続,時流テーマ資料未接続,数値不足またはハードゲートにより、補充候補には上げない。
64,2026/05/25 18:50,6869.T,シスメックス,医療機器,検査機器,81,4,35.5,0,39.3,0,21.6,40,,,,,,-43.9,-16.2,要確認,未取得: PER/PBR/ROE/売上前年比/利益前年比,公式IR未接続,時流テーマ資料未接続,数値不足またはハードゲートにより、補充候補には上げない。
65,2026/05/25 18:50,1803.T,清水建設,建設,インフラ・防災,77,6,35.3,0,27.6,0,50.2,40,,,,,,64.7,-27.6,要確認,未取得: PER/PBR/ROE/売上前年比/利益前年比 / 60日下落大 -27.6%,公式IR未接続,時流テーマ資料未接続,数値不足またはハードゲートにより、補充候補には上げない。
66,2026/05/25 18:50,9021.T,JR西日本,鉄道,交通・インバウンド,94,1,34.6,0,37.6,0,21.8,40,,,,,,-11.7,-19.4,要確認,未取得: PER/PBR/ROE/売上前年比/利益前年比,公式IR未接続,時流テーマ資料未接続,数値不足またはハードゲートにより、補充候補には上げない。
67,2026/05/25 18:50,7270.T,SUBARU,自動車,米国販売,52,29,34.3,7.1,21,75.6,24,90,13.66,0.64,3.31,2.1,-90.1,-6.9,-25.9,要確認,ROE低め 3.31% / 利益減少 -90.1% / 60日下落大 -25.9%,公式IR未接続,時流テーマ資料未接続,数値不足またはハードゲートにより、補充候補には上げない。
68,2026/05/25 18:50,1801.T,大成建設,建設,インフラ・防災,80,5,33.7,0,24.5,0,50.4,40,,,,,,71.8,-33.4,要確認,未取得: PER/PBR/ROE/売上前年比/利益前年比 / 60日下落大 -33.4%,公式IR未接続,時流テーマ資料未接続,数値不足またはハードゲートにより、補充候補には上げない。
69,2026/05/25 18:50,3092.T,ZOZO,EC,アパレルEC,96,1,33.1,0,37.8,0,14.6,40,,,,,,-35,-16.4,要確認,未取得: PER/PBR/ROE/売上前年比/利益前年比,公式IR未接続,時流テーマ資料未接続,数値不足またはハードゲートにより、補充候補には上げない。
70,2026/05/25 18:50,1925.T,大和ハウス工業,住宅/建設,住宅・物流施設,93,1,32.8,0,34,0,22.5,40,,,,,,-9.9,-20.8,要確認,未取得: PER/PBR/ROE/売上前年比/利益前年比,公式IR未接続,時流テーマ資料未接続,数値不足またはハードゲートにより、補充候補には上げない。
71,2026/05/25 18:50,9202.T,ANA HD,空運,旅行・インバウンド,95,1,31.3,0,27.9,0,31.1,40,,,,,,-2.4,-23.6,要確認,未取得: PER/PBR/ROE/売上前年比/利益前年比,公式IR未接続,時流テーマ資料未接続,数値不足またはハードゲートにより、補充候補には上げない。
72,2026/05/25 18:50,6723.T,ルネサス,半導体,車載・産業半導体,53,21,30.9,3.1,25.3,35.2,84.3,80,,2.78,-2.08,-2,-9.8,120.2,-28.2,要確認,未取得: PER / ROE低め -2.08% / 60日下落大 -28.2%,公式IR未接続,時流テーマ資料未接続,数値不足またはハードゲートにより、補充候補には上げない。
73,2026/05/25 18:50,9697.T,カプコン,ゲーム,ゲームIP,84,4,30.9,0,31.8,0,19.5,40,,,,,,-21.3,-18.8,要確認,未取得: PER/PBR/ROE/売上前年比/利益前年比,公式IR未接続,時流テーマ資料未接続,数値不足またはハードゲートにより、補充候補には上げない。
74,2026/05/25 18:50,9022.T,JR東海,鉄道,新幹線・リニア,98,0,30.3,0,25,0,33.7,40,,,,,,16.1,-26.1,要確認,未取得: PER/PBR/ROE/売上前年比/利益前年比 / 60日下落大 -26.1%,公式IR未接続,時流テーマ資料未接続,数値不足またはハードゲートにより、補充候補には上げない。
75,2026/05/25 18:50,4568.T,第一三共,医薬品,がん領域,86,1,30.1,0,32.8,0,13.4,40,,,,,,-28.8,-18.4,要確認,未取得: PER/PBR/ROE/売上前年比/利益前年比,公式IR未接続,時流テーマ資料未接続,数値不足またはハードゲートにより、補充候補には上げない。
76,2026/05/25 18:50,4519.T,中外製薬,医薬品,医薬・ロシュ連携,97,0,27.3,0,17.4,0,39.2,40,,,,,,7,-28.8,要確認,未取得: PER/PBR/ROE/売上前年比/利益前年比 / 60日下落大 -28.8%,公式IR未接続,時流テーマ資料未接続,数値不足またはハードゲートにより、補充候補には上げない。
77,2026/05/25 18:50,2413.T,エムスリー,医療IT,医療DX,91,1,22.7,0,20,0,12.3,40,,,,,,-28.5,-23.5,要確認,未取得: PER/PBR/ROE/売上前年比/利益前年比,公式IR未接続,時流テーマ資料未接続,数値不足またはハードゲートにより、補充候補には上げない。
78,2026/05/25 18:50,4661.T,オリエンタルランド,レジャー,テーマパーク,85,3,21.8,0,20,0,8.3,40,,,,,,-32.3,-24.7,要確認,未取得: PER/PBR/ROE/売上前年比/利益前年比,公式IR未接続,時流テーマ資料未接続,数値不足またはハードゲートにより、補充候補には上げない。
79,2026/05/25 18:50,3659.T,ネクソン,ゲーム,オンラインゲーム,100,-3,19.8,0,11.1,0,21.6,40,,,,,,-10.7,-34,要確認,未取得: PER/PBR/ROE/売上前年比/利益前年比 / 60日下落大 -34%,公式IR未接続,時流テーマ資料未接続,数値不足またはハードゲートにより、補充候補には上げない。
80,2026/05/25 18:50,9843.T,ニトリHD,小売,家具・円高メリット,99,-3,17.7,0,7.8,0,20.3,40,,,,,,-18.9,-33.2,要確認,未取得: PER/PBR/ROE/売上前年比/利益前年比 / 60日下落大 -33.2%,公式IR未接続,時流テーマ資料未接続,数値不足またはハードゲートにより、補充候補には上げない。
