作成時刻,キュー種別,優先度,ticker,銘柄,役割,入力項目,現状,確認先,合格条件,反映条件,スコア反映,禁止事項
2026/6/16 2:47:38,財務入力,中,6857.T,アドバンテスト,条件付き候補,今期会社予想,未確認,アドバンテストIR/決算資料,今期会社予想の売上・営業利益・純利益・EPSの有無を確認する。,公式値・出所・資料日付・確認区分が揃った場合のみ反映,監視・除外解除の検討材料,推定値、説明不能な転記値、出所のないPER/PBR/ROEをスコアに混ぜない
2026/6/16 2:47:38,財務入力,中,6857.T,アドバンテスト,条件付き候補,前期比増減,未確認,アドバンテストIR/決算資料,売上・営業利益・EPSの前年比を、同じ会計基準で確認する。,公式値・出所・資料日付・確認区分が揃った場合のみ反映,監視・除外解除の検討材料,推定値、説明不能な転記値、出所のないPER/PBR/ROEをスコアに混ぜない
2026/6/16 2:47:38,財務入力,中,6857.T,アドバンテスト,条件付き候補,受注またはセグメント寄与,未確認,アドバンテストIR/決算資料,候補テーマが全社業績へどれだけ効くか、受注・セグメント売上・利益で確認する。,公式値・出所・資料日付・確認区分が揃った場合のみ反映,監視・除外解除の検討材料,推定値、説明不能な転記値、出所のないPER/PBR/ROEをスコアに混ぜない
2026/6/16 2:47:38,財務入力,中,6857.T,アドバンテスト,条件付き候補,高PER・高PBRを説明できる成長根拠,未確認,アドバンテストIR/決算資料,EPSまたは会社予想EPS、株価基準日、計算式、出所を揃える。実績PERと予想PERを混同しない。,公式値・出所・資料日付・確認区分が揃った場合のみ反映,監視・除外解除の検討材料,推定値、説明不能な転記値、出所のないPER/PBR/ROEをスコアに混ぜない
2026/6/16 2:47:38,財務入力,中,8035.T,東京エレクトロン,条件付き候補,PER,未確認,東京エレクトロンIR/決算短信,EPSまたは会社予想EPS、株価基準日、計算式、出所を揃える。実績PERと予想PERを混同しない。,公式値・出所・資料日付・確認区分が揃った場合のみ反映,監視・除外解除の検討材料,推定値、説明不能な転記値、出所のないPER/PBR/ROEをスコアに混ぜない
2026/6/16 2:47:38,財務入力,中,8035.T,東京エレクトロン,条件付き候補,PBR,未確認,東京エレクトロンIR/決算短信,BPSまたは自己資本、株価基準日、計算式、出所を揃える。,公式値・出所・資料日付・確認区分が揃った場合のみ反映,監視・除外解除の検討材料,推定値、説明不能な転記値、出所のないPER/PBR/ROEをスコアに混ぜない
2026/6/16 2:47:38,財務入力,中,8035.T,東京エレクトロン,条件付き候補,ROE,未確認,東京エレクトロンIR/決算短信,親会社株主に帰属する利益と自己資本、または会社公表ROEの出所を記録する。,公式値・出所・資料日付・確認区分が揃った場合のみ反映,監視・除外解除の検討材料,推定値、説明不能な転記値、出所のないPER/PBR/ROEをスコアに混ぜない
2026/6/16 2:47:38,財務入力,中,8035.T,東京エレクトロン,条件付き候補,営業利益率,未確認,東京エレクトロンIR/決算短信,売上収益と営業利益を同じ期間で確認し、営業利益率の計算式を残す。,公式値・出所・資料日付・確認区分が揃った場合のみ反映,監視・除外解除の検討材料,推定値、説明不能な転記値、出所のないPER/PBR/ROEをスコアに混ぜない
2026/6/16 2:47:38,財務入力,中,8035.T,東京エレクトロン,条件付き候補,今期会社予想,未確認,東京エレクトロンIR/決算短信,今期会社予想の売上・営業利益・純利益・EPSの有無を確認する。,公式値・出所・資料日付・確認区分が揃った場合のみ反映,監視・除外解除の検討材料,推定値、説明不能な転記値、出所のないPER/PBR/ROEをスコアに混ぜない
2026/6/16 2:47:38,財務入力,中,8035.T,東京エレクトロン,条件付き候補,前期比増減,未確認,東京エレクトロンIR/決算短信,売上・営業利益・EPSの前年比を、同じ会計基準で確認する。,公式値・出所・資料日付・確認区分が揃った場合のみ反映,監視・除外解除の検討材料,推定値、説明不能な転記値、出所のないPER/PBR/ROEをスコアに混ぜない
2026/6/16 2:47:38,財務入力,中,8035.T,東京エレクトロン,条件付き候補,受注またはセグメント寄与,未確認,東京エレクトロンIR/決算短信,候補テーマが全社業績へどれだけ効くか、受注・セグメント売上・利益で確認する。,公式値・出所・資料日付・確認区分が揃った場合のみ反映,監視・除外解除の検討材料,推定値、説明不能な転記値、出所のないPER/PBR/ROEをスコアに混ぜない
2026/6/16 2:47:38,財務入力,中,8035.T,東京エレクトロン,条件付き候補,高PER・高PBRを説明できる成長根拠,未確認,東京エレクトロンIR/決算短信,EPSまたは会社予想EPS、株価基準日、計算式、出所を揃える。実績PERと予想PERを混同しない。,公式値・出所・資料日付・確認区分が揃った場合のみ反映,監視・除外解除の検討材料,推定値、説明不能な転記値、出所のないPER/PBR/ROEをスコアに混ぜない
2026/6/16 2:47:38,財務入力,低,7011.T,三菱重工業,条件付き候補,PER,未確認,三菱重工IR/決算資料,EPSまたは会社予想EPS、株価基準日、計算式、出所を揃える。実績PERと予想PERを混同しない。,公式値・出所・資料日付・確認区分が揃った場合のみ反映,監視・除外解除の検討材料,推定値、説明不能な転記値、出所のないPER/PBR/ROEをスコアに混ぜない
2026/6/16 2:47:38,財務入力,低,7011.T,三菱重工業,条件付き候補,PBR,未確認,三菱重工IR/決算資料,BPSまたは自己資本、株価基準日、計算式、出所を揃える。,公式値・出所・資料日付・確認区分が揃った場合のみ反映,監視・除外解除の検討材料,推定値、説明不能な転記値、出所のないPER/PBR/ROEをスコアに混ぜない
2026/6/16 2:47:38,財務入力,低,7011.T,三菱重工業,条件付き候補,ROE,未確認,三菱重工IR/決算資料,親会社株主に帰属する利益と自己資本、または会社公表ROEの出所を記録する。,公式値・出所・資料日付・確認区分が揃った場合のみ反映,監視・除外解除の検討材料,推定値、説明不能な転記値、出所のないPER/PBR/ROEをスコアに混ぜない
2026/6/16 2:47:38,財務入力,低,7011.T,三菱重工業,条件付き候補,営業利益率,未確認,三菱重工IR/決算資料,売上収益と営業利益を同じ期間で確認し、営業利益率の計算式を残す。,公式値・出所・資料日付・確認区分が揃った場合のみ反映,監視・除外解除の検討材料,推定値、説明不能な転記値、出所のないPER/PBR/ROEをスコアに混ぜない
2026/6/16 2:47:38,財務入力,低,7011.T,三菱重工業,条件付き候補,今期会社予想,未確認,三菱重工IR/決算資料,今期会社予想の売上・営業利益・純利益・EPSの有無を確認する。,公式値・出所・資料日付・確認区分が揃った場合のみ反映,監視・除外解除の検討材料,推定値、説明不能な転記値、出所のないPER/PBR/ROEをスコアに混ぜない
2026/6/16 2:47:38,財務入力,低,7011.T,三菱重工業,条件付き候補,前期比増減,未確認,三菱重工IR/決算資料,売上・営業利益・EPSの前年比を、同じ会計基準で確認する。,公式値・出所・資料日付・確認区分が揃った場合のみ反映,監視・除外解除の検討材料,推定値、説明不能な転記値、出所のないPER/PBR/ROEをスコアに混ぜない
2026/6/16 2:47:38,財務入力,低,7011.T,三菱重工業,条件付き候補,受注またはセグメント寄与,未確認,三菱重工IR/決算資料,候補テーマが全社業績へどれだけ効くか、受注・セグメント売上・利益で確認する。,公式値・出所・資料日付・確認区分が揃った場合のみ反映,監視・除外解除の検討材料,推定値、説明不能な転記値、出所のないPER/PBR/ROEをスコアに混ぜない
2026/6/16 2:47:38,財務入力,高,6762.T,TDK,条件付き候補,PER,未確認,TDK IR/決算短信,EPSまたは会社予想EPS、株価基準日、計算式、出所を揃える。実績PERと予想PERを混同しない。,公式値・出所・資料日付・確認区分が揃った場合のみ反映,P1復帰再判定へ接続,推定値、説明不能な転記値、出所のないPER/PBR/ROEをスコアに混ぜない
2026/6/16 2:47:38,財務入力,高,6762.T,TDK,条件付き候補,PBR,未確認,TDK IR/決算短信,BPSまたは自己資本、株価基準日、計算式、出所を揃える。,公式値・出所・資料日付・確認区分が揃った場合のみ反映,P1復帰再判定へ接続,推定値、説明不能な転記値、出所のないPER/PBR/ROEをスコアに混ぜない
2026/6/16 2:47:38,財務入力,高,6762.T,TDK,条件付き候補,ROE,未確認,TDK IR/決算短信,親会社株主に帰属する利益と自己資本、または会社公表ROEの出所を記録する。,公式値・出所・資料日付・確認区分が揃った場合のみ反映,P1復帰再判定へ接続,推定値、説明不能な転記値、出所のないPER/PBR/ROEをスコアに混ぜない
2026/6/16 2:47:38,財務入力,高,6762.T,TDK,条件付き候補,営業利益率,未確認,TDK IR/決算短信,売上収益と営業利益を同じ期間で確認し、営業利益率の計算式を残す。,公式値・出所・資料日付・確認区分が揃った場合のみ反映,P1復帰再判定へ接続,推定値、説明不能な転記値、出所のないPER/PBR/ROEをスコアに混ぜない
2026/6/16 2:47:38,財務入力,高,6762.T,TDK,条件付き候補,今期会社予想,未確認,TDK IR/決算短信,今期会社予想の売上・営業利益・純利益・EPSの有無を確認する。,公式値・出所・資料日付・確認区分が揃った場合のみ反映,P1復帰再判定へ接続,推定値、説明不能な転記値、出所のないPER/PBR/ROEをスコアに混ぜない
2026/6/16 2:47:38,財務入力,高,6762.T,TDK,条件付き候補,前期比増減,未確認,TDK IR/決算短信,売上・営業利益・EPSの前年比を、同じ会計基準で確認する。,公式値・出所・資料日付・確認区分が揃った場合のみ反映,P1復帰再判定へ接続,推定値、説明不能な転記値、出所のないPER/PBR/ROEをスコアに混ぜない
2026/6/16 2:47:38,財務入力,高,6762.T,TDK,条件付き候補,受注またはセグメント寄与,未確認,TDK IR/決算短信,候補テーマが全社業績へどれだけ効くか、受注・セグメント売上・利益で確認する。,公式値・出所・資料日付・確認区分が揃った場合のみ反映,P1復帰再判定へ接続,推定値、説明不能な転記値、出所のないPER/PBR/ROEをスコアに混ぜない
2026/6/16 2:47:38,財務入力,低,6146.T,ディスコ,条件付き候補,PER,未確認,ディスコIR/決算説明資料,EPSまたは会社予想EPS、株価基準日、計算式、出所を揃える。実績PERと予想PERを混同しない。,公式値・出所・資料日付・確認区分が揃った場合のみ反映,監視・除外解除の検討材料,推定値、説明不能な転記値、出所のないPER/PBR/ROEをスコアに混ぜない
2026/6/16 2:47:38,財務入力,低,6146.T,ディスコ,条件付き候補,PBR,未確認,ディスコIR/決算説明資料,BPSまたは自己資本、株価基準日、計算式、出所を揃える。,公式値・出所・資料日付・確認区分が揃った場合のみ反映,監視・除外解除の検討材料,推定値、説明不能な転記値、出所のないPER/PBR/ROEをスコアに混ぜない
2026/6/16 2:47:38,財務入力,低,6146.T,ディスコ,条件付き候補,ROE,未確認,ディスコIR/決算説明資料,親会社株主に帰属する利益と自己資本、または会社公表ROEの出所を記録する。,公式値・出所・資料日付・確認区分が揃った場合のみ反映,監視・除外解除の検討材料,推定値、説明不能な転記値、出所のないPER/PBR/ROEをスコアに混ぜない
2026/6/16 2:47:38,財務入力,低,6146.T,ディスコ,条件付き候補,営業利益率,未確認,ディスコIR/決算説明資料,売上収益と営業利益を同じ期間で確認し、営業利益率の計算式を残す。,公式値・出所・資料日付・確認区分が揃った場合のみ反映,監視・除外解除の検討材料,推定値、説明不能な転記値、出所のないPER/PBR/ROEをスコアに混ぜない
2026/6/16 2:47:38,財務入力,低,6146.T,ディスコ,条件付き候補,今期会社予想,未確認,ディスコIR/決算説明資料,今期会社予想の売上・営業利益・純利益・EPSの有無を確認する。,公式値・出所・資料日付・確認区分が揃った場合のみ反映,監視・除外解除の検討材料,推定値、説明不能な転記値、出所のないPER/PBR/ROEをスコアに混ぜない
2026/6/16 2:47:38,財務入力,低,6146.T,ディスコ,条件付き候補,前期比増減,未確認,ディスコIR/決算説明資料,売上・営業利益・EPSの前年比を、同じ会計基準で確認する。,公式値・出所・資料日付・確認区分が揃った場合のみ反映,監視・除外解除の検討材料,推定値、説明不能な転記値、出所のないPER/PBR/ROEをスコアに混ぜない
2026/6/16 2:47:38,財務入力,低,6146.T,ディスコ,条件付き候補,受注またはセグメント寄与,未確認,ディスコIR/決算説明資料,候補テーマが全社業績へどれだけ効くか、受注・セグメント売上・利益で確認する。,公式値・出所・資料日付・確認区分が揃った場合のみ反映,監視・除外解除の検討材料,推定値、説明不能な転記値、出所のないPER/PBR/ROEをスコアに混ぜない
2026/6/16 2:47:38,財務入力,低,6146.T,ディスコ,条件付き候補,高PER・高PBRを説明できる成長根拠,未確認,ディスコIR/決算説明資料,EPSまたは会社予想EPS、株価基準日、計算式、出所を揃える。実績PERと予想PERを混同しない。,公式値・出所・資料日付・確認区分が揃った場合のみ反映,監視・除外解除の検討材料,推定値、説明不能な転記値、出所のないPER/PBR/ROEをスコアに混ぜない
2026/6/16 2:47:38,財務入力,低,5803.T,フジクラ,条件付き候補,PER,未確認,フジクラIR/決算短信,EPSまたは会社予想EPS、株価基準日、計算式、出所を揃える。実績PERと予想PERを混同しない。,公式値・出所・資料日付・確認区分が揃った場合のみ反映,監視・除外解除の検討材料,推定値、説明不能な転記値、出所のないPER/PBR/ROEをスコアに混ぜない
2026/6/16 2:47:38,財務入力,低,5803.T,フジクラ,条件付き候補,PBR,未確認,フジクラIR/決算短信,BPSまたは自己資本、株価基準日、計算式、出所を揃える。,公式値・出所・資料日付・確認区分が揃った場合のみ反映,監視・除外解除の検討材料,推定値、説明不能な転記値、出所のないPER/PBR/ROEをスコアに混ぜない
2026/6/16 2:47:38,財務入力,低,5803.T,フジクラ,条件付き候補,ROE,未確認,フジクラIR/決算短信,親会社株主に帰属する利益と自己資本、または会社公表ROEの出所を記録する。,公式値・出所・資料日付・確認区分が揃った場合のみ反映,監視・除外解除の検討材料,推定値、説明不能な転記値、出所のないPER/PBR/ROEをスコアに混ぜない
2026/6/16 2:47:38,財務入力,低,5803.T,フジクラ,条件付き候補,営業利益率,未確認,フジクラIR/決算短信,売上収益と営業利益を同じ期間で確認し、営業利益率の計算式を残す。,公式値・出所・資料日付・確認区分が揃った場合のみ反映,監視・除外解除の検討材料,推定値、説明不能な転記値、出所のないPER/PBR/ROEをスコアに混ぜない
2026/6/16 2:47:38,財務入力,低,5803.T,フジクラ,条件付き候補,今期会社予想,未確認,フジクラIR/決算短信,今期会社予想の売上・営業利益・純利益・EPSの有無を確認する。,公式値・出所・資料日付・確認区分が揃った場合のみ反映,監視・除外解除の検討材料,推定値、説明不能な転記値、出所のないPER/PBR/ROEをスコアに混ぜない
2026/6/16 2:47:38,財務入力,低,5803.T,フジクラ,条件付き候補,前期比増減,未確認,フジクラIR/決算短信,売上・営業利益・EPSの前年比を、同じ会計基準で確認する。,公式値・出所・資料日付・確認区分が揃った場合のみ反映,監視・除外解除の検討材料,推定値、説明不能な転記値、出所のないPER/PBR/ROEをスコアに混ぜない
2026/6/16 2:47:38,財務入力,低,5803.T,フジクラ,条件付き候補,受注またはセグメント寄与,未確認,フジクラIR/決算短信,候補テーマが全社業績へどれだけ効くか、受注・セグメント売上・利益で確認する。,公式値・出所・資料日付・確認区分が揃った場合のみ反映,監視・除外解除の検討材料,推定値、説明不能な転記値、出所のないPER/PBR/ROEをスコアに混ぜない
2026/6/16 2:47:38,財務入力,低,5803.T,フジクラ,条件付き候補,高PER・高PBRを説明できる成長根拠,未確認,フジクラIR/決算短信,EPSまたは会社予想EPS、株価基準日、計算式、出所を揃える。実績PERと予想PERを混同しない。,公式値・出所・資料日付・確認区分が揃った場合のみ反映,監視・除外解除の検討材料,推定値、説明不能な転記値、出所のないPER/PBR/ROEをスコアに混ぜない
2026/6/16 2:47:38,質的テーマ検証,高,複数,半導体製造装置・材料,補助評価,仮説・実績・反証,未検証,SOX指数、WFE/半導体設備投資、受注・セグメント利益、候補銘柄の1日/5日/20日反応,テーマニュース後に候補銘柄が指数を上回り、かつ受注または利益率に接続している,仮説だけでは不可。実績データまたはイベント後反応がある場合のみ補助評価,補助係数。単独で買付候補化しない,株価だけ上がり、受注・利益・ガイダンスで説明できない
2026/6/16 2:47:38,質的テーマ検証,高,複数,AIインフラ・データセンター,補助評価,仮説・実績・反証,未検証,電力需要、データセンター投資、電線・重電・冷却関連受注、候補銘柄の指数超過,需要増が受注・利益・会社コメントに接続し、イベント後反応も強い,仮説だけでは不可。実績データまたはイベント後反応がある場合のみ補助評価,補助係数。単独で買付候補化しない,テーマは強いが、対象企業の売上寄与が小さい、または高値掴みリスクが大きい
2026/6/16 2:47:38,質的テーマ検証,高,複数,金利・金融,補助評価,仮説・実績・反証,未検証,日銀結果、長期金利、銀行株指数、利ざや、与信費用、保険運用益,金利環境が利ざや・運用益にプラスで、信用コスト悪化が限定的,仮説だけでは不可。実績データまたはイベント後反応がある場合のみ補助評価,補助係数。単独で買付候補化しない,金利上昇より信用不安・円高・景気悪化の影響が大きい
2026/6/16 2:47:38,質的テーマ検証,中,複数,防衛・重工,補助評価,仮説・実績・反証,未検証,防衛予算、受注残、セグメント売上・利益、過去急騰後の反落率,政策・受注・利益化がつながり、過熱調整後も指数に対して強い,仮説だけでは不可。実績データまたはイベント後反応がある場合のみ補助評価,補助係数。単独で買付候補化しない,受注はあるが利益化が遅い、または株価が先に織り込み済み
2026/6/16 2:47:38,質的テーマ検証,中,複数,量子コンピューター,補助評価,仮説・実績・反証,未検証,関連売上、提携、受注、研究開発費、テーマイベント後の株価反応,1年以内の業績寄与または大型契約が確認できる,仮説だけでは不可。実績データまたはイベント後反応がある場合のみ補助評価,補助係数。単独で買付候補化しない,ニュース性だけで売上寄与が見えない
2026/6/16 2:47:38,質的テーマ検証,中,複数,フィジカルAI・ロボティクス,補助評価,仮説・実績・反証,未検証,FA売上、設備投資統計、制御・センサー・ロボット関連利益、候補銘柄反応,人手不足・自動化需要が受注と利益率に接続している,仮説だけでは不可。実績データまたはイベント後反応がある場合のみ補助評価,補助係数。単独で買付候補化しない,中国・設備投資サイクル悪化、在庫調整、セグメント利益鈍化
