updated_at,ticker,name,metric_group,metric_label,hit_count,rows_with_numbers,first_number_candidates,source_url
2026/05/19 15:45,6857.T,アドバンテスト,buyback,自社株買い候補,14,14,2026 / 4 / 1 / 2027 / 3 / 31 / 2 / 1株 / 16,https://www2.jpx.co.jp/disc/68570/140120260427511547.pdf
2026/05/19 15:45,6857.T,アドバンテスト,operating_profit,営業利益候補,13,13,"7 / 31 / 2026 / 6 / 2 / 26 / 1 / 3 / 1,128,610 / 44.7 / 499,120 / 118.8 / 516",https://www2.jpx.co.jp/disc/68570/140120260427511547.pdf
2026/05/19 15:45,6857.T,アドバンテスト,forecast,業績予想候補,9,9,61 / 1.2026 / 3 / 2025 / 4 / 1 / 2026 / 31 / 2 / 2027 / 3.2027 / 1株,https://www2.jpx.co.jp/disc/68570/140120260427511547.pdf
2026/05/19 15:45,6857.T,アドバンテスト,net_income,純利益候補,4,4,"224株 / 2025 / 3 / 32,422,231株 / 2026 / 728,634,777株 / 737,064,308株 / 1 / 988,232 / 46.8 / 405,874 / 86.7 / 425,372 / 87.4",https://www2.jpx.co.jp/disc/68570/140120260427511547.pdf
2026/05/19 15:45,7974.T,任天堂,net_income,純利益候補,13,13,"1 / 2026 / 3 / 2025 / 4 / 12 / 31 / 1,905,883 / 99.3 / 300,393 / 21.3 / 455,842 / 39.4 / 358,863",https://www.nintendo.co.jp/ir/pdf/2026/260203.pdf
2026/05/19 15:45,7974.T,任天堂,sales,売上高候補,12,12,"1 / 2026 / 3 / 2025 / 4 / 12 / 31 / 1,905,883 / 99.3 / 300,393 / 21.3 / 455,842 / 39.4 / 358,863",https://www.nintendo.co.jp/ir/pdf/2026/260203.pdf
2026/05/19 15:45,7974.T,任天堂,forecast,業績予想候補,7,7,25 / 3 / 35.00 / 85.00 / 120.00 / 2026 / 42.00 / 139.00 / 181.00 / 2025 / 4 / 1 / 31 / 1株,https://www.nintendo.co.jp/ir/pdf/2026/260203.pdf
2026/05/19 15:45,7974.T,任天堂,dividend,配当候補,5,5,7974 / 075 / -662 / -9600 / 1 / 2026 / 3 / 2025 / 4 / 12 / 31,https://www.nintendo.co.jp/ir/pdf/2026/260203.pdf
2026/05/19 15:45,7974.T,任天堂,operating_profit,営業利益候補,3,3,"1 / 2026 / 3 / 2025 / 4 / 12 / 31 / 1,905,883 / 99.3 / 300,393 / 21.3 / 455,842 / 39.4 / 358,863",https://www.nintendo.co.jp/ir/pdf/2026/260203.pdf
2026/05/19 15:45,7974.T,任天堂,eps,EPS候補,3,3,"4 / 247,597 / 46.7 / 327,117 / 42.3 / 237,189 / 41.9 / 2026 / 3 / 398,659百万円 / 41.9％ / 2025 / 280,995百万円 / 37.3％",https://www.nintendo.co.jp/ir/pdf/2026/260203.pdf
2026/05/19 15:45,7974.T,任天堂,buyback,自社株買い候補,3,3,"4 / 2026 / 3 / 1,298,690,000株 / 2025 / 134,431,085株 / 134,441,816株",https://www.nintendo.co.jp/ir/pdf/2026/260203.pdf
2026/05/19 15:45,8035.T,東京エレクトロン,net_income,純利益候補,9,9,"1 / 2026 / 3 / 2025 / 4 / 31 / 2,443,533 / 0.5 / 624,936 / 10.4 / 630,338 / 10.9 / 574,454 / 5.6",https://www.tel.co.jp/ir/library/report/jngpc500000000l6-att/fy26q4tanshin-j.pdf
2026/05/19 15:45,8035.T,東京エレクトロン,dividend,配当候補,9,9,03 / -5561 / -7000 / 2026 / 6 / 23 / 2 / 22 / 1 / 3,https://www.tel.co.jp/ir/library/report/jngpc500000000l6-att/fy26q4tanshin-j.pdf
2026/05/19 15:45,8035.T,東京エレクトロン,forecast,業績予想候補,8,8,8 / 2027 / 3 / 361.00 / 2026 / 2 / 4 / 1 / 5 / 14,https://www.tel.co.jp/ir/library/report/jngpc500000000l6-att/fy26q4tanshin-j.pdf
2026/05/19 15:45,8035.T,東京エレクトロン,eps,EPS候補,7,7,"2,431,568 / 32.8 / 697,319 / 52.8 / 707,727 / 544,133 / 49.5 / 2026 / 3 / 624,335百万円 / 31.1％ / 2025 / 476,095百万円 / 0.5％",https://www.tel.co.jp/ir/library/report/jngpc500000000l6-att/fy26q4tanshin-j.pdf
2026/05/19 15:45,8035.T,東京エレクトロン,sales,売上高候補,4,4,"1 / 2026 / 3 / 2025 / 4 / 31 / 2,443,533 / 0.5 / 624,936 / 10.4 / 630,338 / 10.9 / 574,454 / 5.6",https://www.tel.co.jp/ir/library/report/jngpc500000000l6-att/fy26q4tanshin-j.pdf
2026/05/19 15:45,8035.T,東京エレクトロン,operating_profit,営業利益候補,4,4,"1 / 2026 / 3 / 2025 / 4 / 31 / 2,443,533 / 0.5 / 624,936 / 10.4 / 630,338 / 10.9 / 574,454 / 5.6",https://www.tel.co.jp/ir/library/report/jngpc500000000l6-att/fy26q4tanshin-j.pdf
2026/05/19 15:45,8035.T,東京エレクトロン,buyback,自社株買い候補,4,4,"3 / 2026 / 471,632,733 株 / 2025 / 16,783,041 株 / 13,522,282 株",https://www.tel.co.jp/ir/library/report/jngpc500000000l6-att/fy26q4tanshin-j.pdf
2026/05/19 15:45,8058.T,三菱商事,cash_flow,CF/FCF候補,19,15,"31 / 2026 / 24,151,695 / 10,250,574 / 9,440,567 / 39.1 / 2,578 / 33 / 2025 / 21,496,104 / 10,154,322 / 9,368,714 / 43.6 / 2,355",https://www.mitsubishicorp.com/jp/en/ir/library/earnings/pdf/202605e.pdf
2026/05/19 15:45,8058.T,三菱商事,sales,売上高候補,18,13,31 / 2026 / 1,https://www.mitsubishicorp.com/jp/en/ir/library/earnings/pdf/202605e.pdf
2026/05/19 15:45,8058.T,三菱商事,dividend,配当候補,18,13,"31 / 2026 / 1,490,041 / 448,584 / 804,684 / 1,841,464 / 2025 / 1,658,349 / 273,945 / 1,530,703 / 1,536,624 / 2",https://www.mitsubishicorp.com/jp/en/ir/library/earnings/pdf/202605e.pdf
2026/05/19 15:45,8058.T,三菱商事,forecast,業績予想候補,18,11,"31 / 2025 / 50.00 / 100.00 / 397,714 / 42.2 / 4.4 / 2026 / 55.00 / 110.00 / 408,458 / 52.2 / 4.5 / 2027",https://www.mitsubishicorp.com/jp/en/ir/library/earnings/pdf/202605e.pdf
2026/05/19 15:45,8058.T,三菱商事,buyback,自社株買い候補,11,11,"3 / -1 / 31 / 2026 / 4,028,926,353 / 2025 / 4,022,391,153 / -2",https://www.mitsubishicorp.com/jp/en/ir/library/earnings/pdf/202605e.pdf
2026/05/19 15:45,8058.T,三菱商事,roe,ROE候補,5,4,2027 / 6 / 3 / 1 / 2 / 7,https://www.mitsubishicorp.com/jp/en/ir/library/earnings/pdf/202605e.pdf
2026/05/19 15:45,8058.T,三菱商事,net_income,純利益候補,3,3,0,https://www.mitsubishicorp.com/jp/en/ir/library/earnings/pdf/202605e.pdf
2026/05/19 15:45,8058.T,三菱商事,eps,EPS候補,3,3,"31 / 2026 / 3,795,020,642 / 2025 / 4,011,861,940 / 25 / 3 / 2",https://www.mitsubishicorp.com/jp/en/ir/library/earnings/pdf/202605e.pdf
