priority,ticker,name,current_status,recovery_class,can_be_normal_a_without_rule_change,main_blocker,missing_or_failed_gate,d20_excess_pct,expected_value_pct,risk_score,next_action,reason_for_client
13,6723.T,ルネサス,通常A未達（財務不足）,公式財務不足,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / リスク:不足 / 信頼度:不足 / 過熱:条件付き,0.0,3.6,23.3,公式決算短信、決算説明資料、PER/PBR/ROE、EPS/BPS、利益率を原本ベースで埋める。,財務の公式根拠が不足しているため、スコアだけでは通常Aにしない。
14,6920.T,レーザーテック,通常A未達（財務不足）,公式財務不足,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / リスク:不足 / 過熱:条件付き,0.0,1.51,24.7,公式決算短信、決算説明資料、PER/PBR/ROE、EPS/BPS、利益率を原本ベースで埋める。,財務の公式根拠が不足しているため、スコアだけでは通常Aにしない。
15,4188.T,三菱ケミカルG,通常A未達（財務不足）,公式財務不足,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / 期待値:防御枠 / 信頼度:不足,0.0,-0.02,49.4,公式決算短信、決算説明資料、PER/PBR/ROE、EPS/BPS、利益率を原本ベースで埋める。,財務の公式根拠が不足しているため、スコアだけでは通常Aにしない。
16,5108.T,ブリヂストン,通常A未達（財務不足）,公式財務不足,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / 期待値:防御枠 / 信頼度:不足,0.0,-0.02,64.2,公式決算短信、決算説明資料、PER/PBR/ROE、EPS/BPS、利益率を原本ベースで埋める。,財務の公式根拠が不足しているため、スコアだけでは通常Aにしない。
17,1925.T,大和ハウス工業,通常A未達（財務不足）,公式財務不足,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / 期待値:防御枠 / 信頼度:不足,0.0,-0.41,63.8,公式決算短信、決算説明資料、PER/PBR/ROE、EPS/BPS、利益率を原本ベースで埋める。,財務の公式根拠が不足しているため、スコアだけでは通常Aにしない。
18,9432.T,NTT,通常A未達（財務不足）,公式財務不足,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / リスク:防御枠 / 期待値:防御枠 / 信頼度:不足,0.0,-0.46,72.5,公式決算短信、決算説明資料、PER/PBR/ROE、EPS/BPS、利益率を原本ベースで埋める。,財務の公式根拠が不足しているため、スコアだけでは通常Aにしない。
19,7269.T,スズキ,通常A未達（財務不足）,公式財務不足,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / 期待値:防御枠 / 信頼度:不足,0.0,-0.58,46.8,公式決算短信、決算説明資料、PER/PBR/ROE、EPS/BPS、利益率を原本ベースで埋める。,財務の公式根拠が不足しているため、スコアだけでは通常Aにしない。
20,3402.T,東レ,通常A未達（財務不足）,公式財務不足,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / 期待値:防御枠 / 信頼度:不足,0.0,-0.6,59.4,公式決算短信、決算説明資料、PER/PBR/ROE、EPS/BPS、利益率を原本ベースで埋める。,財務の公式根拠が不足しているため、スコアだけでは通常Aにしない。
21,6861.T,キーエンス,通常A未達（財務不足）,公式財務不足,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / 期待値:防御枠 / 信頼度:不足,0.0,-0.66,50.1,公式決算短信、決算説明資料、PER/PBR/ROE、EPS/BPS、利益率を原本ベースで埋める。,財務の公式根拠が不足しているため、スコアだけでは通常Aにしない。
22,7203.T,トヨタ自動車,通常A未達（財務不足）,公式財務不足,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / 期待値:防御枠 / 信頼度:不足,0.0,-0.68,41.7,公式決算短信、決算説明資料、PER/PBR/ROE、EPS/BPS、利益率を原本ベースで埋める。,財務の公式根拠が不足しているため、スコアだけでは通常Aにしない。
23,7532.T,パン・パシフィック,通常A未達（財務不足）,公式財務不足,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / 期待値:防御枠 / 信頼度:不足,0.0,-0.68,42.1,公式決算短信、決算説明資料、PER/PBR/ROE、EPS/BPS、利益率を原本ベースで埋める。,財務の公式根拠が不足しているため、スコアだけでは通常Aにしない。
24,6326.T,クボタ,通常A未達（財務不足）,公式財務不足,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / 期待値:防御枠 / 信頼度:不足,0.0,-0.7,44.2,公式決算短信、決算説明資料、PER/PBR/ROE、EPS/BPS、利益率を原本ベースで埋める。,財務の公式根拠が不足しているため、スコアだけでは通常Aにしない。
25,7832.T,バンダイナムコHD,通常A未達（財務不足）,公式財務不足,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / 期待値:防御枠 / 信頼度:不足,0.0,-0.85,41.5,公式決算短信、決算説明資料、PER/PBR/ROE、EPS/BPS、利益率を原本ベースで埋める。,財務の公式根拠が不足しているため、スコアだけでは通常Aにしない。
26,6758.T,ソニーグループ,通常A未達（財務不足）,公式財務不足,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / 期待値:防御枠 / 信頼度:不足,0.0,-0.95,38.4,公式決算短信、決算説明資料、PER/PBR/ROE、EPS/BPS、利益率を原本ベースで埋める。,財務の公式根拠が不足しているため、スコアだけでは通常Aにしない。
27,9020.T,JR東日本,通常A未達（財務不足）,公式財務不足,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / 期待値:防御枠 / 信頼度:不足,0.0,-1.14,63.6,公式決算短信、決算説明資料、PER/PBR/ROE、EPS/BPS、利益率を原本ベースで埋める。,財務の公式根拠が不足しているため、スコアだけでは通常Aにしない。
28,4503.T,アステラス製薬,通常A未達（財務不足）,公式財務不足,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / 期待値:防御枠 / 信頼度:不足,0.0,-1.21,46.8,公式決算短信、決算説明資料、PER/PBR/ROE、EPS/BPS、利益率を原本ベースで埋める。,財務の公式根拠が不足しているため、スコアだけでは通常Aにしない。
29,6098.T,リクルートHD,通常A未達（財務不足）,公式財務不足,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / リスク:不足 / 期待値:防御枠 / 信頼度:不足 / 過熱:条件付き,0.0,-1.23,20.7,公式決算短信、決算説明資料、PER/PBR/ROE、EPS/BPS、利益率を原本ベースで埋める。,財務の公式根拠が不足しているため、スコアだけでは通常Aにしない。
30,7267.T,ホンダ,通常A未達（財務不足）,公式財務不足,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / 期待値:防御枠 / 信頼度:不足,0.0,-1.73,50.6,公式決算短信、決算説明資料、PER/PBR/ROE、EPS/BPS、利益率を原本ベースで埋める。,財務の公式根拠が不足しているため、スコアだけでは通常Aにしない。
31,4005.T,住友化学,通常A未達（財務不足）,公式財務不足,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / 期待値:防御枠 / 信頼度:不足,0.0,-2.16,39.9,公式決算短信、決算説明資料、PER/PBR/ROE、EPS/BPS、利益率を原本ベースで埋める。,財務の公式根拠が不足しているため、スコアだけでは通常Aにしない。
32,6526.T,ソシオネクスト,通常A未達（財務不足）,公式財務不足,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / リスク:不足 / 期待値:防御枠 / 信頼度:不足 / 過熱:条件付き,0.0,-2.36,7.2,公式決算短信、決算説明資料、PER/PBR/ROE、EPS/BPS、利益率を原本ベースで埋める。,財務の公式根拠が不足しているため、スコアだけでは通常Aにしない。
33,9202.T,ANA HD,通常A未達（財務不足）,公式財務不足,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / 期待値:防御枠 / 信頼度:不足,0.0,-2.57,59.6,公式決算短信、決算説明資料、PER/PBR/ROE、EPS/BPS、利益率を原本ベースで埋める。,財務の公式根拠が不足しているため、スコアだけでは通常Aにしない。
34,4543.T,テルモ,通常A未達（財務不足）,公式財務不足,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / 期待値:防御枠 / 信頼度:不足,0.0,-2.96,40.9,公式決算短信、決算説明資料、PER/PBR/ROE、EPS/BPS、利益率を原本ベースで埋める。,財務の公式根拠が不足しているため、スコアだけでは通常Aにしない。
35,2502.T,アサヒGHD,通常A未達（財務不足）,公式財務不足,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / 期待値:防御枠 / 信頼度:不足,0.0,-2.96,55.9,公式決算短信、決算説明資料、PER/PBR/ROE、EPS/BPS、利益率を原本ベースで埋める。,財務の公式根拠が不足しているため、スコアだけでは通常Aにしない。
36,9022.T,JR東海,通常A未達（財務不足）,公式財務不足,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / 期待値:防御枠 / 信頼度:不足,0.0,-2.98,51.6,公式決算短信、決算説明資料、PER/PBR/ROE、EPS/BPS、利益率を原本ベースで埋める。,財務の公式根拠が不足しているため、スコアだけでは通常Aにしない。
37,6902.T,デンソー,通常A未達（財務不足）,公式財務不足,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / 期待値:防御枠 / 信頼度:不足,0.0,-3.33,45.9,公式決算短信、決算説明資料、PER/PBR/ROE、EPS/BPS、利益率を原本ベースで埋める。,財務の公式根拠が不足しているため、スコアだけでは通常Aにしない。
38,2801.T,キッコーマン,通常A未達（財務不足）,公式財務不足,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / 期待値:防御枠 / 信頼度:不足,0.0,-3.4,54.3,公式決算短信、決算説明資料、PER/PBR/ROE、EPS/BPS、利益率を原本ベースで埋める。,財務の公式根拠が不足しているため、スコアだけでは通常Aにしない。
39,6273.T,SMC,通常A未達（財務不足）,公式財務不足,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / リスク:不足 / 期待値:防御枠 / 信頼度:不足 / 過熱:条件付き,0.0,-3.47,34.1,公式決算短信、決算説明資料、PER/PBR/ROE、EPS/BPS、利益率を原本ベースで埋める。,財務の公式根拠が不足しているため、スコアだけでは通常Aにしない。
40,4452.T,花王,通常A未達（財務不足）,公式財務不足,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / 期待値:防御枠 / 信頼度:不足,0.0,-3.52,59.2,公式決算短信、決算説明資料、PER/PBR/ROE、EPS/BPS、利益率を原本ベースで埋める。,財務の公式根拠が不足しているため、スコアだけでは通常Aにしない。
41,9021.T,JR西日本,通常A未達（財務不足）,公式財務不足,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / 期待値:防御枠 / 信頼度:不足,0.0,-3.82,51.6,公式決算短信、決算説明資料、PER/PBR/ROE、EPS/BPS、利益率を原本ベースで埋める。,財務の公式根拠が不足しているため、スコアだけでは通常Aにしない。
42,7270.T,SUBARU,通常A未達（財務不足）,公式財務不足,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / 期待値:防御枠 / 信頼度:不足,0.0,-3.91,37.5,公式決算短信、決算説明資料、PER/PBR/ROE、EPS/BPS、利益率を原本ベースで埋める。,財務の公式根拠が不足しているため、スコアだけでは通常Aにしない。
43,2432.T,ディー・エヌ・エー,通常A未達（財務不足）,公式財務不足,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / 期待値:防御枠 / 信頼度:不足,0.0,-4.15,41.7,公式決算短信、決算説明資料、PER/PBR/ROE、EPS/BPS、利益率を原本ベースで埋める。,財務の公式根拠が不足しているため、スコアだけでは通常Aにしない。
44,4568.T,第一三共,通常A未達（財務不足）,公式財務不足,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / リスク:不足 / 期待値:防御枠 / 信頼度:不足 / 過熱:条件付き,0.0,-4.85,17.6,公式決算短信、決算説明資料、PER/PBR/ROE、EPS/BPS、利益率を原本ベースで埋める。,財務の公式根拠が不足しているため、スコアだけでは通常Aにしない。
45,3092.T,ZOZO,通常A未達（財務不足）,公式財務不足,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / リスク:不足 / 期待値:防御枠 / 信頼度:不足,0.0,-4.86,30.7,公式決算短信、決算説明資料、PER/PBR/ROE、EPS/BPS、利益率を原本ベースで埋める。,財務の公式根拠が不足しているため、スコアだけでは通常Aにしない。
46,3659.T,ネクソン,通常A未達（財務不足）,公式財務不足,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / リスク:不足 / 期待値:防御枠 / 信頼度:不足 / 過熱:条件付き,0.0,-5.11,15.8,公式決算短信、決算説明資料、PER/PBR/ROE、EPS/BPS、利益率を原本ベースで埋める。,財務の公式根拠が不足しているため、スコアだけでは通常Aにしない。
47,7974.T,任天堂,通常A未達（財務不足）,公式財務不足,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / リスク:不足 / 期待値:防御枠 / 過熱:条件付き,0.0,-5.23,13.2,公式決算短信、決算説明資料、PER/PBR/ROE、EPS/BPS、利益率を原本ベースで埋める。,財務の公式根拠が不足しているため、スコアだけでは通常Aにしない。
48,9843.T,ニトリHD,通常A未達（財務不足）,公式財務不足,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / リスク:不足 / 期待値:防御枠 / 信頼度:不足 / 過熱:条件付き,0.0,-6.2,25.3,公式決算短信、決算説明資料、PER/PBR/ROE、EPS/BPS、利益率を原本ベースで埋める。,財務の公式根拠が不足しているため、スコアだけでは通常Aにしない。
49,8113.T,ユニ・チャーム,通常A未達（財務不足）,公式財務不足,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / リスク:不足 / 期待値:防御枠 / 信頼度:不足 / 過熱:条件付き,0.0,-6.25,32.8,公式決算短信、決算説明資料、PER/PBR/ROE、EPS/BPS、利益率を原本ベースで埋める。,財務の公式根拠が不足しているため、スコアだけでは通常Aにしない。
50,6645.T,オムロン,通常A未達（財務不足）,公式財務不足,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / リスク:不足 / 期待値:防御枠 / 信頼度:不足 / 過熱:条件付き,0.0,-6.5,28.0,公式決算短信、決算説明資料、PER/PBR/ROE、EPS/BPS、利益率を原本ベースで埋める。,財務の公式根拠が不足しているため、スコアだけでは通常Aにしない。
51,4689.T,LINEヤフー,通常A未達（財務不足）,公式財務不足,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / リスク:不足 / 期待値:防御枠 / 信頼度:不足 / 過熱:条件付き,0.0,-7.02,18.5,公式決算短信、決算説明資料、PER/PBR/ROE、EPS/BPS、利益率を原本ベースで埋める。,財務の公式根拠が不足しているため、スコアだけでは通常Aにしない。
52,4661.T,オリエンタルランド,通常A未達（財務不足）,公式財務不足,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / リスク:不足 / 期待値:防御枠 / 信頼度:不足 / 過熱:条件付き,0.0,-7.34,13.1,公式決算短信、決算説明資料、PER/PBR/ROE、EPS/BPS、利益率を原本ベースで埋める。,財務の公式根拠が不足しているため、スコアだけでは通常Aにしない。
53,4385.T,メルカリ,通常A未達（財務不足）,公式財務不足,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / リスク:不足 / 期待値:防御枠 / 信頼度:不足 / 過熱:条件付き,0.0,-7.35,24.7,公式決算短信、決算説明資料、PER/PBR/ROE、EPS/BPS、利益率を原本ベースで埋める。,財務の公式根拠が不足しているため、スコアだけでは通常Aにしない。
54,4755.T,楽天グループ,通常A未達（財務不足）,公式財務不足,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / リスク:不足 / 期待値:防御枠 / 信頼度:不足 / 過熱:条件付き,0.0,-7.55,21.4,公式決算短信、決算説明資料、PER/PBR/ROE、EPS/BPS、利益率を原本ベースで埋める。,財務の公式根拠が不足しているため、スコアだけでは通常Aにしない。
55,4751.T,サイバーエージェント,通常A未達（財務不足）,公式財務不足,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / リスク:不足 / 期待値:防御枠 / 信頼度:不足 / 過熱:条件付き,0.0,-7.81,20.9,公式決算短信、決算説明資料、PER/PBR/ROE、EPS/BPS、利益率を原本ベースで埋める。,財務の公式根拠が不足しているため、スコアだけでは通常Aにしない。
56,4523.T,エーザイ,通常A未達（財務不足）,公式財務不足,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / リスク:不足 / 期待値:防御枠 / 信頼度:不足 / 過熱:条件付き,0.0,-8.05,26.7,公式決算短信、決算説明資料、PER/PBR/ROE、EPS/BPS、利益率を原本ベースで埋める。,財務の公式根拠が不足しているため、スコアだけでは通常Aにしない。
57,4911.T,資生堂,通常A未達（財務不足）,公式財務不足,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / リスク:不足 / 期待値:防御枠 / 信頼度:不足 / 過熱:条件付き,0.0,-8.3,25.0,公式決算短信、決算説明資料、PER/PBR/ROE、EPS/BPS、利益率を原本ベースで埋める。,財務の公式根拠が不足しているため、スコアだけでは通常Aにしない。
58,6869.T,シスメックス,通常A未達（財務不足）,公式財務不足,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / リスク:不足 / 期待値:防御枠 / 信頼度:不足 / 過熱:条件付き,0.0,-8.74,8.0,公式決算短信、決算説明資料、PER/PBR/ROE、EPS/BPS、利益率を原本ベースで埋める。,財務の公式根拠が不足しているため、スコアだけでは通常Aにしない。
59,6594.T,ニデック,通常A未達（財務不足）,公式財務不足,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / リスク:不足 / 期待値:防御枠 / 信頼度:不足 / 過熱:条件付き,0.0,-8.99,13.1,公式決算短信、決算説明資料、PER/PBR/ROE、EPS/BPS、利益率を原本ベースで埋める。,財務の公式根拠が不足しているため、スコアだけでは通常Aにしない。
60,2413.T,エムスリー,通常A未達（財務不足）,公式財務不足,PENDING,公式決算・PER/PBR/ROEの不足,財務:不足 / イベント反応:不足 / 質的根拠:不足 / リスク:不足 / 期待値:防御枠 / 信頼度:不足 / 過熱:条件付き,0.0,-9.02,6.4,公式決算短信、決算説明資料、PER/PBR/ROE、EPS/BPS、利益率を原本ベースで埋める。,財務の公式根拠が不足しているため、スコアだけでは通常Aにしない。
61,6857.T,アドバンテスト,通常A未達（イベント不足）,質的根拠不足,PENDING,事業寄与・受注・売上比率の不足,イベント反応:不足 / 質的根拠:不足 / リスク:不足 / 過熱:条件付き,0.0,15.31,31.2,AI、半導体、電力などの材料を、公式資料の受注・売上・利益・シェアへ接続する。,テーマ名だけでは不十分で、会社の数字にどう効くかがまだ弱い。
62,8306.T,三菱UFJ FG,通常A未達（イベント不足）,イベント不足,NO,イベント後反応が通常A水準未達,イベント反応:未達,0.45,10.75,58.2,新しい決算・上方修正・政策材料・業界材料が出るまで通常Aに上げない。,財務やテーマが良くても、市場がまだ買っていないため、通常Aにはしない。
63,8766.T,東京海上HD,通常A未達（イベント不足）,イベント不足,NO,イベント後反応が通常A水準未達,イベント反応:未達 / 信頼度:不足,-24.21,5.33,51.0,新しい決算・上方修正・政策材料・業界材料が出るまで通常Aに上げない。,財務やテーマが良くても、市場がまだ買っていないため、通常Aにはしない。
64,9983.T,ファーストリテイリング,通常A未達（イベント不足）,イベント不足,NO,イベント後反応が通常A水準未達,イベント反応:未達 / 信頼度:不足,-1.45,4.66,56.1,新しい決算・上方修正・政策材料・業界材料が出るまで通常Aに上げない。,財務やテーマが良くても、市場がまだ買っていないため、通常Aにはしない。
65,4063.T,信越化学工業,通常A未達（イベント不足）,イベント不足,NO,イベント後反応が通常A水準未達,イベント反応:未達 / 質的根拠:補助,-1.66,2.46,45.6,新しい決算・上方修正・政策材料・業界材料が出るまで通常Aに上げない。,財務やテーマが良くても、市場がまだ買っていないため、通常Aにはしない。
66,3407.T,旭化成,通常A未達（イベント不足）,イベント不足,NO,イベント後反応が通常A水準未達,イベント反応:未達 / 信頼度:不足,-0.54,2.21,59.6,新しい決算・上方修正・政策材料・業界材料が出るまで通常Aに上げない。,財務やテーマが良くても、市場がまだ買っていないため、通常Aにはしない。
67,6367.T,ダイキン工業,通常A未達（イベント不足）,イベント不足,NO,イベント後反応が通常A水準未達,イベント反応:未達 / 質的根拠:補助 / 期待値:防御枠 / 信頼度:不足 / 過熱:条件付き,-9.02,-2.63,43.3,新しい決算・上方修正・政策材料・業界材料が出るまで通常Aに上げない。,財務やテーマが良くても、市場がまだ買っていないため、通常Aにはしない。
68,5801.T,古河電工,通常A未達（条件付き）,過熱・下落耐性不足,NO,過熱または最大下落が大きい,過熱:条件付き,2.26,15.35,37.6,買うなら通常Aではなく小口・条件付き枠。押し目、出来高、急落耐性を別途確認する。,上昇力はあっても、1年保有テストで通常配分にするには振れ幅が大きい。
69,5803.T,フジクラ,通常A未達（イベント不足）,過熱・下落耐性不足,NO,過熱または最大下落が大きい,イベント反応:不足 / リスク:不足 / 過熱:条件付き,0.0,13.34,19.5,買うなら通常Aではなく小口・条件付き枠。押し目、出来高、急落耐性を別途確認する。,上昇力はあっても、1年保有テストで通常配分にするには振れ幅が大きい。
70,8035.T,東京エレクトロン,通常A未達（イベント不足）,過熱・下落耐性不足,NO,過熱または最大下落が大きい,イベント反応:不足 / リスク:不足 / 過熱:条件付き,0.0,12.84,27.2,買うなら通常Aではなく小口・条件付き枠。押し目、出来高、急落耐性を別途確認する。,上昇力はあっても、1年保有テストで通常配分にするには振れ幅が大きい。
71,5802.T,住友電工,通常A未達（条件付き）,過熱・下落耐性不足,NO,過熱または最大下落が大きい,過熱:条件付き,2.6,12.74,45.5,買うなら通常Aではなく小口・条件付き枠。押し目、出来高、急落耐性を別途確認する。,上昇力はあっても、1年保有テストで通常配分にするには振れ幅が大きい。
72,6146.T,ディスコ,通常A未達（イベント不足）,過熱・下落耐性不足,NO,過熱または最大下落が大きい,イベント反応:不足 / リスク:不足 / 過熱:条件付き,0.0,10.45,26.5,買うなら通常Aではなく小口・条件付き枠。押し目、出来高、急落耐性を別途確認する。,上昇力はあっても、1年保有テストで通常配分にするには振れ幅が大きい。
73,6981.T,村田製作所,通常A未達（条件付き）,過熱・下落耐性不足,NO,過熱または最大下落が大きい,過熱:条件付き,85.84,4.43,40.5,買うなら通常Aではなく小口・条件付き枠。押し目、出来高、急落耐性を別途確認する。,上昇力はあっても、1年保有テストで通常配分にするには振れ幅が大きい。
