theme_id,ticker,company,sector,layer,match_reason,capital_flow_logic,numeric_needed,qualitative_fit_reference,current_use,score_policy
YEN_RESOURCE,8001.T,伊藤忠商事,商社,企業接続層,非資源と消費にも強い商社候補,円安・非資源利益→還元期待,セグメント利益・配当・PER,79,探索候補,質的適合は候補発見に使う。購入候補スコアには、公式数値・過去反応・同業反応の確認後に反映する。
YEN_RESOURCE,8031.T,三井物産,商社,企業接続層,資源価格の感応度確認対象,資源価格→利益変動,資源依存度・原油金属価格・PER,77,探索候補,質的適合は候補発見に使う。購入候補スコアには、公式数値・過去反応・同業反応の確認後に反映する。
NAPHTHA_CHEM,4063.T,信越化学工業,化学,企業接続層,半導体材料・塩ビ・価格転嫁の確認対象,素材市況→利益率格差,製品市況・営業利益率・PER,78,探索候補,質的適合は候補発見に使う。購入候補スコアには、公式数値・過去反応・同業反応の確認後に反映する。
NAPHTHA_CHEM,4188.T,三菱ケミカルG,化学,企業接続層,原料高と価格転嫁の確認対象,ナフサ・原油→化学品採算,粗利率・構造改革・財務,70,参考,質的適合は候補発見に使う。購入候補スコアには、公式数値・過去反応・同業反応の確認後に反映する。
NAPHTHA_CHEM,5020.T,ENEOS,石油,企業接続層,原油・精製マージンの確認対象,原油価格→在庫評価・精製利益,在庫影響・原油価格・還元,72,参考,質的適合は候補発見に使う。購入候補スコアには、公式数値・過去反応・同業反応の確認後に反映する。
PRICE_PASS,2802.T,味の素,食品,企業接続層,価格転嫁とABF/ヘルスケアの確認対象,値上げ・高付加価値→利益率維持,数量・利益率・PER高止まり,76,探索候補,質的適合は候補発見に使う。購入候補スコアには、公式数値・過去反応・同業反応の確認後に反映する。
PRICE_PASS,2801.T,キッコーマン,食品,企業接続層,海外食品・価格転嫁の確認対象,海外販売→円安・値上げ,海外売上・数量・PER,74,参考,質的適合は候補発見に使う。購入候補スコアには、公式数値・過去反応・同業反応の確認後に反映する。
PRICE_PASS,4452.T,花王,日用品,企業接続層,原材料高とブランド価格転嫁の確認対象,値上げ→利益率回復,営業利益率・数量・原材料費,70,参考,質的適合は候補発見に使う。購入候補スコアには、公式数値・過去反応・同業反応の確認後に反映する。
DEFENSE_POLICY,7011.T,三菱重工業,重工/防衛,企業接続層,防衛・宇宙・エネルギー投資の代表候補,防衛予算→受注残増加,受注残・採算・PER過熱,84,探索候補,質的適合は候補発見に使う。購入候補スコアには、公式数値・過去反応・同業反応の確認後に反映する。
DEFENSE_POLICY,7012.T,川崎重工業,重工/防衛,企業接続層,防衛・航空・水素の確認対象,安全保障→防衛受注,受注残・利益率・決算反応,79,探索候補,質的適合は候補発見に使う。購入候補スコアには、公式数値・過去反応・同業反応の確認後に反映する。
DEFENSE_POLICY,6501.T,日立製作所,重電/IT,企業接続層,社会インフラ・防衛周辺の確認対象,国策投資→社会インフラ需要,受注・セグメント利益,72,参考,質的適合は候補発見に使う。購入候補スコアには、公式数値・過去反応・同業反応の確認後に反映する。
DISASTER_INFRA,9433.T,KDDI,通信,企業接続層,災害時通信・安定配当の守り候補,通信強靭化→安定需要,配当・通信料金・成長鈍化,68,参考,質的適合は候補発見に使う。購入候補スコアには、公式数値・過去反応・同業反応の確認後に反映する。
DISASTER_INFRA,1802.T,大林組,建設,企業接続層,インフラ復旧・公共投資の確認対象,復旧需要→建設受注,受注残・資材費・利益率,70,参考,質的適合は候補発見に使う。購入候補スコアには、公式数値・過去反応・同業反応の確認後に反映する。
HEALTHCARE_POLICY,4519.T,中外製薬,医薬品,企業接続層,新薬・海外販売・薬価の確認対象,新薬承認→利益成長期待,薬価・パイプライン・PER,76,探索候補,質的適合は候補発見に使う。購入候補スコアには、公式数値・過去反応・同業反応の確認後に反映する。
