audit_rank,ticker,name,sector,universe_status,reselect_score,final_score,action,audit_status,in_portfolio,price_ready,official_financial_ready,event_ready,qualitative_ready,missing_gate,reason,next_action
43,1803.T,清水建設,その他,除外,66.2,4.6,買付不可,監視/除外,NO,NO,NO,NO,NO,価格 / 公式財務 / イベント / 質的根拠,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,監視または候補外
44,9433.T,KDDI,その他,除外,57.8,4.3,買付不可,監視/除外,NO,NO,NO,YES,YES,価格 / 公式財務,100社再選定で除外 / 財務は補助データ / 価格過熱・反動・指数劣後注意,監視または候補外
45,6367.T,ダイキン工業,その他,除外,46.9,3.8,買付不可,監視/除外,NO,YES,NO,NO,NO,公式財務 / イベント / 質的根拠,100社再選定で除外 / 財務は補助データ / 価格過熱・反動・指数劣後注意,監視または候補外
46,3407.T,旭化成,その他,除外,60.5,2.9,買付不可,監視/除外,NO,NO,NO,NO,NO,価格 / 公式財務 / イベント / 質的根拠,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,監視または候補外
47,6861.T,キーエンス,その他,除外,46.9,2.7,買付不可,監視/除外,NO,NO,NO,NO,YES,価格 / 公式財務 / イベント,100社再選定で除外 / 財務は補助データ / 価格過熱・反動・指数劣後注意,監視または候補外
48,6098.T,リクルートHD,その他,除外,41.6,1.8,買付不可,監視/除外,NO,YES,NO,NO,NO,公式財務 / イベント / 質的根拠,100社再選定で除外 / 財務は補助データ / 価格過熱・反動・指数劣後注意,監視または候補外
49,7269.T,スズキ,その他,除外,41.0,1.1,買付不可,監視/除外,NO,NO,NO,NO,NO,価格 / 公式財務 / イベント / 質的根拠,100社再選定で除外 / 財務は補助データ / 価格過熱・反動・指数劣後注意,監視または候補外
50,4188.T,三菱ケミカルG,その他,除外,46.9,0.8,買付不可,監視/除外,NO,NO,NO,NO,YES,価格 / 公式財務 / イベント,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,監視または候補外
51,4502.T,武田薬品,その他,除外,58.4,0.0,買付不可,監視/除外,NO,YES,NO,NO,NO,公式財務 / イベント / 質的根拠,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,監視または候補外
52,6701.T,NEC,その他,除外,57.0,0.0,買付不可,監視/除外,NO,NO,NO,NO,YES,価格 / 公式財務 / イベント,100社再選定で除外 / 財務は補助データ / 価格過熱・反動・指数劣後注意 / 長期探索テーマ,監視または候補外
53,6201.T,豊田自動織機,その他,除外,55.8,0.0,買付不可,監視/除外,NO,NO,NO,NO,NO,価格 / 公式財務 / イベント / 質的根拠,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,監視または候補外
54,5108.T,ブリヂストン,その他,除外,54.6,0.0,買付不可,監視/除外,NO,NO,NO,NO,NO,価格 / 公式財務 / イベント / 質的根拠,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,監視または候補外
55,2503.T,キリンHD,その他,除外,52.6,0.0,買付不可,監視/除外,NO,NO,NO,NO,NO,価格 / 公式財務 / イベント / 質的根拠,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,監視または候補外
56,7202.T,いすゞ自動車,その他,除外,51.8,0.0,買付不可,監視/除外,NO,NO,NO,NO,NO,価格 / 公式財務 / イベント / 質的根拠,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,監視または候補外
57,6702.T,富士通,その他,除外,50.9,0.0,買付不可,監視/除外,NO,NO,NO,NO,YES,価格 / 公式財務 / イベント,100社再選定で除外 / 財務は補助データ / 価格過熱・反動・指数劣後注意 / 長期探索テーマ,監視または候補外
58,4519.T,中外製薬,その他,除外,50.4,0.0,買付不可,監視/除外,NO,NO,NO,YES,YES,価格 / 公式財務,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,監視または候補外
59,1925.T,大和ハウス工業,その他,除外,50.0,0.0,買付不可,監視/除外,NO,NO,NO,NO,NO,価格 / 公式財務 / イベント / 質的根拠,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,監視または候補外
60,9020.T,JR東日本,その他,除外,49.0,0.0,買付不可,監視/除外,NO,NO,NO,NO,NO,価格 / 公式財務 / イベント / 質的根拠,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,監視または候補外
61,3402.T,東レ,その他,除外,47.8,0.0,買付不可,監視/除外,NO,NO,NO,NO,NO,価格 / 公式財務 / イベント / 質的根拠,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,監視または候補外
62,4503.T,アステラス製薬,その他,除外,46.3,0.0,買付不可,監視/除外,NO,NO,NO,NO,NO,価格 / 公式財務 / イベント / 質的根拠,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,監視または候補外
63,6326.T,クボタ,その他,除外,44.8,0.0,買付不可,監視/除外,NO,NO,NO,NO,NO,価格 / 公式財務 / イベント / 質的根拠,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,監視または候補外
64,7203.T,トヨタ自動車,その他,除外,44.6,0.0,買付不可,監視/除外,NO,YES,NO,NO,NO,公式財務 / イベント / 質的根拠,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,監視または候補外
65,9766.T,コナミグループ,その他,除外,43.5,0.0,買付不可,監視/除外,NO,NO,NO,NO,NO,価格 / 公式財務 / イベント / 質的根拠,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,監視または候補外
66,7267.T,ホンダ,その他,除外,41.8,0.0,買付不可,監視/除外,NO,NO,NO,NO,NO,価格 / 公式財務 / イベント / 質的根拠,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,監視または候補外
67,7532.T,パン・パシフィック,その他,除外,41.4,0.0,買付不可,監視/除外,NO,NO,NO,NO,NO,価格 / 公式財務 / イベント / 質的根拠,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,監視または候補外
68,6526.T,ソシオネクスト,その他,除外,40.8,0.0,買付不可,監視/除外,NO,NO,NO,NO,NO,価格 / 公式財務 / イベント / 質的根拠,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,監視または候補外
69,9697.T,カプコン,その他,除外,40.7,0.0,買付不可,監視/除外,NO,NO,NO,NO,NO,価格 / 公式財務 / イベント / 質的根拠,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,監視または候補外
70,4005.T,住友化学,その他,除外,40.4,0.0,買付不可,監視/除外,NO,NO,NO,NO,NO,価格 / 公式財務 / イベント / 質的根拠,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,監視または候補外
71,6758.T,ソニーグループ,その他,除外,40.2,0.0,買付不可,監視/除外,NO,YES,NO,NO,NO,公式財務 / イベント / 質的根拠,100社再選定で除外 / 財務は補助データ / 価格過熱・反動・指数劣後注意,監視または候補外
72,9202.T,ANA HD,その他,除外,36.4,0.0,買付不可,監視/除外,NO,NO,NO,NO,NO,価格 / 公式財務 / イベント / 質的根拠,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,監視または候補外
73,6273.T,SMC,その他,除外,34.7,0.0,買付不可,監視/除外,NO,NO,NO,NO,NO,価格 / 公式財務 / イベント / 質的根拠,100社再選定で除外 / 財務は補助データ / 価格過熱・反動・指数劣後注意,監視または候補外
74,6902.T,デンソー,その他,除外,34.6,0.0,買付不可,監視/除外,NO,NO,NO,NO,NO,価格 / 公式財務 / イベント / 質的根拠,100社再選定で除外 / 財務は補助データ / 価格過熱・反動・指数劣後注意,監視または候補外
75,2801.T,キッコーマン,その他,除外,34.3,0.0,買付不可,監視/除外,NO,NO,NO,NO,YES,価格 / 公式財務 / イベント,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,監視または候補外
76,4452.T,花王,その他,除外,32.4,0.0,買付不可,監視/除外,NO,NO,NO,NO,YES,価格 / 公式財務 / イベント,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,監視または候補外
77,6645.T,オムロン,その他,除外,32.2,0.0,買付不可,監視/除外,NO,NO,NO,NO,NO,価格 / 公式財務 / イベント / 質的根拠,100社再選定で除外 / 財務は補助データ / 価格過熱・反動・指数劣後注意,監視または候補外
78,9022.T,JR東海,その他,除外,31.9,0.0,買付不可,監視/除外,NO,NO,NO,NO,NO,価格 / 公式財務 / イベント / 質的根拠,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,監視または候補外
79,2432.T,ディー・エヌ・エー,その他,除外,31.7,0.0,買付不可,監視/除外,NO,NO,NO,NO,NO,価格 / 公式財務 / イベント / 質的根拠,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,監視または候補外
80,7832.T,バンダイナムコHD,その他,除外,31.4,0.0,買付不可,監視/除外,NO,NO,NO,NO,NO,価格 / 公式財務 / イベント / 質的根拠,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,監視または候補外
81,4385.T,メルカリ,その他,除外,30.4,0.0,買付不可,監視/除外,NO,NO,NO,YES,NO,価格 / 公式財務 / 質的根拠,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,監視または候補外
82,2502.T,アサヒGHD,その他,除外,29.0,0.0,買付不可,監視/除外,NO,NO,NO,NO,NO,価格 / 公式財務 / イベント / 質的根拠,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,監視または候補外
83,7270.T,SUBARU,その他,除外,26.9,0.0,買付不可,監視/除外,NO,NO,NO,NO,NO,価格 / 公式財務 / イベント / 質的根拠,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,監視または候補外
84,4543.T,テルモ,その他,除外,26.0,0.0,買付不可,監視/除外,NO,NO,NO,NO,NO,価格 / 公式財務 / イベント / 質的根拠,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,監視または候補外
85,9021.T,JR西日本,その他,除外,23.5,0.0,買付不可,監視/除外,NO,NO,NO,NO,NO,価格 / 公式財務 / イベント / 質的根拠,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,監視または候補外
86,7974.T,任天堂,その他,除外,21.3,0.0,買付不可,監視/除外,NO,YES,NO,YES,NO,公式財務 / 質的根拠,100社再選定で除外 / 財務は補助データ / 価格過熱・反動・指数劣後注意,監視または候補外
87,4911.T,資生堂,その他,除外,18.6,0.0,買付不可,監視/除外,NO,NO,NO,NO,NO,価格 / 公式財務 / イベント / 質的根拠,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,監視または候補外
88,8113.T,ユニ・チャーム,その他,除外,17.8,0.0,買付不可,監視/除外,NO,NO,NO,NO,NO,価格 / 公式財務 / イベント / 質的根拠,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,監視または候補外
89,4568.T,第一三共,その他,除外,17.3,0.0,買付不可,監視/除外,NO,NO,NO,NO,NO,価格 / 公式財務 / イベント / 質的根拠,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,監視または候補外
90,4751.T,サイバーエージェント,その他,除外,16.0,0.0,買付不可,監視/除外,NO,NO,NO,NO,NO,価格 / 公式財務 / イベント / 質的根拠,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,監視または候補外
91,4523.T,エーザイ,その他,除外,15.9,0.0,買付不可,監視/除外,NO,NO,NO,NO,NO,価格 / 公式財務 / イベント / 質的根拠,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,監視または候補外
92,3092.T,ZOZO,その他,除外,15.7,0.0,買付不可,監視/除外,NO,NO,NO,NO,NO,価格 / 公式財務 / イベント / 質的根拠,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,監視または候補外
93,3659.T,ネクソン,その他,除外,15.7,0.0,買付不可,監視/除外,NO,NO,NO,NO,NO,価格 / 公式財務 / イベント / 質的根拠,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,監視または候補外
94,6594.T,ニデック,その他,除外,14.3,0.0,買付不可,監視/除外,NO,NO,NO,YES,NO,価格 / 公式財務 / 質的根拠,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,監視または候補外
95,9843.T,ニトリHD,その他,除外,12.3,0.0,買付不可,監視/除外,NO,NO,NO,NO,NO,価格 / 公式財務 / イベント / 質的根拠,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,監視または候補外
96,4661.T,オリエンタルランド,その他,除外,10.6,0.0,買付不可,監視/除外,NO,NO,NO,NO,NO,価格 / 公式財務 / イベント / 質的根拠,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,監視または候補外
97,4755.T,楽天グループ,その他,除外,10.3,0.0,買付不可,監視/除外,NO,NO,NO,NO,NO,価格 / 公式財務 / イベント / 質的根拠,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,監視または候補外
98,4689.T,LINEヤフー,その他,除外,9.4,0.0,買付不可,監視/除外,NO,NO,NO,NO,NO,価格 / 公式財務 / イベント / 質的根拠,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,監視または候補外
99,6869.T,シスメックス,その他,除外,3.1,0.0,買付不可,監視/除外,NO,NO,NO,NO,NO,価格 / 公式財務 / イベント / 質的根拠,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,監視または候補外
100,2413.T,エムスリー,その他,除外,1.6,0.0,買付不可,監視/除外,NO,NO,NO,NO,NO,価格 / 公式財務 / イベント / 質的根拠,100社再選定で除外 / 財務補助データに注意 / 価格過熱・反動・指数劣後注意,監視または候補外
