ticker,銘柄,ゲート,入力ID,入力項目,候補値,候補値あり,取得元,参照URL,参照項目または計算式,公式確認,スコア反映,P1復帰,買付上限,注意
8035.T,東京エレクトロン,財務ゲート,8035_per_official,PER,54.2倍,あり,2026年3月期 決算短信〔日本基準〕,https://www.tel.co.jp/ir/library/report/jngpc500000000l6-att/fy26q4tanshin-j.pdf,68000 ÷ 1254.57,未,禁止,0社,0円,株価が既存JSON基準。PDF値と株価基準日の目視確認後に入力候補。 スコアには反映しない。
8035.T,東京エレクトロン,財務ゲート,8035_pbr_official,PBR,15.11倍,あり,2026年3月期 決算短信〔日本基準〕,https://www.tel.co.jp/ir/library/report/jngpc500000000l6-att/fy26q4tanshin-j.pdf,68000 ÷ 4498.85,未,禁止,0社,0円,BPSはPDF抽出候補。株価基準日とBPSの原文確認後に入力候補。 スコアには反映しない。
8035.T,東京エレクトロン,財務ゲート,8035_roe_official,ROE,,なし,,,,未,禁止,0社,0円,既存データから候補値を取得できていない。手動確認または再取得が必要。
8035.T,東京エレクトロン,財務ゲート,8035_operating_margin,営業利益率,,なし,,,,未,禁止,0社,0円,既存データから候補値を取得できていない。手動確認または再取得が必要。
8035.T,東京エレクトロン,財務ゲート,8035_order_or_segment_growth,受注・事業別売上/利益の伸び,,なし,,,,未,禁止,0社,0円,既存データから候補値を取得できていない。手動確認または再取得が必要。
8035.T,東京エレクトロン,価格ゲート,8035_price_date,株価計算日,,なし,,,,未,禁止,0社,0円,既存データから候補値を取得できていない。手動確認または再取得が必要。
8035.T,東京エレクトロン,価格ゲート,8035_current_price,直近株価,,なし,,,,未,禁止,0社,0円,既存データから候補値を取得できていない。手動確認または再取得が必要。
8035.T,東京エレクトロン,価格ゲート,8035_return_60d,60日騰落率,16.6%,あり,784_integrated_recalculation_scores_20260528.csv,,60日騰落率,未,禁止,0社,0円,100社再計算ファイルから拾った既存値。公式確認済み扱いにはせず、入力候補としてだけ使う。
8035.T,東京エレクトロン,価格ゲート,8035_return_1y,1年騰落率,130.3%,あり,784_integrated_recalculation_scores_20260528.csv,,直近1年騰落率,未,禁止,0社,0円,100社再計算ファイルから拾った既存値。公式確認済み扱いにはせず、入力候補としてだけ使う。
8035.T,東京エレクトロン,価格ゲート,8035_cagr_5y,5年CAGR,29.5%,あり,784_integrated_recalculation_scores_20260528.csv,,5年CAGR,未,禁止,0社,0円,100社再計算ファイルから拾った既存値。公式確認済み扱いにはせず、入力候補としてだけ使う。
8035.T,東京エレクトロン,価格ゲート,8035_cagr_10y,10年CAGR,38.2%,あり,784_integrated_recalculation_scores_20260528.csv,,10年CAGR,未,禁止,0社,0円,100社再計算ファイルから拾った既存値。公式確認済み扱いにはせず、入力候補としてだけ使う。
8035.T,東京エレクトロン,価格ゲート,8035_max_drawdown_1y,1年最大下落率,-28.8%,あり,784_integrated_recalculation_scores_20260528.csv,,直近1年最大下落率,未,禁止,0社,0円,100社再計算ファイルから拾った既存値。公式確認済み扱いにはせず、入力候補としてだけ使う。
8035.T,東京エレクトロン,価格ゲート,8035_sp500_gap_1y,S&P500との差,102.7%,あり,784_integrated_recalculation_scores_20260528.csv,,直近1年S&P500との差,未,禁止,0社,0円,100社再計算ファイルから拾った既存値。公式確認済み扱いにはせず、入力候補としてだけ使う。
8035.T,東京エレクトロン,イベント後ゲート,8035_event_cpi_result,6月CPI結果,,なし,,,,未,禁止,0社,0円,既存データから候補値を取得できていない。手動確認または再取得が必要。
8035.T,東京エレクトロン,イベント後ゲート,8035_event_boj_result,日銀会合結果,,なし,,,,未,禁止,0社,0円,既存データから候補値を取得できていない。手動確認または再取得が必要。
8035.T,東京エレクトロン,イベント後ゲート,8035_event_fomc_result,FOMC結果,,なし,,,,未,禁止,0社,0円,既存データから候補値を取得できていない。手動確認または再取得が必要。
8035.T,東京エレクトロン,イベント後ゲート,8035_post_event_index_reaction,イベント後指数反応,,なし,,,,未,禁止,0社,0円,既存データから候補値を取得できていない。手動確認または再取得が必要。
8035.T,東京エレクトロン,イベント後ゲート,8035_post_event_ticker_reaction,イベント後個別株反応,,なし,,,,未,禁止,0社,0円,既存データから候補値を取得できていない。手動確認または再取得が必要。
8035.T,東京エレクトロン,説明可能性ゲート,8035_one_line_reason,1行の残す理由,WFE見通し、製品シェア、AIサーバー需要との接続を確認対象にする。ただし高PERと半導体投資サイクルの下落リスクを同時に見る。,あり,入力キューから作成した説明候補,,説明候補,未,禁止,0社,0円,テーマ名だけで残さないための仮文章。公式数値と接続してから採用する。
8035.T,東京エレクトロン,説明可能性ゲート,8035_keep_condition,残す条件,WFE見通し、利益率、PER/PBR、イベント後のSOX・日経平均比反応がそろい、高PERを説明できる場合のみ残す。,あり,入力キューから作成した説明候補,,条件候補,未,禁止,0社,0円,最終判断ではなく、未確認項目を埋めるための文章候補。
8035.T,東京エレクトロン,説明可能性ゲート,8035_drop_condition,落とす条件,FOMC後の金利上昇、SOX反落、会社見通し悪化、高PERを支える利益成長不足が確認された場合は落とす。,あり,入力キューから作成した説明候補,,条件候補,未,禁止,0社,0円,最終判断ではなく、未確認項目を埋めるための文章候補。
8035.T,東京エレクトロン,説明可能性ゲート,8035_unconfirmed_items,未確認事項,公式PER/PBR/ROE、営業利益率、WFE見通し、イベント後反応、半導体サイクル悪化時の停止条件。,あり,入力キューから作成した説明候補,,未確認事項,未,禁止,0社,0円,人間が確認すべき未完了項目。
