口座数,ticker,銘柄,チャンネル,役割,株式内比率,元本比率,最終投入額,6/18-24初回,7/15前後追加,8/17-21追加,1年想定レンジ
2,7011.T,三菱重工業,データセンター・電力・冷却・電線,電力・冷却・防衛,6.3%,4.4%,210000,105000,60000,45000,6〜12%
2,6762.T,TDK,フィジカルAI,電源・センサー・電子部品,6.3%,4.4%,210000,105000,60000,45000,7〜12%
2,6146.T,ディスコ,半導体製造装置・材料,切断・研削・先端PKG,6.3%,4.4%,210000,105000,60000,45000,10〜18%
2,5803.T,フジクラ,データセンター・電力・冷却・電線,光通信・電線,6.3%,4.4%,210000,105000,60000,45000,10〜20%
3,8053.T,住友商事,総合候補,商社・資源・還元,18.8%,13.1%,945000,472500,270000,202500,7〜10%
3,8316.T,三井住友FG,総合候補,銀行・金利・還元,18.8%,13.1%,945000,472500,270000,202500,7〜11%
3,6501.T,日立製作所,データセンター・電力・冷却・電線,電力網・制御・デジタル,18.8%,13.1%,945000,472500,270000,202500,8〜12%
3,6503.T,三菱電機,総合候補,電力制御・FA・複合,6.3%,4.4%,315000,157500,90000,67500,7〜11%
3,6857.T,アドバンテスト,半導体製造装置・材料,AI半導体検査,6.3%,4.4%,315000,157500,90000,67500,10〜18%
3,8035.T,東京エレクトロン,半導体製造装置・材料,前工程装置,6.3%,4.4%,315000,157500,90000,67500,9〜16%
3,7011.T,三菱重工業,データセンター・電力・冷却・電線,電力・冷却・防衛,6.3%,4.4%,315000,157500,90000,67500,6〜12%
3,6762.T,TDK,フィジカルAI,電源・センサー・電子部品,6.3%,4.4%,315000,157500,90000,67500,7〜12%
3,6146.T,ディスコ,半導体製造装置・材料,切断・研削・先端PKG,6.3%,4.4%,315000,157500,90000,67500,10〜18%
3,5803.T,フジクラ,データセンター・電力・冷却・電線,光通信・電線,6.3%,4.4%,315000,157500,90000,67500,10〜20%
4,8053.T,住友商事,総合候補,商社・資源・還元,18.8%,13.1%,1260000,630000,360000,270000,7〜10%
4,8316.T,三井住友FG,総合候補,銀行・金利・還元,18.8%,13.1%,1260000,630000,360000,270000,7〜11%
4,6501.T,日立製作所,データセンター・電力・冷却・電線,電力網・制御・デジタル,18.8%,13.1%,1260000,630000,360000,270000,8〜12%
4,6503.T,三菱電機,総合候補,電力制御・FA・複合,6.3%,4.4%,420000,210000,120000,90000,7〜11%
4,6857.T,アドバンテスト,半導体製造装置・材料,AI半導体検査,6.3%,4.4%,420000,210000,120000,90000,10〜18%
4,8035.T,東京エレクトロン,半導体製造装置・材料,前工程装置,6.3%,4.4%,420000,210000,120000,90000,9〜16%
4,7011.T,三菱重工業,データセンター・電力・冷却・電線,電力・冷却・防衛,6.3%,4.4%,420000,210000,120000,90000,6〜12%
4,6762.T,TDK,フィジカルAI,電源・センサー・電子部品,6.3%,4.4%,420000,210000,120000,90000,7〜12%
4,6146.T,ディスコ,半導体製造装置・材料,切断・研削・先端PKG,6.3%,4.4%,420000,210000,120000,90000,10〜18%
4,5803.T,フジクラ,データセンター・電力・冷却・電線,光通信・電線,6.3%,4.4%,420000,210000,120000,90000,10〜20%
5,8053.T,住友商事,総合候補,商社・資源・還元,18.8%,13.1%,1575000,787500,450000,337500,7〜10%
5,8316.T,三井住友FG,総合候補,銀行・金利・還元,18.8%,13.1%,1575000,787500,450000,337500,7〜11%
5,6501.T,日立製作所,データセンター・電力・冷却・電線,電力網・制御・デジタル,18.8%,13.1%,1575000,787500,450000,337500,8〜12%
5,6503.T,三菱電機,総合候補,電力制御・FA・複合,6.3%,4.4%,525000,262500,150000,112500,7〜11%
5,6857.T,アドバンテスト,半導体製造装置・材料,AI半導体検査,6.3%,4.4%,525000,262500,150000,112500,10〜18%
5,8035.T,東京エレクトロン,半導体製造装置・材料,前工程装置,6.3%,4.4%,525000,262500,150000,112500,9〜16%
5,7011.T,三菱重工業,データセンター・電力・冷却・電線,電力・冷却・防衛,6.3%,4.4%,525000,262500,150000,112500,6〜12%
5,6762.T,TDK,フィジカルAI,電源・センサー・電子部品,6.3%,4.4%,525000,262500,150000,112500,7〜12%
5,6146.T,ディスコ,半導体製造装置・材料,切断・研削・先端PKG,6.3%,4.4%,525000,262500,150000,112500,10〜18%
5,5803.T,フジクラ,データセンター・電力・冷却・電線,光通信・電線,6.3%,4.4%,525000,262500,150000,112500,10〜20%
6,8053.T,住友商事,総合候補,商社・資源・還元,18.8%,13.1%,1890000,945000,540000,405000,7〜10%
6,8316.T,三井住友FG,総合候補,銀行・金利・還元,18.8%,13.1%,1890000,945000,540000,405000,7〜11%
6,6501.T,日立製作所,データセンター・電力・冷却・電線,電力網・制御・デジタル,18.8%,13.1%,1890000,945000,540000,405000,8〜12%
6,6503.T,三菱電機,総合候補,電力制御・FA・複合,6.3%,4.4%,630000,315000,180000,135000,7〜11%
6,6857.T,アドバンテスト,半導体製造装置・材料,AI半導体検査,6.3%,4.4%,630000,315000,180000,135000,10〜18%
6,8035.T,東京エレクトロン,半導体製造装置・材料,前工程装置,6.3%,4.4%,630000,315000,180000,135000,9〜16%
6,7011.T,三菱重工業,データセンター・電力・冷却・電線,電力・冷却・防衛,6.3%,4.4%,630000,315000,180000,135000,6〜12%
6,6762.T,TDK,フィジカルAI,電源・センサー・電子部品,6.3%,4.4%,630000,315000,180000,135000,7〜12%
6,6146.T,ディスコ,半導体製造装置・材料,切断・研削・先端PKG,6.3%,4.4%,630000,315000,180000,135000,10〜18%
6,5803.T,フジクラ,データセンター・電力・冷却・電線,光通信・電線,6.3%,4.4%,630000,315000,180000,135000,10〜20%
7,8053.T,住友商事,総合候補,商社・資源・還元,18.8%,13.1%,2205000,1102500,630000,472500,7〜10%
7,8316.T,三井住友FG,総合候補,銀行・金利・還元,18.8%,13.1%,2205000,1102500,630000,472500,7〜11%
7,6501.T,日立製作所,データセンター・電力・冷却・電線,電力網・制御・デジタル,18.8%,13.1%,2205000,1102500,630000,472500,8〜12%
7,6503.T,三菱電機,総合候補,電力制御・FA・複合,6.3%,4.4%,735000,367500,210000,157500,7〜11%
7,6857.T,アドバンテスト,半導体製造装置・材料,AI半導体検査,6.3%,4.4%,735000,367500,210000,157500,10〜18%
7,8035.T,東京エレクトロン,半導体製造装置・材料,前工程装置,6.3%,4.4%,735000,367500,210000,157500,9〜16%
7,7011.T,三菱重工業,データセンター・電力・冷却・電線,電力・冷却・防衛,6.3%,4.4%,735000,367500,210000,157500,6〜12%
7,6762.T,TDK,フィジカルAI,電源・センサー・電子部品,6.3%,4.4%,735000,367500,210000,157500,7〜12%
7,6146.T,ディスコ,半導体製造装置・材料,切断・研削・先端PKG,6.3%,4.4%,735000,367500,210000,157500,10〜18%
7,5803.T,フジクラ,データセンター・電力・冷却・電線,光通信・電線,6.3%,4.4%,735000,367500,210000,157500,10〜20%
8,8053.T,住友商事,総合候補,商社・資源・還元,18.8%,13.1%,2520000,1260000,720000,540000,7〜10%
8,8316.T,三井住友FG,総合候補,銀行・金利・還元,18.8%,13.1%,2520000,1260000,720000,540000,7〜11%
8,6501.T,日立製作所,データセンター・電力・冷却・電線,電力網・制御・デジタル,18.8%,13.1%,2520000,1260000,720000,540000,8〜12%
8,6503.T,三菱電機,総合候補,電力制御・FA・複合,6.3%,4.4%,840000,420000,240000,180000,7〜11%
8,6857.T,アドバンテスト,半導体製造装置・材料,AI半導体検査,6.3%,4.4%,840000,420000,240000,180000,10〜18%
8,8035.T,東京エレクトロン,半導体製造装置・材料,前工程装置,6.3%,4.4%,840000,420000,240000,180000,9〜16%
8,7011.T,三菱重工業,データセンター・電力・冷却・電線,電力・冷却・防衛,6.3%,4.4%,840000,420000,240000,180000,6〜12%
8,6762.T,TDK,フィジカルAI,電源・センサー・電子部品,6.3%,4.4%,840000,420000,240000,180000,7〜12%
8,6146.T,ディスコ,半導体製造装置・材料,切断・研削・先端PKG,6.3%,4.4%,840000,420000,240000,180000,10〜18%
8,5803.T,フジクラ,データセンター・電力・冷却・電線,光通信・電線,6.3%,4.4%,840000,420000,240000,180000,10〜20%
9,8053.T,住友商事,総合候補,商社・資源・還元,18.8%,13.1%,2835000,1417500,810000,607500,7〜10%
9,8316.T,三井住友FG,総合候補,銀行・金利・還元,18.8%,13.1%,2835000,1417500,810000,607500,7〜11%
9,6501.T,日立製作所,データセンター・電力・冷却・電線,電力網・制御・デジタル,18.8%,13.1%,2835000,1417500,810000,607500,8〜12%
9,6503.T,三菱電機,総合候補,電力制御・FA・複合,6.3%,4.4%,945000,472500,270000,202500,7〜11%
9,6857.T,アドバンテスト,半導体製造装置・材料,AI半導体検査,6.3%,4.4%,945000,472500,270000,202500,10〜18%
9,8035.T,東京エレクトロン,半導体製造装置・材料,前工程装置,6.3%,4.4%,945000,472500,270000,202500,9〜16%
9,7011.T,三菱重工業,データセンター・電力・冷却・電線,電力・冷却・防衛,6.3%,4.4%,945000,472500,270000,202500,6〜12%
9,6762.T,TDK,フィジカルAI,電源・センサー・電子部品,6.3%,4.4%,945000,472500,270000,202500,7〜12%
9,6146.T,ディスコ,半導体製造装置・材料,切断・研削・先端PKG,6.3%,4.4%,945000,472500,270000,202500,10〜18%
9,5803.T,フジクラ,データセンター・電力・冷却・電線,光通信・電線,6.3%,4.4%,945000,472500,270000,202500,10〜20%
10,8053.T,住友商事,総合候補,商社・資源・還元,18.8%,13.1%,3150000,1575000,900000,675000,7〜10%
10,8316.T,三井住友FG,総合候補,銀行・金利・還元,18.8%,13.1%,3150000,1575000,900000,675000,7〜11%
10,6501.T,日立製作所,データセンター・電力・冷却・電線,電力網・制御・デジタル,18.8%,13.1%,3150000,1575000,900000,675000,8〜12%
10,6503.T,三菱電機,総合候補,電力制御・FA・複合,6.3%,4.4%,1050000,525000,300000,225000,7〜11%
10,6857.T,アドバンテスト,半導体製造装置・材料,AI半導体検査,6.3%,4.4%,1050000,525000,300000,225000,10〜18%
10,8035.T,東京エレクトロン,半導体製造装置・材料,前工程装置,6.3%,4.4%,1050000,525000,300000,225000,9〜16%
10,7011.T,三菱重工業,データセンター・電力・冷却・電線,電力・冷却・防衛,6.3%,4.4%,1050000,525000,300000,225000,6〜12%
10,6762.T,TDK,フィジカルAI,電源・センサー・電子部品,6.3%,4.4%,1050000,525000,300000,225000,7〜12%
10,6146.T,ディスコ,半導体製造装置・材料,切断・研削・先端PKG,6.3%,4.4%,1050000,525000,300000,225000,10〜18%
10,5803.T,フジクラ,データセンター・電力・冷却・電線,光通信・電線,6.3%,4.4%,1050000,525000,300000,225000,10〜20%
