rank,ticker,name,portfolio_status,expected_value_pct,raw_expected_value_pct,ev_confidence_pct,data_completion_pct,up_probability_pct,upside_pct,down_probability_pct,downside_pct,cost_pct,formula,inputs,ev_confidence_reason,calculation_note,data_gate
11,6971.T,京セラ,非配分,2.66,4.62,57.6,55.1,62.0,16.5,38.0,13.8,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 16.4 / 10年CAGR 11.4 / 直近1年 92.3 / 最大下落 -16.0,財務0.64 / イベント0.55 / 質的0.55 / 価格0.35 / 信頼度0.79,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
12,5020.T,ENEOS HD,非配分,6.35,9.6,66.1,62.6,63.3,23.1,36.7,12.6,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 27.9 / 10年CAGR 15.9 / 直近1年 96.7 / 最大下落 -16.2,財務0.64 / イベント0.76 / 質的0.72 / 価格0.35 / 信頼度0.86,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
13,1605.T,INPEX,非配分,8.96,13.23,67.7,71.7,62.6,30.0,37.4,13.8,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 43.3 / 10年CAGR 19.1 / 直近1年 100.9 / 最大下落 -25.3,財務0.64 / イベント0.55 / 質的0.55 / 価格1.00 / 信頼度0.83,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
14,8002.T,丸紅,非配分,10.78,14.71,73.3,76.3,61.8,34.1,38.2,15.7,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 45.2 / 10年CAGR 31.0 / 直近1年 87.2 / 最大下落 -18.3,財務0.64 / イベント0.76 / 質的0.55 / 価格1.00 / 信頼度0.86,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
15,8725.T,MS&AD,非配分,6.33,9.34,67.7,71.7,61.9,24.2,38.1,13.7,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 36.3 / 10年CAGR 20.1 / 直近1年 34.7 / 最大下落 -12.0,財務0.64 / イベント0.55 / 質的0.55 / 価格1.00 / 信頼度0.83,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
16,2802.T,味の素,非配分,6.64,10.05,66.1,62.6,61.7,23.6,38.3,10.8,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 34.3 / 10年CAGR 16.2 / 直近1年 45.9 / 最大下落 -25.6,財務0.64 / イベント0.76 / 質的0.72 / 価格0.35 / 信頼度0.86,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
17,7012.T,川崎重工業,非配分,6.72,10.17,66.1,62.6,61.6,28.3,38.4,17.9,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 45.3 / 10年CAGR 18.7 / 直近1年 59.2 / 最大下落 -23.1,財務0.64 / イベント0.76 / 質的0.72 / 価格0.35 / 信頼度0.86,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
18,5801.T,古河電工,非配分,11.4,17.24,66.1,62.6,69.5,35.0,30.5,21.9,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 82.7 / 10年CAGR 38.2 / 直近1年 684.6 / 最大下落 -19.5,財務0.64 / イベント0.76 / 質的0.72 / 価格0.35 / 信頼度0.86,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
19,9983.T,ファーストリテイリング,非配分,4.71,7.46,63.2,59.7,61.1,23.0,38.9,15.9,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 22.4 / 10年CAGR 24.3 / 直近1年 67.4 / 最大下落 -12.2,財務0.64 / イベント0.76 / 質的0.55 / 価格0.35 / 信頼度0.83,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
20,8001.T,伊藤忠商事,非配分,5.97,8.46,70.6,74.7,60.8,22.1,39.2,11.7,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 27.2 / 10年CAGR 25.4 / 直近1年 31.2 / 最大下落 -14.7,財務0.64 / イベント0.55 / 質的0.72 / 価格1.00 / 信頼度0.86,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
21,1812.T,鹿島,非配分,5.9,10.24,57.6,55.1,60.5,25.5,39.5,12.2,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 35.4 / 10年CAGR 18.4 / 直近1年 65.8 / 最大下落 -27.9,財務0.64 / イベント0.55 / 質的0.55 / 価格0.35 / 信頼度0.79,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
22,4063.T,信越化学工業,非配分,2.5,3.27,76.2,79.2,60.1,19.2,39.9,19.8,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 16.5 / 10年CAGR 21.6 / 直近1年 63.6 / 最大下落 -14.9,財務0.64 / イベント0.76 / 質的0.72 / 価格1.00 / 信頼度0.90,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
23,5019.T,出光興産,非配分,3.65,6.34,57.6,55.1,59.8,19.7,40.2,12.5,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 24.9 / 10年CAGR 15.3 / 直近1年 57.8 / 最大下落 -21.3,財務0.64 / イベント0.55 / 質的0.55 / 価格0.35 / 信頼度0.79,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
24,6301.T,コマツ,非配分,2.59,4.51,57.6,55.1,59.4,17.3,40.6,13.2,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 18.6 / 10年CAGR 17.0 / 直近1年 51.8 / 最大下落 -23.7,財務0.64 / イベント0.55 / 質的0.55 / 価格0.35 / 信頼度0.79,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
25,5802.T,住友電工,非配分,12.74,16.72,76.2,79.2,65.9,35.0,34.1,17.4,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 52.3 / 10年CAGR 26.2 / 直近1年 323.3 / 最大下落 -22.0,財務0.64 / イベント0.76 / 質的0.72 / 価格1.00 / 信頼度0.90,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
26,6857.T,アドバンテスト,非配分,12.91,14.79,87.3,89.0,65.0,35.0,35.0,21.6,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 63.2 / 10年CAGR 58.5 / 直近1年 264.3 / 最大下落 -28.9,財務0.78 / イベント0.88 / 質的0.90 / 価格1.00 / 信頼度0.95,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
27,6981.T,村田製作所,非配分,4.43,7.68,57.6,55.1,64.0,24.4,36.0,20.9,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 26.9 / 10年CAGR 21.8 / 直近1年 313.2 / 最大下落 -18.5,財務0.64 / イベント0.55 / 質的0.55 / 価格0.35 / 信頼度0.79,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
28,8035.T,東京エレクトロン,非配分,10.67,12.22,87.3,89.0,64.6,32.4,35.4,23.4,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 29.5 / 10年CAGR 38.2 / 直近1年 130.3 / 最大下落 -28.8,財務0.78 / イベント0.88 / 質的0.90 / 価格1.00 / 信頼度0.95,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
29,7735.T,SCREEN HD,非配分,6.06,8.95,67.7,71.7,62.5,29.8,37.5,24.8,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 37.1 / 10年CAGR 25.7 / 直近1年 113.5 / 最大下落 -23.8,財務0.64 / イベント0.55 / 質的0.55 / 価格1.00 / 信頼度0.83,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
30,6723.T,ルネサス,非配分,3.6,6.25,57.6,55.1,62.1,25.7,37.9,24.6,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 30.7 / 10年CAGR 21.3 / 直近1年 147.9 / 最大下落 -30.7,財務0.64 / イベント0.55 / 質的0.55 / 価格0.35 / 信頼度0.79,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
31,6920.T,レーザーテック,非配分,1.51,2.06,73.3,76.3,60.5,24.9,39.5,32.0,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 17.0 / 10年CAGR 63.0 / 直近1年 171.6 / 最大下落 -27.1,財務0.64 / イベント0.76 / 質的0.55 / 価格1.00 / 信頼度0.86,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
32,5803.T,フジクラ,除外,12.46,14.28,87.3,89.0,63.9,35.0,36.1,21.3,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 135.0 / 10年CAGR 51.5 / 直近1年 367.4 / 最大下落 -45.3,財務0.78 / イベント0.88 / 質的0.90 / 価格1.00 / 信頼度0.95,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
33,8766.T,東京海上HD,除外,5.33,8.81,60.5,58.0,61.5,25.1,38.5,16.3,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 37.8 / 10年CAGR 23.4 / 直近1年 24.4 / 最大下落 -18.1,財務0.64 / イベント0.55 / 質的0.72 / 価格0.35 / 信頼度0.83,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
34,7011.T,三菱重工,除外,12.83,14.7,87.3,89.0,61.8,33.7,38.2,15.0,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 65.9 / 10年CAGR 27.4 / 直近1年 17.2 / 最大下落 -26.6,財務0.78 / イベント0.88 / 質的0.90 / 価格1.00 / 信頼度0.95,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
35,6146.T,ディスコ,除外,9.42,10.79,87.3,89.0,61.8,35.0,38.2,27.4,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 45.1 / 10年CAGR 37.0 / 直近1年 99.5 / 最大下落 -24.7,財務0.78 / イベント0.88 / 質的0.90 / 価格1.00 / 信頼度0.95,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
36,7013.T,IHI,除外,6.65,11.54,57.6,55.1,60.8,31.3,39.2,18.1,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 51.0 / 10年CAGR 23.2 / 直近1年 37.4 / 最大下落 -43.1,財務0.64 / イベント0.55 / 質的0.55 / 価格0.35 / 信頼度0.79,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
37,6954.T,ファナック,除外,1.16,1.99,58.1,55.7,61.2,14.4,38.8,16.5,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 10.9 / 10年CAGR 11.6 / 直近1年 109.7 / 最大下落 -24.7,財務0.64 / イベント0.55 / 質的0.55 / 価格0.35 / 信頼度0.85,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
38,9984.T,ソフトバンクG,除外,4.92,6.71,73.3,76.3,62.2,24.4,37.8,21.3,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 28.1 / 10年CAGR 25.5 / 直近1年 265.9 / 最大下落 -48.6,財務0.64 / イベント0.76 / 質的0.55 / 価格1.00 / 信頼度0.86,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
39,9434.T,ソフトバンク,除外,0.36,0.63,57.6,55.1,59.7,5.8,40.3,6.1,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 14.3 / 10年CAGR 0.0 / 直近1年 1.5 / 最大下落 -14.1,財務0.64 / イベント0.55 / 質的0.55 / 価格0.35 / 信頼度0.79,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
40,9432.T,NTT,除外,-0.46,-0.8,57.6,55.1,59.7,6.1,40.3,10.0,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 8.2 / 10年CAGR 7.9 / 直近1年 0.1 / 最大下落 -7.7,財務0.64 / イベント0.55 / 質的0.55 / 価格0.35 / 信頼度0.79,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
41,1802.T,大林組,除外,5.64,9.32,60.5,58.0,60.6,23.4,39.4,11.3,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 34.3 / 10年CAGR 15.0 / 直近1年 58.7 / 最大下落 -26.8,財務0.64 / イベント0.55 / 質的0.72 / 価格0.35 / 信頼度0.83,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
42,1801.T,大成建設,除外,5.4,9.37,57.6,55.1,60.5,25.4,39.5,14.2,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 33.8 / 10年CAGR 16.8 / 直近1年 85.2 / 最大下落 -33.7,財務0.64 / イベント0.55 / 質的0.55 / 価格0.35 / 信頼度0.79,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
43,6367.T,ダイキン工業,除外,-2.63,-3.88,67.7,71.7,59.4,8.5,40.6,21.0,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 2.6 / 10年CAGR 11.0 / 直近1年 48.2 / 最大下落 -14.5,財務0.64 / イベント0.55 / 質的0.55 / 価格1.00 / 信頼度0.83,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
44,9433.T,KDDI,除外,0.56,0.84,66.1,62.6,58.9,7.0,41.1,7.1,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 10.9 / 10年CAGR 8.9 / 直近1年 11.8 / 最大下落 -12.1,財務0.64 / イベント0.76 / 質的0.72 / 価格0.35 / 信頼度0.86,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
45,1803.T,清水建設,除外,4.42,7.67,57.6,55.1,60.1,21.4,39.9,11.9,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 27.9 / 10年CAGR 13.7 / 直近1年 72.1 / 最大下落 -27.5,財務0.64 / イベント0.55 / 質的0.55 / 価格0.35 / 信頼度0.79,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
46,6861.T,キーエンス,除外,-0.66,-1.13,58.1,55.7,58.5,10.6,41.5,16.7,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 7.6 / 10年CAGR 16.5 / 直近1年 23.6 / 最大下落 -17.9,財務0.64 / イベント0.55 / 質的0.55 / 価格0.35 / 信頼度0.85,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
47,3407.T,旭化成,除外,2.21,3.85,57.6,55.1,59.8,14.5,40.2,11.0,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 10.5 / 10年CAGR 12.4 / 直近1年 79.4 / 最大下落 -21.8,財務0.64 / イベント0.55 / 質的0.55 / 価格0.35 / 信頼度0.79,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
48,6098.T,リクルートHD,除外,-1.23,-1.82,67.7,71.7,58.2,15.1,41.8,24.4,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 12.7 / 10年CAGR 24.0 / 直近1年 21.0 / 最大下落 -34.7,財務0.64 / イベント0.55 / 質的0.55 / 価格1.00 / 信頼度0.83,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
49,7269.T,スズキ,除外,-0.58,-1.01,57.6,55.1,57.8,9.7,42.2,14.7,0.4,raw EV = 上昇確率×上昇幅 - 下落確率×下落幅 - コスト。補正後EV = raw EV × EV信頼度。,5年CAGR 12.0 / 10年CAGR 12.4 / 直近1年 7.5 / 最大下落 -28.0,財務0.64 / イベント0.55 / 質的0.55 / 価格0.35 / 信頼度0.79,相対比較用の仮説値。利益予測の確約ではなく、候補間の優先順位と買付比率の検討に使う。,公式財務・価格・イベント・質的根拠が不足する場合は、EVが高くても買付候補にしない。
