base_date,channel,channel_name,ticker,name,category,start_date,end_date,price_base,price_1y,return_1y,max_drawdown_1y,sp500_return_1y,topix_proxy_return_1y,nikkei_return_1y,excess_vs_sp500,excess_vs_topix_proxy,excess_vs_nikkei,pass_fail,fail_reason,benchmark_note,data_source,error
2023-06-01,ch3,データセンター・電力・冷却・電線,7011.T,三菱重工業,購入検討候補,2023-06-01,2024-05-31,571.99,1346.64,135.43,-17.76,25.03,31.20,23.56,110.40,104.23,111.86,PASS,,TOPIXは1348.Tを代替指標として使用,https://query1.finance.yahoo.com/v8/finance/chart/7011.T?period1=1684972800&period2=1717804800&interval=1d&events=history,
2023-06-01,ch3,データセンター・電力・冷却・電線,6503.T,三菱電機,購入検討候補,2023-06-01,2024-05-31,1752.93,2647.07,51.01,-19.31,25.03,31.20,23.56,25.98,19.81,27.44,PASS,,TOPIXは1348.Tを代替指標として使用,https://query1.finance.yahoo.com/v8/finance/chart/6503.T?period1=1684972800&period2=1717804800&interval=1d&events=history,
2023-06-01,ch3,データセンター・電力・冷却・電線,6501.T,日立製作所,購入検討候補,2023-06-01,2024-05-31,1547.28,3156.25,103.99,-13.73,25.03,31.20,23.56,78.96,72.79,80.42,PASS,,TOPIXは1348.Tを代替指標として使用,https://query1.finance.yahoo.com/v8/finance/chart/6501.T?period1=1684972800&period2=1717804800&interval=1d&events=history,
2023-06-01,ch3,データセンター・電力・冷却・電線,5803.T,フジクラ,条件付き,2023-06-01,2024-05-31,174.04,521.62,199.72,-16.16,25.03,31.20,23.56,174.69,168.52,176.15,PASS,,TOPIXは1348.Tを代替指標として使用,https://query1.finance.yahoo.com/v8/finance/chart/5803.T?period1=1684972800&period2=1717804800&interval=1d&events=history,
2023-06-01,ch3,データセンター・電力・冷却・電線,5801.T,古河電工,条件付き,2023-06-01,2024-05-31,2252.13,4110.36,82.51,-22.17,25.03,31.20,23.56,57.48,51.31,58.95,PASS,,TOPIXは1348.Tを代替指標として使用,https://query1.finance.yahoo.com/v8/finance/chart/5801.T?period1=1684972800&period2=1717804800&interval=1d&events=history,
2024-06-01,ch1,総合,8316.T,三井住友FG,購入検討候補,2024-06-03,2025-05-30,3249.85,3577.29,10.08,-29.43,11.89,2.46,-2.46,-1.82,7.62,12.54,PASS,,TOPIXは1348.Tを代替指標として使用,https://query1.finance.yahoo.com/v8/finance/chart/8316.T?period1=1716595200&period2=1749340800&interval=1d&events=history,
2024-06-01,ch1,総合,8306.T,三菱UFJ FG,購入検討候補,2024-06-03,2025-05-30,1583.28,1958.40,23.69,-31.85,11.89,2.46,-2.46,11.80,21.24,26.15,PASS,,TOPIXは1348.Tを代替指標として使用,https://query1.finance.yahoo.com/v8/finance/chart/8306.T?period1=1716595200&period2=1749340800&interval=1d&events=history,
2024-06-01,ch1,総合,8725.T,MS&AD,購入検討候補,2024-06-03,2025-05-30,3108.86,3311.31,6.51,-32.62,11.89,2.46,-2.46,-5.38,4.06,8.97,PASS,,TOPIXは1348.Tを代替指標として使用,https://query1.finance.yahoo.com/v8/finance/chart/8725.T?period1=1716595200&period2=1749340800&interval=1d&events=history,
2024-06-01,ch1,総合,8411.T,みずほFG,条件付き,2024-06-03,2025-05-30,3074.43,3900.11,26.86,-33.45,11.89,2.46,-2.46,14.96,24.40,29.32,PASS,,TOPIXは1348.Tを代替指標として使用,https://query1.finance.yahoo.com/v8/finance/chart/8411.T?period1=1716595200&period2=1749340800&interval=1d&events=history,
2024-06-01,ch1,総合,6503.T,三菱電機,条件付き,2024-06-03,2025-05-30,2671.31,2868.75,7.39,-33.95,11.89,2.46,-2.46,-4.50,4.94,9.85,PASS,,TOPIXは1348.Tを代替指標として使用,https://query1.finance.yahoo.com/v8/finance/chart/6503.T?period1=1716595200&period2=1749340800&interval=1d&events=history,
2024-06-01,ch2,半導体製造装置・材料,6857.T,アドバンテスト,条件付き,2024-06-03,2025-05-30,5305.54,7342.24,38.39,-51.37,11.89,2.46,-2.46,26.50,35.93,40.85,PASS,,TOPIXは1348.Tを代替指標として使用,https://query1.finance.yahoo.com/v8/finance/chart/6857.T?period1=1716595200&period2=1749340800&interval=1d&events=history,
2024-06-01,ch2,半導体製造装置・材料,6146.T,ディスコ,条件付き,2024-06-03,2025-05-30,58787.00,32593.95,-44.56,-65.16,11.89,2.46,-2.46,-56.45,-47.01,-42.09,FAIL,+1%超過未達,TOPIXは1348.Tを代替指標として使用,https://query1.finance.yahoo.com/v8/finance/chart/6146.T?period1=1716595200&period2=1749340800&interval=1d&events=history,
2024-06-01,ch2,半導体製造装置・材料,8035.T,東京エレクトロン,観察,2024-06-03,2025-05-30,32723.57,22560.29,-31.06,-54.02,11.89,2.46,-2.46,-42.95,-33.51,-28.60,FAIL,+1%超過未達,TOPIXは1348.Tを代替指標として使用,https://query1.finance.yahoo.com/v8/finance/chart/8035.T?period1=1716595200&period2=1749340800&interval=1d&events=history,
2024-06-01,ch2,半導体製造装置・材料,7735.T,SCREEN HD,観察,2024-06-03,2025-05-30,7336.74,5082.21,-30.73,-51.14,11.89,2.46,-2.46,-42.62,-33.18,-28.27,FAIL,+1%超過未達,TOPIXは1348.Tを代替指標として使用,https://query1.finance.yahoo.com/v8/finance/chart/7735.T?period1=1716595200&period2=1749340800&interval=1d&events=history,
2024-06-01,ch2,半導体製造装置・材料,6920.T,レーザーテック,観察,2024-06-03,2025-05-30,39004.87,14378.67,-63.14,-73.52,11.89,2.46,-2.46,-75.03,-65.59,-60.68,FAIL,+1%超過未達,TOPIXは1348.Tを代替指標として使用,https://query1.finance.yahoo.com/v8/finance/chart/6920.T?period1=1716595200&period2=1749340800&interval=1d&events=history,
2024-06-01,ch3,データセンター・電力・冷却・電線,7011.T,三菱重工業,購入検討候補,2024-06-03,2025-05-30,1368.29,3332.09,143.52,-35.79,11.89,2.46,-2.46,131.63,141.07,145.98,PASS,,TOPIXは1348.Tを代替指標として使用,https://query1.finance.yahoo.com/v8/finance/chart/7011.T?period1=1716595200&period2=1749340800&interval=1d&events=history,
2024-06-01,ch3,データセンター・電力・冷却・電線,6503.T,三菱電機,購入検討候補,2024-06-03,2025-05-30,2671.31,2868.75,7.39,-33.95,11.89,2.46,-2.46,-4.50,4.94,9.85,PASS,,TOPIXは1348.Tを代替指標として使用,https://query1.finance.yahoo.com/v8/finance/chart/6503.T?period1=1716595200&period2=1749340800&interval=1d&events=history,
2024-06-01,ch3,データセンター・電力・冷却・電線,6501.T,日立製作所,購入検討候補,2024-06-03,2025-05-30,3238.36,3999.35,23.50,-38.70,11.89,2.46,-2.46,11.61,21.04,25.96,PASS,,TOPIXは1348.Tを代替指標として使用,https://query1.finance.yahoo.com/v8/finance/chart/6501.T?period1=1716595200&period2=1749340800&interval=1d&events=history,
2024-06-01,ch3,データセンター・電力・冷却・電線,5803.T,フジクラ,条件付き,2024-06-03,2025-05-30,497.67,1106.89,122.41,-50.66,11.89,2.46,-2.46,110.52,119.96,124.87,PASS,,TOPIXは1348.Tを代替指標として使用,https://query1.finance.yahoo.com/v8/finance/chart/5803.T?period1=1716595200&period2=1749340800&interval=1d&events=history,
2024-06-01,ch3,データセンター・電力・冷却・電線,5801.T,古河電工,条件付き,2024-06-03,2025-05-30,3928.78,6831.24,73.88,-52.06,11.89,2.46,-2.46,61.99,71.42,76.34,PASS,,TOPIXは1348.Tを代替指標として使用,https://query1.finance.yahoo.com/v8/finance/chart/5801.T?period1=1716595200&period2=1749340800&interval=1d&events=history,
2025-06-01,ch1,総合,8316.T,三井住友FG,購入検討候補,2025-06-02,2026-06-01,3538.61,5898.00,66.68,-19.26,27.70,45.67,78.71,38.98,21.00,-12.04,PASS,,TOPIXは1348.Tを代替指標として使用,https://query1.finance.yahoo.com/v8/finance/chart/8316.T?period1=1748131200&period2=1780876800&interval=1d&events=history,
2025-06-01,ch1,総合,8306.T,三菱UFJ FG,購入検討候補,2025-06-02,2026-06-01,1924.08,3032.00,57.58,-16.87,27.70,45.67,78.71,29.88,11.91,-21.13,PASS,,TOPIXは1348.Tを代替指標として使用,https://query1.finance.yahoo.com/v8/finance/chart/8306.T?period1=1748131200&period2=1780876800&interval=1d&events=history,
2025-06-01,ch1,総合,8725.T,MS&AD,購入検討候補,2025-06-02,2026-06-01,3327.59,4283.00,28.71,-11.98,27.70,45.67,78.71,1.01,-16.96,-50.00,PASS,,TOPIXは1348.Tを代替指標として使用,https://query1.finance.yahoo.com/v8/finance/chart/8725.T?period1=1748131200&period2=1780876800&interval=1d&events=history,
2025-06-01,ch1,総合,8411.T,みずほFG,条件付き,2025-06-02,2026-06-01,3864.05,7226.00,87.01,-24.63,27.70,45.67,78.71,59.31,41.34,8.30,PASS,,TOPIXは1348.Tを代替指標として使用,https://query1.finance.yahoo.com/v8/finance/chart/8411.T?period1=1748131200&period2=1780876800&interval=1d&events=history,
2025-06-01,ch1,総合,6503.T,三菱電機,条件付き,2025-06-02,2026-06-01,2845.04,6359.00,123.51,-16.31,27.70,45.67,78.71,95.81,77.84,44.80,PASS,,TOPIXは1348.Tを代替指標として使用,https://query1.finance.yahoo.com/v8/finance/chart/6503.T?period1=1748131200&period2=1780876800&interval=1d&events=history,
2025-06-01,ch2,半導体製造装置・材料,6857.T,アドバンテスト,条件付き,2025-06-02,2026-06-01,7066.17,25540.00,261.44,-28.86,27.70,45.67,78.71,233.74,215.77,182.73,PASS,,TOPIXは1348.Tを代替指標として使用,https://query1.finance.yahoo.com/v8/finance/chart/6857.T?period1=1748131200&period2=1780876800&interval=1d&events=history,
2025-06-01,ch2,半導体製造装置・材料,6146.T,ディスコ,条件付き,2025-06-02,2026-06-01,31661.84,63590.00,100.84,-24.72,27.70,45.67,78.71,73.14,55.17,22.13,PASS,,TOPIXは1348.Tを代替指標として使用,https://query1.finance.yahoo.com/v8/finance/chart/6146.T?period1=1748131200&period2=1780876800&interval=1d&events=history,
2025-06-01,ch2,半導体製造装置・材料,8035.T,東京エレクトロン,観察,2025-06-02,2026-06-01,22172.84,54190.00,144.40,-28.82,27.70,45.67,78.71,116.70,98.73,65.69,PASS,,TOPIXは1348.Tを代替指標として使用,https://query1.finance.yahoo.com/v8/finance/chart/8035.T?period1=1748131200&period2=1780876800&interval=1d&events=history,
2025-06-01,ch2,半導体製造装置・材料,7735.T,SCREEN HD,観察,2025-06-02,2026-06-01,4875.00,11070.00,127.08,-23.85,27.70,45.67,78.71,99.38,81.41,48.37,PASS,,TOPIXは1348.Tを代替指標として使用,https://query1.finance.yahoo.com/v8/finance/chart/7735.T?period1=1748131200&period2=1780876800&interval=1d&events=history,
2025-06-01,ch2,半導体製造装置・材料,6920.T,レーザーテック,観察,2025-06-02,2026-06-01,13911.03,38690.00,178.12,-27.07,27.70,45.67,78.71,150.43,132.45,99.41,PASS,,TOPIXは1348.Tを代替指標として使用,https://query1.finance.yahoo.com/v8/finance/chart/6920.T?period1=1748131200&period2=1780876800&interval=1d&events=history,
2025-06-01,ch3,データセンター・電力・冷却・電線,7011.T,三菱重工業,購入検討候補,2025-06-02,2026-06-01,3320.16,3658.00,10.18,-29.39,27.70,45.67,78.71,-17.52,-35.50,-68.54,FAIL,+1%超過未達,TOPIXは1348.Tを代替指標として使用,https://query1.finance.yahoo.com/v8/finance/chart/7011.T?period1=1748131200&period2=1780876800&interval=1d&events=history,
2025-06-01,ch3,データセンター・電力・冷却・電線,6503.T,三菱電機,購入検討候補,2025-06-02,2026-06-01,2845.04,6359.00,123.51,-16.31,27.70,45.67,78.71,95.81,77.84,44.80,PASS,,TOPIXは1348.Tを代替指標として使用,https://query1.finance.yahoo.com/v8/finance/chart/6503.T?period1=1748131200&period2=1780876800&interval=1d&events=history,
2025-06-01,ch3,データセンター・電力・冷却・電線,6501.T,日立製作所,購入検討候補,2025-06-02,2026-06-01,3932.13,5125.00,30.34,-22.83,27.70,45.67,78.71,2.64,-15.33,-48.37,PASS,,TOPIXは1348.Tを代替指標として使用,https://query1.finance.yahoo.com/v8/finance/chart/6501.T?period1=1748131200&period2=1780876800&interval=1d&events=history,
2025-06-01,ch3,データセンター・電力・冷却・電線,5803.T,フジクラ,条件付き,2025-06-02,2026-06-01,1121.72,4609.00,310.89,-45.32,27.70,45.67,78.71,283.19,265.22,232.18,PASS,,TOPIXは1348.Tを代替指標として使用,https://query1.finance.yahoo.com/v8/finance/chart/5803.T?period1=1748131200&period2=1780876800&interval=1d&events=history,
2025-06-01,ch3,データセンター・電力・冷却・電線,5801.T,古河電工,条件付き,2025-06-02,2026-06-01,6740.86,51820.00,668.74,-19.48,27.70,45.67,78.71,641.05,623.07,590.03,PASS,,TOPIXは1348.Tを代替指標として使用,https://query1.finance.yahoo.com/v8/finance/chart/5801.T?period1=1748131200&period2=1780876800&interval=1d&events=history,
