updated_at,input_id,ticker,company,input_type,task,source_url,source_date,period_or_event_date,metric_1,metric_2,metric_3,metric_4,benchmark_or_basis,unit,field_guide,required_rule,status,score_connection,memo
2026/05/26 19:17,IN-23,6146.T,ディスコ,financial,PERなど不足する財務指標を公式IR、EDINET、J-Quants等で確認,,,,,,,,,,metric_1=予想PERまたは実績PER / metric_2=EPS基準 / metric_3=PBR / metric_4=ROE,source_url、source_date、metric_1が必須。出典不明なら採点へ接続しない。,未入力,未接続,
2026/05/26 19:17,IN-24,6146.T,ディスコ,peer,同業2社以上のPER,,,,,,,,,,metric_1=同業PER中央値 / metric_2=同業PBR中央値 / metric_3=同業ROE中央値 / metric_4=同業社数,source_url、source_date、metric_1、metric_4が必須。同業社数が少ない場合は説明補助に止める。,未入力,未接続,
2026/05/26 19:17,IN-25,6146.T,ディスコ,valuation,PBR,,,,,,,,,,metric_1=対象指標値 / metric_2=同業中央値 / metric_3=平均との差 / metric_4=採用可否,source_url、source_date、metric_1、benchmark_or_basisが必須。業種比較の基準も記録する。,未入力,未接続,
2026/05/26 19:17,IN-26,6146.T,ディスコ,valuation,ROE中央値を確認,,,,,,,,,,metric_1=対象指標値 / metric_2=同業中央値 / metric_3=平均との差 / metric_4=採用可否,source_url、source_date、metric_1、benchmark_or_basisが必須。業種比較の基準も記録する。,未入力,未接続,
2026/05/26 19:17,IN-27,6146.T,ディスコ,event,質的仮説に対応するイベント日と株価反応を確認,,,,,,,,,,metric_1=イベント後株価反応 / metric_2=実績評価S-A-B-C / metric_3=関連度 / metric_4=継続期間,period_or_event_date、source_url、metric_1、metric_2が必須。仮説だけなら採点へ接続しない。,未入力,未接続,
2026/05/26 19:17,IN-28,4385.T,メルカリ,financial,PERなど不足する財務指標を公式IR、EDINET、J-Quants等で確認,,,,,,,,,,metric_1=予想PERまたは実績PER / metric_2=EPS基準 / metric_3=PBR / metric_4=ROE,source_url、source_date、metric_1が必須。出典不明なら採点へ接続しない。,未入力,未接続,
2026/05/26 19:17,IN-29,4385.T,メルカリ,peer,同業2社以上のPER,,,,,,,,,,metric_1=同業PER中央値 / metric_2=同業PBR中央値 / metric_3=同業ROE中央値 / metric_4=同業社数,source_url、source_date、metric_1、metric_4が必須。同業社数が少ない場合は説明補助に止める。,未入力,未接続,
2026/05/26 19:17,IN-30,4385.T,メルカリ,valuation,PBR,,,,,,,,,,metric_1=対象指標値 / metric_2=同業中央値 / metric_3=平均との差 / metric_4=採用可否,source_url、source_date、metric_1、benchmark_or_basisが必須。業種比較の基準も記録する。,未入力,未接続,
2026/05/26 19:17,IN-31,4385.T,メルカリ,valuation,ROE中央値を確認,,,,,,,,,,metric_1=対象指標値 / metric_2=同業中央値 / metric_3=平均との差 / metric_4=採用可否,source_url、source_date、metric_1、benchmark_or_basisが必須。業種比較の基準も記録する。,未入力,未接続,
2026/05/26 19:17,IN-32,4385.T,メルカリ,reaction,決算後1日、5日、20日の対ベンチマーク超過リターンを確認,,,,,,,,,,metric_1=1日超過リターン / metric_2=5日超過リターン / metric_3=20日超過リターン / metric_4=反応判定,period_or_event_date、source_url、metric_1、metric_2、metric_3が必須。20日未到達なら未接続。,未入力,未接続,
2026/05/26 19:17,IN-33,4385.T,メルカリ,event,質的仮説に対応するイベント日と株価反応を確認,,,,,,,,,,metric_1=イベント後株価反応 / metric_2=実績評価S-A-B-C / metric_3=関連度 / metric_4=継続期間,period_or_event_date、source_url、metric_1、metric_2が必須。仮説だけなら採点へ接続しない。,未入力,未接続,
