ticker,銘柄,ゲート,入力ID,入力項目,候補値,処理,確認区分,理由,出所
8035.T,東京エレクトロン,価格ゲート,8035_return_60d,60日騰落率,16.6%,反映,計算確認済,株価時系列または100社再計算ファイルの計算値として入力。公式決算値とは区別し、スコアには反映しない。,784_integrated_recalculation_scores_20260528.csv
8035.T,東京エレクトロン,価格ゲート,8035_return_1y,1年騰落率,130.3%,反映,計算確認済,株価時系列または100社再計算ファイルの計算値として入力。公式決算値とは区別し、スコアには反映しない。,784_integrated_recalculation_scores_20260528.csv
8035.T,東京エレクトロン,価格ゲート,8035_cagr_5y,5年CAGR,29.5%,反映,計算確認済,株価時系列または100社再計算ファイルの計算値として入力。公式決算値とは区別し、スコアには反映しない。,784_integrated_recalculation_scores_20260528.csv
8035.T,東京エレクトロン,価格ゲート,8035_cagr_10y,10年CAGR,38.2%,反映,計算確認済,株価時系列または100社再計算ファイルの計算値として入力。公式決算値とは区別し、スコアには反映しない。,784_integrated_recalculation_scores_20260528.csv
8035.T,東京エレクトロン,価格ゲート,8035_max_drawdown_1y,1年最大下落率,-28.8%,反映,計算確認済,株価時系列または100社再計算ファイルの計算値として入力。公式決算値とは区別し、スコアには反映しない。,784_integrated_recalculation_scores_20260528.csv
8035.T,東京エレクトロン,価格ゲート,8035_sp500_gap_1y,S&P500との差,102.7%,反映,計算確認済,株価時系列または100社再計算ファイルの計算値として入力。公式決算値とは区別し、スコアには反映しない。,784_integrated_recalculation_scores_20260528.csv
8035.T,東京エレクトロン,説明可能性ゲート,8035_one_line_reason,1行の残す理由,WFE見通し、製品シェア、AIサーバー需要との接続を確認対象にする。ただし高PERと半導体投資サイクルの下落リスクを同時に見る。,反映,運用確認済,買う理由ではなく、残す条件・落とす条件・未確認事項を明示するための運用ルールとして入力。,入力キューから作成した説明候補
8035.T,東京エレクトロン,説明可能性ゲート,8035_keep_condition,残す条件,WFE見通し、利益率、PER/PBR、イベント後のSOX・日経平均比反応がそろい、高PERを説明できる場合のみ残す。,反映,運用確認済,買う理由ではなく、残す条件・落とす条件・未確認事項を明示するための運用ルールとして入力。,入力キューから作成した説明候補
8035.T,東京エレクトロン,説明可能性ゲート,8035_drop_condition,落とす条件,FOMC後の金利上昇、SOX反落、会社見通し悪化、高PERを支える利益成長不足が確認された場合は落とす。,反映,運用確認済,買う理由ではなく、残す条件・落とす条件・未確認事項を明示するための運用ルールとして入力。,入力キューから作成した説明候補
8035.T,東京エレクトロン,説明可能性ゲート,8035_unconfirmed_items,未確認事項,公式PER/PBR/ROE、営業利益率、WFE見通し、イベント後反応、半導体サイクル悪化時の停止条件。,反映,運用確認済,買う理由ではなく、残す条件・落とす条件・未確認事項を明示するための運用ルールとして入力。,入力キューから作成した説明候補
