順位,ticker,銘柄,業種,長期安定性点,長期順位,5年CAGR,10年CAGR,5年S&P差,5年年率変動,5年最大下落,量的点,量的順位,質的接続数,質的接続強度,質的接続,現在の扱い,判断理由,補完項目
20,5801.T,古河電工,電線・通信,64.7,27,82.7,38.2,70.4,70.7,-52.1,68,6,1,86,AI・データセンター(86),テーマ接続確認,長期安定性は条件付き。質的接続が強いため、受注・売上・株価反応で検証する。,追加確認へ
21,7012.T,川崎重工業,重工・防衛,63.6,30,45.3,18.7,32.9,45.4,-42.6,69,4,1,79,防衛・政策(79),テーマ接続確認,長期安定性は条件付き。質的接続が強いため、受注・売上・株価反応で検証する。,追加確認へ
22,6146.T,ディスコ,半導体製造装置,60.9,31,45.1,37,32.7,47.9,-65.2,,,1,78,AI・データセンター(78),テーマ接続確認,長期安定性は条件付き。質的接続が強いため、受注・売上・株価反応で検証する。,PER/PBR/ROE・成長率・決算後反応
23,1801.T,大成建設,建設,68.7,20,33.8,16.8,21.5,29.7,-33.7,,,0,,,比較枠,長期安定性は条件付き。量的データか質的根拠が足りなければ中心候補にはしない。,PER/PBR/ROE・成長率・決算後反応 / 質的接続
24,5020.T,ENEOS HD,エネルギー,68.3,21,27.9,15.9,15.6,21.7,-29.9,,,1,72,ナフサ・化学(72),比較枠,長期安定性は条件付き。量的データか質的根拠が足りなければ中心候補にはしない。,PER/PBR/ROE・成長率・決算後反応
25,8750.T,第一生命HD,保険,67.7,22,27.4,20.4,15.1,27.6,-29.1,,,0,,,比較枠,長期安定性は条件付き。量的データか質的根拠が足りなければ中心候補にはしない。,PER/PBR/ROE・成長率・決算後反応 / 質的接続
26,7013.T,IHI,重工・防衛,65.7,23,51,23.2,38.6,44,-43.1,,,0,,,比較枠,長期安定性は条件付き。量的データか質的根拠が足りなければ中心候補にはしない。,PER/PBR/ROE・成長率・決算後反応 / 質的接続
27,9434.T,ソフトバンク,通信,65.5,24,14.3,0,1.9,11.2,-14.5,,,0,,,比較枠,長期安定性は条件付き。量的データか質的根拠が足りなければ中心候補にはしない。,PER/PBR/ROE・成長率・決算後反応 / 質的接続 / 10年データ不足
28,6857.T,アドバンテスト,半導体製造装置,65,25,63.2,58.5,50.8,64.6,-51.4,,,0,,,比較枠,長期安定性は条件付き。量的データか質的根拠が足りなければ中心候補にはしない。,PER/PBR/ROE・成長率・決算後反応 / 質的接続
29,5803.T,5803.T,未分類,65,26,135,51.5,122.6,56,-50.7,68,5,0,,,比較枠,長期安定性は条件付き。量的データか質的根拠が足りなければ中心候補にはしない。,質的接続
30,5019.T,5019.T,未分類,64.5,28,24.9,15.3,12.5,24,-29.7,,,0,,,比較枠,長期安定性は条件付き。量的データか質的根拠が足りなければ中心候補にはしない。,PER/PBR/ROE・成長率・決算後反応 / 質的接続
31,1803.T,1803.T,未分類,63.8,29,27.9,13.7,15.6,31.4,-28.4,,,0,,,比較枠,長期安定性は条件付き。量的データか質的根拠が足りなければ中心候補にはしない。,PER/PBR/ROE・成長率・決算後反応 / 質的接続
32,1925.T,1925.T,未分類,59.8,32,10.3,6.8,-2.1,15.6,-21.6,,,0,,,比較枠,長期安定性は条件付き。量的データか質的根拠が足りなければ中心候補にはしない。,PER/PBR/ROE・成長率・決算後反応 / 質的接続
33,6762.T,TDK,電子部品,59.7,33,34.9,26.5,22.6,41,-46.3,66,9,0,,,比較枠,長期安定性は条件付き。量的データか質的根拠が足りなければ中心候補にはしない。,質的接続
34,9433.T,9433.T,未分類,59.6,34,10.9,8.9,-1.5,16.4,-16.8,,,1,68,防災・インフラ更新(68),比較枠,長期安定性は条件付き。量的データか質的根拠が足りなければ中心候補にはしない。,PER/PBR/ROE・成長率・決算後反応
35,9983.T,9983.T,未分類,59.2,35,22.4,24.3,10,28.6,-37.9,,,0,,,比較枠,長期安定性は条件付き。量的データか質的根拠が足りなければ中心候補にはしない。,PER/PBR/ROE・成長率・決算後反応 / 質的接続
36,8035.T,東京エレクトロン,半導体製造装置,52.8,44,29.5,38.2,17.1,45.2,-55.8,,,1,76,AI・データセンター(76),仮説検算枠,質的接続はあるが、長期安定性が弱い。小さな検算対象にとどめる。,PER/PBR/ROE・成長率・決算後反応
37,4519.T,4519.T,未分類,52.7,45,15.7,21.7,3.4,30.5,-29.1,,,1,76,医薬・ヘルスケア政策(76),仮説検算枠,質的接続はあるが、長期安定性が弱い。小さな検算対象にとどめる。,PER/PBR/ROE・成長率・決算後反応
38,4063.T,4063.T,未分類,48.6,54,16.5,21.6,4.2,27.6,-47.1,,,1,78,ナフサ・化学(78),仮説検算枠,質的接続はあるが、長期安定性が弱い。小さな検算対象にとどめる。,PER/PBR/ROE・成長率・決算後反応
39,4188.T,4188.T,未分類,43.5,64,8,10.9,-4.3,26.2,-34.4,,,1,70,ナフサ・化学(70),仮説検算枠,質的接続はあるが、長期安定性が弱い。小さな検算対象にとどめる。,PER/PBR/ROE・成長率・決算後反応
40,4452.T,4452.T,未分類,37.9,71,0.3,2,-12.1,17.6,-31.9,,,1,70,価格転嫁・消費(70),仮説検算枠,質的接続はあるが、長期安定性が弱い。小さな検算対象にとどめる。,PER/PBR/ROE・成長率・決算後反応
41,2801.T,2801.T,未分類,29.9,82,0.4,7,-12,26.1,-38.2,,,1,74,価格転嫁・消費(74),仮説検算枠,質的接続はあるが、長期安定性が弱い。小さな検算対象にとどめる。,PER/PBR/ROE・成長率・決算後反応
42,6971.T,6971.T,未分類,57.5,36,16.4,11.4,4,21,-32.9,,,0,,,保留,長期安定性、量的評価、質的接続のいずれも中心候補化には不足。,PER/PBR/ROE・成長率・決算後反応 / 質的接続
43,4502.T,4502.T,未分類,57.4,37,11.3,5,-1.1,15.9,-19.1,,,0,,,保留,長期安定性、量的評価、質的接続のいずれも中心候補化には不足。,PER/PBR/ROE・成長率・決算後反応 / 質的接続
44,6301.T,6301.T,未分類,56.9,38,18.6,17,6.3,28.9,-31.4,,,0,,,保留,長期安定性、量的評価、質的接続のいずれも中心候補化には不足。,PER/PBR/ROE・成長率・決算後反応 / 質的接続
45,9766.T,9766.T,未分類,55.6,39,24.2,18.1,11.8,33.1,-36.9,,,0,,,保留,長期安定性、量的評価、質的接続のいずれも中心候補化には不足。,PER/PBR/ROE・成長率・決算後反応 / 質的接続
46,9432.T,9432.T,未分類,54.3,40,8.2,7.9,-4.2,14.2,-23.7,,,0,,,保留,長期安定性、量的評価、質的接続のいずれも中心候補化には不足。,PER/PBR/ROE・成長率・決算後反応 / 質的接続
47,5108.T,5108.T,未分類,54,41,10.4,9.9,-1.9,19.4,-26.4,,,0,,,保留,長期安定性、量的評価、質的接続のいずれも中心候補化には不足。,PER/PBR/ROE・成長率・決算後反応 / 質的接続
48,6702.T,6702.T,未分類,53.9,42,15.7,24.9,3.3,27.3,-33.2,,,0,,,保留,長期安定性、量的評価、質的接続のいずれも中心候補化には不足。,PER/PBR/ROE・成長率・決算後反応 / 質的接続
49,7735.T,SCREEN HD,半導体製造装置,53.5,43,37.1,25.7,24.8,48.7,-59.1,66,8,0,,,保留,長期安定性、量的評価、質的接続のいずれも中心候補化には不足。,質的接続
50,6201.T,6201.T,未分類,52.4,46,18.5,18.2,6.1,27.9,-43.2,,,0,,,保留,長期安定性、量的評価、質的接続のいずれも中心候補化には不足。,PER/PBR/ROE・成長率・決算後反応 / 質的接続
51,3407.T,3407.T,未分類,52.2,47,10.5,12.4,-1.9,21.9,-26.2,,,0,,,保留,長期安定性、量的評価、質的接続のいずれも中心候補化には不足。,PER/PBR/ROE・成長率・決算後反応 / 質的接続
52,2503.T,2503.T,未分類,52.2,48,7.8,6.8,-4.6,16.4,-21.8,,,0,,,保留,長期安定性、量的評価、質的接続のいずれも中心候補化には不足。,PER/PBR/ROE・成長率・決算後反応 / 質的接続
53,7202.T,7202.T,未分類,51.6,49,13.4,9.4,1,27.1,-26.5,,,0,,,保留,長期安定性、量的評価、質的接続のいずれも中心候補化には不足。,PER/PBR/ROE・成長率・決算後反応 / 質的接続
54,9020.T,9020.T,未分類,51.2,50,7.9,2,-4.4,16.6,-24.6,,,0,,,保留,長期安定性、量的評価、質的接続のいずれも中心候補化には不足。,PER/PBR/ROE・成長率・決算後反応 / 質的接続
55,3402.T,3402.T,未分類,49.2,51,11.8,3.9,-0.6,23.5,-26.5,,,0,,,保留,長期安定性、量的評価、質的接続のいずれも中心候補化には不足。,PER/PBR/ROE・成長率・決算後反応 / 質的接続
56,6981.T,6981.T,未分類,49,52,26.9,21.8,14.6,45.9,-49.8,,,0,,,保留,長期安定性、量的評価、質的接続のいずれも中心候補化には不足。,PER/PBR/ROE・成長率・決算後反応 / 質的接続
57,9697.T,9697.T,未分類,49,53,13.5,27,1.1,28.6,-38,,,0,,,保留,長期安定性、量的評価、質的接続のいずれも中心候補化には不足。,PER/PBR/ROE・成長率・決算後反応 / 質的接続
58,7532.T,7532.T,未分類,48.5,55,14.9,18,2.6,28,-41.5,,,0,,,保留,長期安定性、量的評価、質的接続のいずれも中心候補化には不足。,PER/PBR/ROE・成長率・決算後反応 / 質的接続
59,6526.T,6526.T,未分類,48.1,56,40.5,0,28.2,67.6,-75.4,,,0,,,保留,長期安定性、量的評価、質的接続のいずれも中心候補化には不足。,PER/PBR/ROE・成長率・決算後反応 / 質的接続 / 10年データ不足
60,7203.T,トヨタ自動車,自動車,47.6,57,13.8,13.7,1.5,27,-41.7,,,0,,,保留,長期安定性、量的評価、質的接続のいずれも中心候補化には不足。,PER/PBR/ROE・成長率・決算後反応 / 質的接続
61,6758.T,6758.T,未分類,47.2,58,10,19.5,-2.3,25.5,-39.8,,,0,,,保留,長期安定性、量的評価、質的接続のいずれも中心候補化には不足。,PER/PBR/ROE・成長率・決算後反応 / 質的接続
62,7269.T,7269.T,未分類,47.1,59,12,12.4,-0.3,26.8,-35.1,,,0,,,保留,長期安定性、量的評価、質的接続のいずれも中心候補化には不足。,PER/PBR/ROE・成長率・決算後反応 / 質的接続
63,6723.T,6723.T,未分類,46.9,60,30.7,21.3,18.4,49.2,-58.6,,,0,,,保留,長期安定性、量的評価、質的接続のいずれも中心候補化には不足。,PER/PBR/ROE・成長率・決算後反応 / 質的接続
64,9984.T,ソフトバンクG,投資・AI,46.1,61,28.1,25.5,15.7,55.3,-50.8,65,10,0,,,保留,長期安定性、量的評価、質的接続のいずれも中心候補化には不足。,質的接続
65,7267.T,7267.T,未分類,45.7,62,8.9,7.2,-3.5,25.4,-34.2,,,0,,,保留,長期安定性、量的評価、質的接続のいずれも中心候補化には不足。,PER/PBR/ROE・成長率・決算後反応 / 質的接続
66,7832.T,7832.T,未分類,43.9,63,9.1,17.6,-3.3,26.7,-35.1,,,0,,,保留,長期安定性、量的評価、質的接続のいずれも中心候補化には不足。,PER/PBR/ROE・成長率・決算後反応 / 質的接続
67,6954.T,6954.T,未分類,42.6,65,10.9,11.6,-1.5,30.7,-39.4,,,0,,,保留,長期安定性、量的評価、質的接続のいずれも中心候補化には不足。,PER/PBR/ROE・成長率・決算後反応 / 質的接続
68,4503.T,4503.T,未分類,42.2,66,7.8,6.8,-4.6,23.2,-41.6,,,0,,,保留,長期安定性、量的評価、質的接続のいずれも中心候補化には不足。,PER/PBR/ROE・成長率・決算後反応 / 質的接続
69,9202.T,9202.T,未分類,41.6,67,2.8,0,-9.5,19.1,-26.2,,,0,,,保留,長期安定性、量的評価、質的接続のいずれも中心候補化には不足。,PER/PBR/ROE・成長率・決算後反応 / 質的接続
70,9022.T,9022.T,未分類,40.3,68,2,-0.2,-10.3,18.2,-30.3,,,0,,,保留,長期安定性、量的評価、質的接続のいずれも中心候補化には不足。,PER/PBR/ROE・成長率・決算後反応 / 質的接続
71,6861.T,6861.T,未分類,40,69,7.6,16.5,-4.7,29.3,-39.8,,,0,,,保留,長期安定性、量的評価、質的接続のいずれも中心候補化には不足。,PER/PBR/ROE・成長率・決算後反応 / 質的接続
72,2502.T,2502.T,未分類,38.1,70,-0.5,4.3,-12.8,20.1,-29.2,,,0,,,保留,長期安定性、量的評価、質的接続のいずれも中心候補化には不足。,PER/PBR/ROE・成長率・決算後反応 / 質的接続
73,9021.T,9021.T,未分類,37,72,-1.2,-0.5,-13.6,15.3,-32.9,,,0,,,保留,長期安定性、量的評価、質的接続のいずれも中心候補化には不足。,PER/PBR/ROE・成長率・決算後反応 / 質的接続
74,7270.T,7270.T,未分類,36.5,73,6.3,-1.6,-6.1,26.9,-39.6,,,0,,,保留,長期安定性、量的評価、質的接続のいずれも中心候補化には不足。,PER/PBR/ROE・成長率・決算後反応 / 質的接続
75,6902.T,6902.T,未分類,35.6,74,2.5,8.5,-9.8,23.7,-43.1,,,0,,,保留,長期安定性、量的評価、質的接続のいずれも中心候補化には不足。,PER/PBR/ROE・成長率・決算後反応 / 質的接続
76,4543.T,4543.T,未分類,35.2,75,3.7,8.9,-8.7,26.3,-38.9,,,0,,,保留,長期安定性、量的評価、質的接続のいずれも中心候補化には不足。,PER/PBR/ROE・成長率・決算後反応 / 質的接続
77,6326.T,6326.T,未分類,34.8,76,4.2,7.8,-8.1,29.2,-40.2,,,0,,,保留,長期安定性、量的評価、質的接続のいずれも中心候補化には不足。,PER/PBR/ROE・成長率・決算後反応 / 質的接続
78,6098.T,6098.T,未分類,34.1,77,12.7,24,0.3,38.2,-58.1,,,0,,,保留,長期安定性、量的評価、質的接続のいずれも中心候補化には不足。,PER/PBR/ROE・成長率・決算後反応 / 質的接続
79,6920.T,6920.T,未分類,32.6,78,17,63,4.7,58.3,-76.6,70,2,0,,,保留,長期安定性、量的評価、質的接続のいずれも中心候補化には不足。,質的接続
80,7974.T,7974.T,未分類,31.8,79,3.3,18.8,-9.1,26,-52.1,,,0,,,保留,長期安定性、量的評価、質的接続のいずれも中心候補化には不足。,PER/PBR/ROE・成長率・決算後反応 / 質的接続
81,6367.T,6367.T,未分類,31.7,80,2.6,11,-9.7,27.7,-50,,,0,,,保留,長期安定性、量的評価、質的接続のいずれも中心候補化には不足。,PER/PBR/ROE・成長率・決算後反応 / 質的接続
82,4005.T,4005.T,未分類,31.5,81,2.1,4.9,-10.3,24.1,-47.2,,,0,,,保留,長期安定性、量的評価、質的接続のいずれも中心候補化には不足。,PER/PBR/ROE・成長率・決算後反応 / 質的接続
83,2432.T,2432.T,未分類,28.7,83,5.5,3.5,-6.9,38.4,-46.4,,,0,,,保留,長期安定性、量的評価、質的接続のいずれも中心候補化には不足。,PER/PBR/ROE・成長率・決算後反応 / 質的接続
84,3092.T,3092.T,未分類,26.3,84,-2.3,7.8,-14.6,25.8,-46.8,,,0,,,保留,長期安定性、量的評価、質的接続のいずれも中心候補化には不足。,PER/PBR/ROE・成長率・決算後反応 / 質的接続
85,6273.T,6273.T,未分類,25.6,85,2,10.7,-10.3,32.3,-52.7,,,0,,,保留,長期安定性、量的評価、質的接続のいずれも中心候補化には不足。,PER/PBR/ROE・成長率・決算後反応 / 質的接続
86,4568.T,4568.T,未分類,23.2,86,2.7,13.7,-9.6,33.2,-57.7,,,0,,,保留,長期安定性、量的評価、質的接続のいずれも中心候補化には不足。,PER/PBR/ROE・成長率・決算後反応 / 質的接続
87,8113.T,8113.T,未分類,18.9,87,-7.3,3.7,-19.6,22.8,-54,,,0,,,保留,長期安定性、量的評価、質的接続のいずれも中心候補化には不足。,PER/PBR/ROE・成長率・決算後反応 / 質的接続
88,3659.T,3659.T,未分類,18.3,88,-2,10.1,-14.3,36.2,-50.5,,,0,,,保留,長期安定性、量的評価、質的接続のいずれも中心候補化には不足。,PER/PBR/ROE・成長率・決算後反応 / 質的接続
89,4661.T,4661.T,未分類,15.7,89,-7,4.7,-19.4,23.5,-62.2,,,0,,,保留,長期安定性、量的評価、質的接続のいずれも中心候補化には不足。,PER/PBR/ROE・成長率・決算後反応 / 質的接続
90,4689.T,4689.T,未分類,15.6,90,-3.4,-0.2,-15.8,30.1,-60.3,,,0,,,保留,長期安定性、量的評価、質的接続のいずれも中心候補化には不足。,PER/PBR/ROE・成長率・決算後反応 / 質的接続
91,9843.T,9843.T,未分類,13.8,91,-7.1,1.9,-19.5,32.3,-52.9,,,0,,,保留,長期安定性、量的評価、質的接続のいずれも中心候補化には不足。,PER/PBR/ROE・成長率・決算後反応 / 質的接続
92,4751.T,4751.T,未分類,9.6,92,-8.6,8.3,-21,31.6,-67.4,,,0,,,保留,長期安定性、量的評価、質的接続のいずれも中心候補化には不足。,PER/PBR/ROE・成長率・決算後反応 / 質的接続
93,4385.T,4385.T,未分類,8.7,93,-5,0,-17.3,42,-77.2,,,0,,,保留,長期安定性、量的評価、質的接続のいずれも中心候補化には不足。,PER/PBR/ROE・成長率・決算後反応 / 質的接続 / 10年データ不足
94,6645.T,6645.T,未分類,7.7,94,-7,6.3,-19.4,38.5,-69.1,,,0,,,保留,長期安定性、量的評価、質的接続のいずれも中心候補化には不足。,PER/PBR/ROE・成長率・決算後反応 / 質的接続
95,4755.T,4755.T,未分類,6.8,95,-10.1,-4.1,-22.4,32.1,-64.7,,,0,,,保留,長期安定性、量的評価、質的接続のいずれも中心候補化には不足。,PER/PBR/ROE・成長率・決算後反応 / 質的接続
96,4523.T,4523.T,未分類,5.9,96,-9.1,-3,-21.5,39.1,-69.5,,,0,,,保留,長期安定性、量的評価、質的接続のいずれも中心候補化には不足。,PER/PBR/ROE・成長率・決算後反応 / 質的接続
97,6594.T,6594.T,未分類,3.4,97,-15.1,3.3,-27.4,35.2,-71.8,,,0,,,保留,長期安定性、量的評価、質的接続のいずれも中心候補化には不足。,PER/PBR/ROE・成長率・決算後反応 / 質的接続
98,6869.T,6869.T,未分類,1.3,98,-17.2,-5.4,-29.6,30.6,-74.2,,,0,,,保留,長期安定性、量的評価、質的接続のいずれも中心候補化には不足。,PER/PBR/ROE・成長率・決算後反応 / 質的接続
99,4911.T,4911.T,未分類,0,99,-18.9,-0.1,-31.2,34.8,-72.8,,,0,,,保留,長期安定性、量的評価、質的接続のいずれも中心候補化には不足。,PER/PBR/ROE・成長率・決算後反応 / 質的接続
100,2413.T,2413.T,未分類,0,100,-27.7,-0.8,-40.1,34.1,-86.8,,,0,,,保留,長期安定性、量的評価、質的接続のいずれも中心候補化には不足。,PER/PBR/ROE・成長率・決算後反応 / 質的接続
