優先度,作業番号,作業チケット,対象,入力先,欠けているもの,完了条件,完了後の扱い,優先理由,期限目安,現在の影響,次アクション
P0,P0-11,本人別NISA口座,口座7,redecision_account_input_template_20260614.csv / nisa_account_execution_gate_20260614.csv,本人名 / 証券会社 / NISA口座 / 本人スマホ / 本人銀行口座 / 二段階認証 / NISA残枠円,本人名、証券会社、NISA口座、本人スマホ、本人銀行、二段階認証、残枠が確認済み。,本人別注文票の作成可否を判定,本人確認、NISA口座区分、残枠がなければ、その本人分は注文票に進めない。,購入検討日の前日まで,該当口座0円継続,本人別の口座状態と残枠を入力
P0,P0-12,本人別NISA口座,口座8,redecision_account_input_template_20260614.csv / nisa_account_execution_gate_20260614.csv,本人名 / 証券会社 / NISA口座 / 本人スマホ / 本人銀行口座 / 二段階認証 / NISA残枠円,本人名、証券会社、NISA口座、本人スマホ、本人銀行、二段階認証、残枠が確認済み。,本人別注文票の作成可否を判定,本人確認、NISA口座区分、残枠がなければ、その本人分は注文票に進めない。,購入検討日の前日まで,該当口座0円継続,本人別の口座状態と残枠を入力
P0,P0-13,本人別NISA口座,口座9,redecision_account_input_template_20260614.csv / nisa_account_execution_gate_20260614.csv,本人名 / 証券会社 / NISA口座 / 本人スマホ / 本人銀行口座 / 二段階認証 / NISA残枠円,本人名、証券会社、NISA口座、本人スマホ、本人銀行、二段階認証、残枠が確認済み。,本人別注文票の作成可否を判定,本人確認、NISA口座区分、残枠がなければ、その本人分は注文票に進めない。,購入検討日の前日まで,該当口座0円継続,本人別の口座状態と残枠を入力
P0,P0-14,本人別NISA口座,口座10,redecision_account_input_template_20260614.csv / nisa_account_execution_gate_20260614.csv,本人名 / 証券会社 / NISA口座 / 本人スマホ / 本人銀行口座 / 二段階認証 / NISA残枠円,本人名、証券会社、NISA口座、本人スマホ、本人銀行、二段階認証、残枠が確認済み。,本人別注文票の作成可否を判定,本人確認、NISA口座区分、残枠がなければ、その本人分は注文票に進めない。,購入検討日の前日まで,該当口座0円継続,本人別の口座状態と残枠を入力
P1,P1-15,公式財務partial,6503.T 三菱電機,redecision_financial_partial_input_template_20260614.csv / candidate10_financial_confirmation_gate_20260614.csv,PER / PBR / ROE_pct / 営業利益率_pct / 今期会社予想_前期比 / 参照URLまたは資料名 / 資料日付 / 入力状態 / 受注またはセグメント寄与,公式IR・決算短信・決算説明資料で数値と参照元を入力すること。,銘柄別比率引上げ可否を再判定,財務を埋めると、最短確認候補の次に候補復帰を判断できる。,6/18再判定前,比率引上げ禁止,公式IRで不足項目を補完
P1,P1-19,公式財務partial,6762.T TDK,redecision_financial_partial_input_template_20260614.csv / candidate10_financial_confirmation_gate_20260614.csv,PER / PBR / ROE_pct / 営業利益率_pct / 今期会社予想_前期比 / 参照URLまたは資料名 / 資料日付 / 入力状態 / 受注またはセグメント寄与,公式IR・決算短信・決算説明資料で数値と参照元を入力すること。,銘柄別比率引上げ可否を再判定,財務を埋めると、最短確認候補の次に候補復帰を判断できる。,6/18再判定前,比率引上げ禁止,公式IRで不足項目を補完
P2,P2-16,公式財務partial,6857.T アドバンテスト,redecision_financial_partial_input_template_20260614.csv / candidate10_financial_confirmation_gate_20260614.csv,PER / PBR / ROE_pct / 営業利益率_pct / 今期会社予想_前期比 / 参照URLまたは資料名 / 資料日付 / 入力状態 / 受注またはセグメント寄与 / 高PER説明,公式IR・決算短信・決算説明資料で数値と参照元を入力すること。,銘柄別比率引上げ可否を再判定,監視・除外継続のため、初回買付よりも解除根拠の確認が主目的。,初回判断後も継続確認,比率引上げ禁止,公式IRで不足項目を補完
P2,P2-17,公式財務partial,8035.T 東京エレクトロン,redecision_financial_partial_input_template_20260614.csv / candidate10_financial_confirmation_gate_20260614.csv,PER / PBR / ROE_pct / 営業利益率_pct / 今期会社予想_前期比 / 参照URLまたは資料名 / 資料日付 / 入力状態 / 受注またはセグメント寄与 / 高PER説明,公式IR・決算短信・決算説明資料で数値と参照元を入力すること。,銘柄別比率引上げ可否を再判定,監視・除外継続のため、初回買付よりも解除根拠の確認が主目的。,初回判断後も継続確認,比率引上げ禁止,公式IRで不足項目を補完
P2,P2-18,公式財務partial,7011.T 三菱重工業,redecision_financial_partial_input_template_20260614.csv / candidate10_financial_confirmation_gate_20260614.csv,PER / PBR / ROE_pct / 営業利益率_pct / 今期会社予想_前期比 / 参照URLまたは資料名 / 資料日付 / 入力状態 / 受注またはセグメント寄与,公式IR・決算短信・決算説明資料で数値と参照元を入力すること。,銘柄別比率引上げ可否を再判定,監視・除外継続のため、初回買付よりも解除根拠の確認が主目的。,初回判断後も継続確認,比率引上げ禁止,公式IRで不足項目を補完
P2,P2-20,公式財務partial,6146.T ディスコ,redecision_financial_partial_input_template_20260614.csv / candidate10_financial_confirmation_gate_20260614.csv,PER / PBR / ROE_pct / 営業利益率_pct / 今期会社予想_前期比 / 参照URLまたは資料名 / 資料日付 / 入力状態 / 受注またはセグメント寄与 / 高PER説明,公式IR・決算短信・決算説明資料で数値と参照元を入力すること。,銘柄別比率引上げ可否を再判定,監視・除外継続のため、初回買付よりも解除根拠の確認が主目的。,初回判断後も継続確認,比率引上げ禁止,公式IRで不足項目を補完
P2,P2-21,公式財務partial,5803.T フジクラ,redecision_financial_partial_input_template_20260614.csv / candidate10_financial_confirmation_gate_20260614.csv,PER / PBR / ROE_pct / 営業利益率_pct / 今期会社予想_前期比 / 参照URLまたは資料名 / 資料日付 / 入力状態 / 受注またはセグメント寄与 / 高PER説明,公式IR・決算短信・決算説明資料で数値と参照元を入力すること。,銘柄別比率引上げ可否を再判定,監視・除外継続のため、初回買付よりも解除根拠の確認が主目的。,初回判断後も継続確認,比率引上げ禁止,公式IRで不足項目を補完
