優先,区分,ticker,銘柄,ゲート,入力ID,入力項目,不足,取得ルート,作業内容,通過条件,現在状態,スコア反映,P1復帰,買付上限
2,株価時系列・指数比較,6503.T,三菱電機,価格ゲート,6503_return_1y,1年騰落率,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,既存の株価取得ログ、株価時系列、S&P500/TOPIX/SOX等の指数時系列を使う。,全銘柄で同じ計算日を使い、CAGR、最大下落、指数差を再計算する。,計算日、計算式、出所、欠損有無がそろう。,未完了,禁止,0社,0円
2,株価時系列・指数比較,6503.T,三菱電機,価格ゲート,6503_return_60d,60日騰落率,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,既存の株価取得ログ、株価時系列、S&P500/TOPIX/SOX等の指数時系列を使う。,全銘柄で同じ計算日を使い、CAGR、最大下落、指数差を再計算する。,計算日、計算式、出所、欠損有無がそろう。,未完了,禁止,0社,0円
2,株価時系列・指数比較,6503.T,三菱電機,価格ゲート,6503_sp500_gap_1y,S&P500との差,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,既存の株価取得ログ、株価時系列、S&P500/TOPIX/SOX等の指数時系列を使う。,全銘柄で同じ計算日を使い、CAGR、最大下落、指数差を再計算する。,計算日、計算式、出所、欠損有無がそろう。,未完了,禁止,0社,0円
2,株価時系列・指数比較,8035.T,東京エレクトロン,価格ゲート,8035_cagr_10y,10年CAGR,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,既存の株価取得ログ、株価時系列、S&P500/TOPIX/SOX等の指数時系列を使う。,全銘柄で同じ計算日を使い、CAGR、最大下落、指数差を再計算する。,計算日、計算式、出所、欠損有無がそろう。,未完了,禁止,0社,0円
2,株価時系列・指数比較,8035.T,東京エレクトロン,価格ゲート,8035_cagr_5y,5年CAGR,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,既存の株価取得ログ、株価時系列、S&P500/TOPIX/SOX等の指数時系列を使う。,全銘柄で同じ計算日を使い、CAGR、最大下落、指数差を再計算する。,計算日、計算式、出所、欠損有無がそろう。,未完了,禁止,0社,0円
2,株価時系列・指数比較,8035.T,東京エレクトロン,価格ゲート,8035_current_price,直近株価,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,既存の株価取得ログ、株価時系列、S&P500/TOPIX/SOX等の指数時系列を使う。,全銘柄で同じ計算日を使い、CAGR、最大下落、指数差を再計算する。,計算日、計算式、出所、欠損有無がそろう。,未完了,禁止,0社,0円
2,株価時系列・指数比較,8035.T,東京エレクトロン,価格ゲート,8035_max_drawdown_1y,1年最大下落率,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,既存の株価取得ログ、株価時系列、S&P500/TOPIX/SOX等の指数時系列を使う。,全銘柄で同じ計算日を使い、CAGR、最大下落、指数差を再計算する。,計算日、計算式、出所、欠損有無がそろう。,未完了,禁止,0社,0円
2,株価時系列・指数比較,8035.T,東京エレクトロン,価格ゲート,8035_price_date,株価計算日,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,既存の株価取得ログ、株価時系列、S&P500/TOPIX/SOX等の指数時系列を使う。,全銘柄で同じ計算日を使い、CAGR、最大下落、指数差を再計算する。,計算日、計算式、出所、欠損有無がそろう。,未完了,禁止,0社,0円
2,株価時系列・指数比較,8035.T,東京エレクトロン,価格ゲート,8035_return_1y,1年騰落率,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,既存の株価取得ログ、株価時系列、S&P500/TOPIX/SOX等の指数時系列を使う。,全銘柄で同じ計算日を使い、CAGR、最大下落、指数差を再計算する。,計算日、計算式、出所、欠損有無がそろう。,未完了,禁止,0社,0円
2,株価時系列・指数比較,8035.T,東京エレクトロン,価格ゲート,8035_return_60d,60日騰落率,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,既存の株価取得ログ、株価時系列、S&P500/TOPIX/SOX等の指数時系列を使う。,全銘柄で同じ計算日を使い、CAGR、最大下落、指数差を再計算する。,計算日、計算式、出所、欠損有無がそろう。,未完了,禁止,0社,0円
2,株価時系列・指数比較,8035.T,東京エレクトロン,価格ゲート,8035_sp500_gap_1y,S&P500との差,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,既存の株価取得ログ、株価時系列、S&P500/TOPIX/SOX等の指数時系列を使う。,全銘柄で同じ計算日を使い、CAGR、最大下落、指数差を再計算する。,計算日、計算式、出所、欠損有無がそろう。,未完了,禁止,0社,0円
3,6月イベント後入力,6503.T,三菱電機,イベント後ゲート,6503_event_boj_result,日銀会合結果,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,CPI、日銀、FOMC後の金利、為替、指数、個別株反応を入力する。,イベント結果が出た後に、1日/5日反応と指数比を記録する。,イベント結果と市場反応が確認済みになる。,未完了,禁止,0社,0円
3,6月イベント後入力,6503.T,三菱電機,イベント後ゲート,6503_event_cpi_result,6月CPI結果,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,CPI、日銀、FOMC後の金利、為替、指数、個別株反応を入力する。,イベント結果が出た後に、1日/5日反応と指数比を記録する。,イベント結果と市場反応が確認済みになる。,未完了,禁止,0社,0円
3,6月イベント後入力,6503.T,三菱電機,イベント後ゲート,6503_event_fomc_result,FOMC結果,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,CPI、日銀、FOMC後の金利、為替、指数、個別株反応を入力する。,イベント結果が出た後に、1日/5日反応と指数比を記録する。,イベント結果と市場反応が確認済みになる。,未完了,禁止,0社,0円
3,6月イベント後入力,6503.T,三菱電機,イベント後ゲート,6503_post_event_index_reaction,イベント後指数反応,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,CPI、日銀、FOMC後の金利、為替、指数、個別株反応を入力する。,イベント結果が出た後に、1日/5日反応と指数比を記録する。,イベント結果と市場反応が確認済みになる。,未完了,禁止,0社,0円
3,6月イベント後入力,6503.T,三菱電機,イベント後ゲート,6503_post_event_ticker_reaction,イベント後個別株反応,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,CPI、日銀、FOMC後の金利、為替、指数、個別株反応を入力する。,イベント結果が出た後に、1日/5日反応と指数比を記録する。,イベント結果と市場反応が確認済みになる。,未完了,禁止,0社,0円
3,6月イベント後入力,8035.T,東京エレクトロン,イベント後ゲート,8035_event_boj_result,日銀会合結果,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,CPI、日銀、FOMC後の金利、為替、指数、個別株反応を入力する。,イベント結果が出た後に、1日/5日反応と指数比を記録する。,イベント結果と市場反応が確認済みになる。,未完了,禁止,0社,0円
3,6月イベント後入力,8035.T,東京エレクトロン,イベント後ゲート,8035_event_cpi_result,6月CPI結果,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,CPI、日銀、FOMC後の金利、為替、指数、個別株反応を入力する。,イベント結果が出た後に、1日/5日反応と指数比を記録する。,イベント結果と市場反応が確認済みになる。,未完了,禁止,0社,0円
3,6月イベント後入力,8035.T,東京エレクトロン,イベント後ゲート,8035_event_fomc_result,FOMC結果,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,CPI、日銀、FOMC後の金利、為替、指数、個別株反応を入力する。,イベント結果が出た後に、1日/5日反応と指数比を記録する。,イベント結果と市場反応が確認済みになる。,未完了,禁止,0社,0円
3,6月イベント後入力,8035.T,東京エレクトロン,イベント後ゲート,8035_post_event_index_reaction,イベント後指数反応,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,CPI、日銀、FOMC後の金利、為替、指数、個別株反応を入力する。,イベント結果が出た後に、1日/5日反応と指数比を記録する。,イベント結果と市場反応が確認済みになる。,未完了,禁止,0社,0円
3,6月イベント後入力,8035.T,東京エレクトロン,イベント後ゲート,8035_post_event_ticker_reaction,イベント後個別株反応,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,CPI、日銀、FOMC後の金利、為替、指数、個別株反応を入力する。,イベント結果が出た後に、1日/5日反応と指数比を記録する。,イベント結果と市場反応が確認済みになる。,未完了,禁止,0社,0円
4,説明文・分岐条件,6503.T,三菱電機,説明可能性ゲート,6503_drop_condition,落とす条件,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,財務・価格・イベント後データをもとに、残す理由と落とす条件を文章化する。,テーマ名だけでなく、数値と条件分岐に基づく説明を作る。,残す条件、落とす条件、未確認事項が分かれている。,未完了,禁止,0社,0円
4,説明文・分岐条件,6503.T,三菱電機,説明可能性ゲート,6503_keep_condition,残す条件,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,財務・価格・イベント後データをもとに、残す理由と落とす条件を文章化する。,テーマ名だけでなく、数値と条件分岐に基づく説明を作る。,残す条件、落とす条件、未確認事項が分かれている。,未完了,禁止,0社,0円
4,説明文・分岐条件,6503.T,三菱電機,説明可能性ゲート,6503_one_line_reason,1行の残す理由,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,財務・価格・イベント後データをもとに、残す理由と落とす条件を文章化する。,テーマ名だけでなく、数値と条件分岐に基づく説明を作る。,残す条件、落とす条件、未確認事項が分かれている。,未完了,禁止,0社,0円
4,説明文・分岐条件,6503.T,三菱電機,説明可能性ゲート,6503_unconfirmed_items,未確認事項,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,財務・価格・イベント後データをもとに、残す理由と落とす条件を文章化する。,テーマ名だけでなく、数値と条件分岐に基づく説明を作る。,残す条件、落とす条件、未確認事項が分かれている。,未完了,禁止,0社,0円
4,説明文・分岐条件,8035.T,東京エレクトロン,説明可能性ゲート,8035_drop_condition,落とす条件,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,財務・価格・イベント後データをもとに、残す理由と落とす条件を文章化する。,テーマ名だけでなく、数値と条件分岐に基づく説明を作る。,残す条件、落とす条件、未確認事項が分かれている。,未完了,禁止,0社,0円
4,説明文・分岐条件,8035.T,東京エレクトロン,説明可能性ゲート,8035_keep_condition,残す条件,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,財務・価格・イベント後データをもとに、残す理由と落とす条件を文章化する。,テーマ名だけでなく、数値と条件分岐に基づく説明を作る。,残す条件、落とす条件、未確認事項が分かれている。,未完了,禁止,0社,0円
4,説明文・分岐条件,8035.T,東京エレクトロン,説明可能性ゲート,8035_one_line_reason,1行の残す理由,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,財務・価格・イベント後データをもとに、残す理由と落とす条件を文章化する。,テーマ名だけでなく、数値と条件分岐に基づく説明を作る。,残す条件、落とす条件、未確認事項が分かれている。,未完了,禁止,0社,0円
4,説明文・分岐条件,8035.T,東京エレクトロン,説明可能性ゲート,8035_unconfirmed_items,未確認事項,入力値 / 出所URLまたは資料名 / ページまたは取得日時 / 公式確認,財務・価格・イベント後データをもとに、残す理由と落とす条件を文章化する。,テーマ名だけでなく、数値と条件分岐に基づく説明を作る。,残す条件、落とす条件、未確認事項が分かれている。,未完了,禁止,0社,0円
