updated_at,source,year,month,year_month,sales_units,yoy_pct,source_file
2026/05/20 00:30,自販連 登録車+軽自動車販売台数PDF,2024,5,2024-05,312401,95.6,C:\AI関連ファイル\株\data\industry_public\jada_new_car_total_202604_01_202604031013503788.pdf
2026/05/20 00:30,自販連 登録車+軽自動車販売台数PDF,2024,6,2024-06,373571,95.1,C:\AI関連ファイル\株\data\industry_public\jada_new_car_total_202604_01_202604031013503788.pdf
2026/05/20 00:30,自販連 登録車+軽自動車販売台数PDF,2024,7,2024-07,405151,106.9,C:\AI関連ファイル\株\data\industry_public\jada_new_car_total_202604_01_202604031013503788.pdf
2026/05/20 00:30,自販連 登録車+軽自動車販売台数PDF,2024,8,2024-08,328447,96.5,C:\AI関連ファイル\株\data\industry_public\jada_new_car_total_202604_01_202604031013503788.pdf
2026/05/20 00:30,自販連 登録車+軽自動車販売台数PDF,2024,9,2024-09,438717,100.3,C:\AI関連ファイル\株\data\industry_public\jada_new_car_total_202604_01_202604031013503788.pdf
2026/05/20 00:30,自販連 登録車+軽自動車販売台数PDF,2024,10,2024-10,402283,101.2,C:\AI関連ファイル\株\data\industry_public\jada_new_car_total_202604_01_202604031013503788.pdf
2026/05/20 00:30,自販連 登録車+軽自動車販売台数PDF,2024,11,2024-11,389509,94.8,C:\AI関連ファイル\株\data\industry_public\jada_new_car_total_202604_01_202604031013503788.pdf
2026/05/20 00:30,自販連 登録車+軽自動車販売台数PDF,2024,12,2024-12,329775,90.9,C:\AI関連ファイル\株\data\industry_public\jada_new_car_total_202604_01_202604031013503788.pdf
2026/05/20 00:30,自販連 登録車+軽自動車販売台数PDF,2025,1,2025-01,376216,112.4,C:\AI関連ファイル\株\data\industry_public\jada_new_car_total_202604_01_202604031013503788.pdf
2026/05/20 00:30,自販連 登録車+軽自動車販売台数PDF,2025,2,2025-02,409334,118.7,C:\AI関連ファイル\株\data\industry_public\jada_new_car_total_202604_01_202604031013503788.pdf
2026/05/20 00:30,自販連 登録車+軽自動車販売台数PDF,2025,3,2025-03,499734,110.7,C:\AI関連ファイル\株\data\industry_public\jada_new_car_total_202604_01_202604031013503788.pdf
2026/05/20 00:30,自販連 登録車+軽自動車販売台数PDF,2025,4,2025-04,342858,110.5,C:\AI関連ファイル\株\data\industry_public\jada_new_car_total_202604_01_202604031013503788.pdf
2026/05/20 00:30,自販連 登録車+軽自動車販売台数PDF,2025,5,2025-05,324054,103.7,C:\AI関連ファイル\株\data\industry_public\jada_new_car_total_202604_01_202604031013503788.pdf
2026/05/20 00:30,自販連 登録車+軽自動車販売台数PDF,2025,6,2025-06,393127,105.2,C:\AI関連ファイル\株\data\industry_public\jada_new_car_total_202604_01_202604031013503788.pdf
2026/05/20 00:30,自販連 登録車+軽自動車販売台数PDF,2025,7,2025-07,390484,96.4,C:\AI関連ファイル\株\data\industry_public\jada_new_car_total_202604_01_202604031013503788.pdf
2026/05/20 00:30,自販連 登録車+軽自動車販売台数PDF,2025,8,2025-08,301194,91.7,C:\AI関連ファイル\株\data\industry_public\jada_new_car_total_202604_01_202604031013503788.pdf
2026/05/20 00:30,自販連 登録車+軽自動車販売台数PDF,2025,9,2025-09,428194,97.6,C:\AI関連ファイル\株\data\industry_public\jada_new_car_total_202604_01_202604031013503788.pdf
2026/05/20 00:30,自販連 登録車+軽自動車販売台数PDF,2025,10,2025-10,395164,98.2,C:\AI関連ファイル\株\data\industry_public\jada_new_car_total_202604_01_202604031013503788.pdf
2026/05/20 00:30,自販連 登録車+軽自動車販売台数PDF,2025,11,2025-11,369702,94.9,C:\AI関連ファイル\株\data\industry_public\jada_new_car_total_202604_01_202604031013503788.pdf
2026/05/20 00:30,自販連 登録車+軽自動車販売台数PDF,2025,12,2025-12,335442,101.7,C:\AI関連ファイル\株\data\industry_public\jada_new_car_total_202604_01_202604031013503788.pdf
2026/05/20 00:30,自販連 登録車+軽自動車販売台数PDF,2026,1,2026-01,367720,97.7,C:\AI関連ファイル\株\data\industry_public\jada_new_car_total_202604_01_202604031013503788.pdf
2026/05/20 00:30,自販連 登録車+軽自動車販売台数PDF,2026,2,2026-02,394961,96.5,C:\AI関連ファイル\株\data\industry_public\jada_new_car_total_202604_01_202604031013503788.pdf
2026/05/20 00:30,自販連 登録車+軽自動車販売台数PDF,2026,3,2026-03,490628,98.2,C:\AI関連ファイル\株\data\industry_public\jada_new_car_total_202604_01_202604031013503788.pdf
