updated_at,ticker,company_name,metric_group,metric_name,score_connection,candidate_values,hit_count,rows_with_numbers,confidence,use_status,next_action,source_url
2026/05/19 15:52,6857.T,アドバンテスト,net_income,純利益・親会社帰属利益,成長力G,"224株 / 2025 / 3 / 32,422,231株 / 2026 / 728,634,777株 / 737,064,308株 / 1 / 988,232 / 46.8 / 405,874 / 86.7 / 425,372 / 87.4",4,4,低,要確認,候補はあるが項目名・単位の確認が必要,https://www2.jpx.co.jp/disc/68570/140120260427511547.pdf
2026/05/19 15:52,7974.T,任天堂,net_income,純利益・親会社帰属利益,成長力G,"1 / 2026 / 3 / 2025 / 4 / 12 / 31 / 1,905,883 / 99.3 / 300,393 / 21.3 / 455,842 / 39.4 / 358,863",13,13,中,入力候補,PDF原文照合後、入力候補にできる,https://www.nintendo.co.jp/ir/pdf/2026/260203.pdf
2026/05/19 15:52,7974.T,任天堂,sales,売上高・売上収益,成長力G,"1 / 2026 / 3 / 2025 / 4 / 12 / 31 / 1,905,883 / 99.3 / 300,393 / 21.3 / 455,842 / 39.4 / 358,863",12,12,中,入力候補,PDF原文照合後、入力候補にできる,https://www.nintendo.co.jp/ir/pdf/2026/260203.pdf
2026/05/19 15:52,7974.T,任天堂,forecast,会社予想・通期見通し,決算期待値E・成長力G,25 / 3 / 35.00 / 85.00 / 120.00 / 2026 / 42.00 / 139.00 / 181.00 / 2025 / 4 / 1 / 31 / 1株,7,7,中,入力候補,PDF原文照合後、入力候補にできる,https://www.nintendo.co.jp/ir/pdf/2026/260203.pdf
2026/05/19 15:52,7974.T,任天堂,dividend,配当,株主還元R,7974 / 075 / -662 / -9600 / 1 / 2026 / 3 / 2025 / 4 / 12 / 31,5,5,中,入力候補,PDF原文照合後、入力候補にできる,https://www.nintendo.co.jp/ir/pdf/2026/260203.pdf
2026/05/19 15:52,7974.T,任天堂,operating_profit,営業利益,成長力G・利益率M,"1 / 2026 / 3 / 2025 / 4 / 12 / 31 / 1,905,883 / 99.3 / 300,393 / 21.3 / 455,842 / 39.4 / 358,863",3,3,低,要確認,候補はあるが項目名・単位の確認が必要,https://www.nintendo.co.jp/ir/pdf/2026/260203.pdf
2026/05/19 15:52,7974.T,任天堂,eps,EPS・1株利益,成長力G・株主価値,"4 / 247,597 / 46.7 / 327,117 / 42.3 / 237,189 / 41.9 / 2026 / 3 / 398,659百万円 / 41.9％ / 2025 / 280,995百万円 / 37.3％",3,3,低,要確認,候補はあるが項目名・単位の確認が必要,https://www.nintendo.co.jp/ir/pdf/2026/260203.pdf
2026/05/19 15:52,7974.T,任天堂,buyback,自社株買い・自己株式,株主還元R,"4 / 2026 / 3 / 1,298,690,000株 / 2025 / 134,431,085株 / 134,441,816株",3,3,低,要確認,候補はあるが項目名・単位の確認が必要,https://www.nintendo.co.jp/ir/pdf/2026/260203.pdf
2026/05/19 15:52,8035.T,東京エレクトロン,net_income,純利益・親会社帰属利益,成長力G,"1 / 2026 / 3 / 2025 / 4 / 31 / 2,443,533 / 0.5 / 624,936 / 10.4 / 630,338 / 10.9 / 574,454 / 5.6",9,9,中,入力候補,PDF原文照合後、入力候補にできる,https://www.tel.co.jp/ir/library/report/jngpc500000000l6-att/fy26q4tanshin-j.pdf
2026/05/19 15:52,8035.T,東京エレクトロン,dividend,配当,株主還元R,03 / -5561 / -7000 / 2026 / 6 / 23 / 2 / 22 / 1 / 3,9,9,中,入力候補,PDF原文照合後、入力候補にできる,https://www.tel.co.jp/ir/library/report/jngpc500000000l6-att/fy26q4tanshin-j.pdf
2026/05/19 15:52,8035.T,東京エレクトロン,forecast,会社予想・通期見通し,決算期待値E・成長力G,8 / 2027 / 3 / 361.00 / 2026 / 2 / 4 / 1 / 5 / 14,8,8,中,入力候補,PDF原文照合後、入力候補にできる,https://www.tel.co.jp/ir/library/report/jngpc500000000l6-att/fy26q4tanshin-j.pdf
2026/05/19 15:52,8035.T,東京エレクトロン,eps,EPS・1株利益,成長力G・株主価値,"2,431,568 / 32.8 / 697,319 / 52.8 / 707,727 / 544,133 / 49.5 / 2026 / 3 / 624,335百万円 / 31.1％ / 2025 / 476,095百万円 / 0.5％",7,7,中,入力候補,PDF原文照合後、入力候補にできる,https://www.tel.co.jp/ir/library/report/jngpc500000000l6-att/fy26q4tanshin-j.pdf
2026/05/19 15:52,8035.T,東京エレクトロン,sales,売上高・売上収益,成長力G,"1 / 2026 / 3 / 2025 / 4 / 31 / 2,443,533 / 0.5 / 624,936 / 10.4 / 630,338 / 10.9 / 574,454 / 5.6",4,4,低,要確認,候補はあるが項目名・単位の確認が必要,https://www.tel.co.jp/ir/library/report/jngpc500000000l6-att/fy26q4tanshin-j.pdf
2026/05/19 15:52,8035.T,東京エレクトロン,operating_profit,営業利益,成長力G・利益率M,"1 / 2026 / 3 / 2025 / 4 / 31 / 2,443,533 / 0.5 / 624,936 / 10.4 / 630,338 / 10.9 / 574,454 / 5.6",4,4,低,要確認,候補はあるが項目名・単位の確認が必要,https://www.tel.co.jp/ir/library/report/jngpc500000000l6-att/fy26q4tanshin-j.pdf
2026/05/19 15:52,8035.T,東京エレクトロン,buyback,自社株買い・自己株式,株主還元R,"3 / 2026 / 471,632,733 株 / 2025 / 16,783,041 株 / 13,522,282 株",4,4,低,要確認,候補はあるが項目名・単位の確認が必要,https://www.tel.co.jp/ir/library/report/jngpc500000000l6-att/fy26q4tanshin-j.pdf
2026/05/19 15:52,8058.T,三菱商事,cash_flow,CF/FCF,財務安全性S・企業の質Q,"31 / 2026 / 24,151,695 / 10,250,574 / 9,440,567 / 39.1 / 2,578 / 33 / 2025 / 21,496,104 / 10,154,322 / 9,368,714 / 43.6 / 2,355",19,15,中,入力候補,PDF原文照合後、入力候補にできる,https://www.mitsubishicorp.com/jp/en/ir/library/earnings/pdf/202605e.pdf
2026/05/19 15:52,8058.T,三菱商事,sales,売上高・売上収益,成長力G,31 / 2026 / 1,18,13,中,入力候補,PDF原文照合後、入力候補にできる,https://www.mitsubishicorp.com/jp/en/ir/library/earnings/pdf/202605e.pdf
2026/05/19 15:52,8058.T,三菱商事,dividend,配当,株主還元R,"31 / 2026 / 1,490,041 / 448,584 / 804,684 / 1,841,464 / 2025 / 1,658,349 / 273,945 / 1,530,703 / 1,536,624 / 2",18,13,中,入力候補,PDF原文照合後、入力候補にできる,https://www.mitsubishicorp.com/jp/en/ir/library/earnings/pdf/202605e.pdf
2026/05/19 15:52,8058.T,三菱商事,forecast,会社予想・通期見通し,決算期待値E・成長力G,"31 / 2025 / 50.00 / 100.00 / 397,714 / 42.2 / 4.4 / 2026 / 55.00 / 110.00 / 408,458 / 52.2 / 4.5 / 2027",18,11,中,入力候補,PDF原文照合後、入力候補にできる,https://www.mitsubishicorp.com/jp/en/ir/library/earnings/pdf/202605e.pdf
2026/05/19 15:52,8058.T,三菱商事,buyback,自社株買い・自己株式,株主還元R,"3 / -1 / 31 / 2026 / 4,028,926,353 / 2025 / 4,022,391,153 / -2",11,11,中,入力候補,PDF原文照合後、入力候補にできる,https://www.mitsubishicorp.com/jp/en/ir/library/earnings/pdf/202605e.pdf
2026/05/19 15:52,8058.T,三菱商事,roe,ROE,企業の質Q,2027 / 6 / 3 / 1 / 2 / 7,5,4,低,要確認,候補はあるが項目名・単位の確認が必要,https://www.mitsubishicorp.com/jp/en/ir/library/earnings/pdf/202605e.pdf
2026/05/19 15:52,8058.T,三菱商事,net_income,純利益・親会社帰属利益,成長力G,0,3,3,低,要確認,候補はあるが項目名・単位の確認が必要,https://www.mitsubishicorp.com/jp/en/ir/library/earnings/pdf/202605e.pdf
2026/05/19 15:52,8058.T,三菱商事,eps,EPS・1株利益,成長力G・株主価値,"31 / 2026 / 3,795,020,642 / 2025 / 4,011,861,940 / 25 / 3 / 2",3,3,低,要確認,候補はあるが項目名・単位の確認が必要,https://www.mitsubishicorp.com/jp/en/ir/library/earnings/pdf/202605e.pdf
