updated_at,ticker,company,cik,filing_date,report_date,form,accession,primary_document,description,source_url
2026/05/21 17:39,MSFT,Microsoft,0000789019,2026-03-27,,SCHEDULE 13G/A,0000102909-26-001884,xslSCHEDULE_13G_X02/primary_doc.xml,,https://data.sec.gov/submissions/CIK0000789019.json
2026/05/21 17:39,MSFT,Microsoft,0000789019,2026-03-24,2025-12-31,11-K,0001193125-26-120090,msft-20251231.htm,11-K,https://data.sec.gov/submissions/CIK0000789019.json
2026/05/21 17:39,AMZN,Amazon,0001018724,2026-05-19,2026-05-15,4,0002024813-26-000006,xslF345X06/wk-form4_1779225197.xml,FORM 4,https://data.sec.gov/submissions/CIK0001018724.json
2026/05/21 17:39,AMZN,Amazon,0001018724,2026-05-19,2026-05-15,4,0001936006-26-000016,xslF345X06/wk-form4_1779224693.xml,FORM 4,https://data.sec.gov/submissions/CIK0001018724.json
2026/05/21 17:39,AMZN,Amazon,0001018724,2026-05-19,2026-05-15,4,0001851101-26-000002,xslF345X06/wk-form4_1779224183.xml,FORM 4,https://data.sec.gov/submissions/CIK0001018724.json
2026/05/21 17:39,AMZN,Amazon,0001018724,2026-05-19,2026-05-15,4,0001183818-26-000005,xslF345X06/wk-form4_1779223704.xml,FORM 4,https://data.sec.gov/submissions/CIK0001018724.json
2026/05/21 17:39,AMZN,Amazon,0001018724,2026-05-15,,144,0001950047-26-004618,xsl144X01/primary_doc.xml,,https://data.sec.gov/submissions/CIK0001018724.json
2026/05/21 17:39,AMZN,Amazon,0001018724,2026-05-15,,144,0001959173-26-003646,xsl144X01/primary_doc.xml,,https://data.sec.gov/submissions/CIK0001018724.json
2026/05/21 17:39,AMZN,Amazon,0001018724,2026-05-15,,PX14A6G,0001214659-26-006345,amz515260px14a6g.htm,,https://data.sec.gov/submissions/CIK0001018724.json
2026/05/21 17:39,AMZN,Amazon,0001018724,2026-05-06,2026-05-04,4,0001374545-26-000006,xslF345X06/wk-form4_1778100121.xml,FORM 4,https://data.sec.gov/submissions/CIK0001018724.json
2026/05/21 17:39,AMZN,Amazon,0001018724,2026-05-05,,144,0001950047-26-004091,xsl144X01/primary_doc.xml,,https://data.sec.gov/submissions/CIK0001018724.json
2026/05/21 17:39,AMZN,Amazon,0001018724,2026-05-05,2026-05-01,4,0001936006-26-000014,xslF345X06/wk-form4_1778013858.xml,FORM 4,https://data.sec.gov/submissions/CIK0001018724.json
2026/05/21 17:39,TSM,TSMC ADR,0001046179,2026-05-19,2026-05-19,4,0001046179-26-000286,xslF345X06/wk-form4_1779186503.xml,FORM 4,https://data.sec.gov/submissions/CIK0001046179.json
2026/05/21 17:39,TSM,TSMC ADR,0001046179,2026-05-19,2026-05-19,4,0001046179-26-000285,xslF345X06/wk-form4_1779186496.xml,FORM 4,https://data.sec.gov/submissions/CIK0001046179.json
2026/05/21 17:39,TSM,TSMC ADR,0001046179,2026-05-15,2026-05-15,6-K,0001046179-26-000280,tsmctosell81ofvanguardinte.htm,6-K,https://data.sec.gov/submissions/CIK0001046179.json
2026/05/21 17:39,TSM,TSMC ADR,0001046179,2026-05-15,2026-03-31,6-K,0001046179-26-000278,tsm-fsx20260515x6k.htm,6-K,https://data.sec.gov/submissions/CIK0001046179.json
2026/05/21 17:39,TSM,TSMC ADR,0001046179,2026-05-12,2026-05-12,6-K,0001046179-26-000275,a20260512boardofdirectorsr.htm,6-K,https://data.sec.gov/submissions/CIK0001046179.json
2026/05/21 17:39,TSM,TSMC ADR,0001046179,2026-05-12,2026-05-12,6-K,0001046179-26-000274,tsm-boardx20260512.htm,6-K,https://data.sec.gov/submissions/CIK0001046179.json
2026/05/21 17:39,TSM,TSMC ADR,0001046179,2026-05-11,2026-05-08,4,0001046179-26-000271,xslF345X06/wk-form4_1778498960.xml,FORM 4,https://data.sec.gov/submissions/CIK0001046179.json
2026/05/21 17:39,TSM,TSMC ADR,0001046179,2026-05-11,2026-05-08,4,0001046179-26-000270,xslF345X06/wk-form4_1778498952.xml,FORM 4,https://data.sec.gov/submissions/CIK0001046179.json
2026/05/21 17:39,TSM,TSMC ADR,0001046179,2026-05-11,2026-05-08,4,0001046179-26-000269,xslF345X06/wk-form4_1778498944.xml,FORM 4,https://data.sec.gov/submissions/CIK0001046179.json
2026/05/21 17:39,TSM,TSMC ADR,0001046179,2026-05-11,2026-05-08,4,0001046179-26-000265,xslF345X06/wk-form4_1778498862.xml,FORM 4,https://data.sec.gov/submissions/CIK0001046179.json
2026/05/21 17:39,VRT,Vertiv,0001674101,2026-05-06,2026-05-04,4,0001628280-26-031347,xslF345X06/wk-form4_1778099213.xml,FORM 4,https://data.sec.gov/submissions/CIK0001674101.json
2026/05/21 17:39,VRT,Vertiv,0001674101,2026-05-06,2026-05-04,4,0001628280-26-031346,xslF345X06/wk-form4_1778099207.xml,FORM 4,https://data.sec.gov/submissions/CIK0001674101.json
2026/05/21 17:39,VRT,Vertiv,0001674101,2026-05-06,2026-05-04,4,0001628280-26-031345,xslF345X06/wk-form4_1778099201.xml,FORM 4,https://data.sec.gov/submissions/CIK0001674101.json
2026/05/21 17:39,VRT,Vertiv,0001674101,2026-05-06,2026-05-05,4,0001628280-26-031340,xslF345X06/wk-form4_1778099061.xml,FORM 4,https://data.sec.gov/submissions/CIK0001674101.json
2026/05/21 17:39,VRT,Vertiv,0001674101,2026-05-05,2026-05-05,3,0001628280-26-030593,xslF345X06/wk-form3_1778012348.xml,FORM 3,https://data.sec.gov/submissions/CIK0001674101.json
2026/05/21 17:39,VRT,Vertiv,0001674101,2026-04-30,,SCHEDULE 13G,0002100119-26-001190,xslSCHEDULE_13G_X02/primary_doc.xml,,https://data.sec.gov/submissions/CIK0001674101.json
2026/05/21 17:39,VRT,Vertiv,0001674101,2026-04-27,2026-04-27,8-K,0001628280-26-027297,vrt-20260427.htm,8-K,https://data.sec.gov/submissions/CIK0001674101.json
2026/05/21 17:39,VRT,Vertiv,0001674101,2026-04-24,,SCHEDULE 13G/A,0002012383-26-001474,xslSCHEDULE_13G_X02/primary_doc.xml,,https://data.sec.gov/submissions/CIK0001674101.json
2026/05/21 17:39,VRT,Vertiv,0001674101,2026-04-24,2025-12-31,ARS,0001193125-26-174909,d27762dars.pdf,ARS,https://data.sec.gov/submissions/CIK0001674101.json
2026/05/21 17:39,VRT,Vertiv,0001674101,2026-04-24,,DEFA14A,0001193125-26-174906,d74104ddefa14a.htm,DEFA14A,https://data.sec.gov/submissions/CIK0001674101.json
