base_date,ticker,name,price_base,return_1y,max_drawdown_1y,excess_vs_sp500,excess_vs_topix_proxy,source_to_find,revenue_current,revenue_previous,revenue_growth_pct,profit_current,profit_previous,profit_growth_pct,eps_current,roe_pct,per_asof,pbr_asof,dividend_or_buyback,verification_status,use_in_backtest,note
2023-06-01,7011.T,三菱重工業,571.99,135.43,-17.76,110.40,104.23,基準日前に公表済みの通期決算短信または直近四半期決算を確認予定,,,,,,,,,,,,未入力,使用不可,財務根拠を公式資料で確認するまで、本検証には使用しない。
2023-06-01,6501.T,日立製作所,1547.28,103.99,-13.73,78.96,72.79,基準日前に公表済みの通期決算短信または直近四半期決算を確認予定,,,,,,,,,,,,未入力,使用不可,財務根拠を公式資料で確認するまで、本検証には使用しない。
2023-06-01,5803.T,フジクラ,174.04,199.72,-16.16,174.69,168.52,基準日前に公表済みの通期決算短信または直近四半期決算を確認予定,,,,,,,,,,,,未入力,使用不可,財務根拠を公式資料で確認するまで、本検証には使用しない。
2023-06-01,5801.T,古河電工,2252.13,82.51,-22.17,57.48,51.31,基準日前に公表済みの通期決算短信または直近四半期決算を確認予定,,,,,,,,,,,,未入力,使用不可,財務根拠を公式資料で確認するまで、本検証には使用しない。
2024-06-01,8316.T,三井住友FG,3249.85,10.08,-29.43,-1.82,7.62,https://www.smfg.co.jp/investor/financial/latest_statement/2024_3/2024_fy_01.pdf,9353590,6142155,52.3,962946,805842,19.5,241.52,7.3,13.46,0.87,年間配当270円。株式分割を反映して調整。,確認済み,使用可,公式決算短信。株式分割後の株価系列に合わせてEPS/BPSを調整しPER/PBRを算出。
2024-06-01,8306.T,三菱UFJ FG,1583.28,23.69,-31.85,11.80,21.24,https://www.mufg.jp/dam/ir/fs/2023/pdf/summary2403_ja.pdf,11890350,9281027,28.1,1490781,1116496,33.5,124.65,8.1,12.70,0.95,年間配当41円、配当性向32.9%。,確認済み,使用可,公式決算短信。基準日株価からPER/PBRを算出。
2024-06-01,8725.T,MS&AD,3108.86,6.51,-32.62,-5.38,4.06,https://data.swcms.net/file/corp-ms-ad-hd/dam/jcr%3A67313b76-7163-4df4-8eba-4021aead10bb/140120240509585685.pdf,6572889,5251271,25.2,369266,211006,75.0,231.83,約9.8,13.41,1.10,年間配当240円。2024年4月の3分割後基準で確認。,確認済み,使用可,公式決算短信。2024年の株式分割を反映。2024年ROEは自己資本から概算。
2024-06-01,8411.T,みずほFG,3074.43,26.86,-33.45,14.96,24.40,https://www.mizuho-fg.co.jp/investors/financial/tanshin/pdf/data2403_fy.pdf,8744458,5778772,51.3,678993,555527,22.2,267.88,7.0,11.48,0.76,年間配当105円、配当性向39.1%。,確認済み,使用可,公式決算短信。基準日株価からPER/PBRを算出。
2024-06-01,6503.T,三菱電機,2671.31,7.39,-33.95,-4.50,4.94,基準日前に公表済みの通期決算短信または直近四半期決算を確認予定,,,,,,,,,,,,未入力,使用不可,財務根拠を公式資料で確認するまで、本検証には使用しない。
2024-06-01,6857.T,アドバンテスト,5305.54,38.39,-51.37,26.50,35.93,基準日前に公表済みの通期決算短信または直近四半期決算を確認予定,,,,,,,,,,,,未入力,使用不可,財務根拠を公式資料で確認するまで、本検証には使用しない。
2024-06-01,6146.T,ディスコ,58787.00,-44.56,-65.16,-56.45,-47.01,基準日前に公表済みの通期決算短信または直近四半期決算を確認予定,,,,,,,,,,,,未入力,使用不可,財務根拠を公式資料で確認するまで、本検証には使用しない。
2024-06-01,8035.T,東京エレクトロン,32723.57,-31.06,-54.02,-42.95,-33.51,基準日前に公表済みの通期決算短信または直近四半期決算を確認予定,,,,,,,,,,,,未入力,使用不可,財務根拠を公式資料で確認するまで、本検証には使用しない。
2024-06-01,7735.T,SCREEN HD,7336.74,-30.73,-51.14,-42.62,-33.18,基準日前に公表済みの通期決算短信または直近四半期決算を確認予定,,,,,,,,,,,,未入力,使用不可,財務根拠を公式資料で確認するまで、本検証には使用しない。
2024-06-01,6920.T,レーザーテック,39004.87,-63.14,-73.52,-75.03,-65.59,基準日前に公表済みの通期決算短信または直近四半期決算を確認予定,,,,,,,,,,,,未入力,使用不可,財務根拠を公式資料で確認するまで、本検証には使用しない。
2024-06-01,7011.T,三菱重工業,1368.29,143.52,-35.79,131.63,141.07,基準日前に公表済みの通期決算短信または直近四半期決算を確認予定,,,,,,,,,,,,未入力,使用不可,財務根拠を公式資料で確認するまで、本検証には使用しない。
2024-06-01,6501.T,日立製作所,3238.36,23.50,-38.70,11.61,21.04,基準日前に公表済みの通期決算短信または直近四半期決算を確認予定,,,,,,,,,,,,未入力,使用不可,財務根拠を公式資料で確認するまで、本検証には使用しない。
2024-06-01,5803.T,フジクラ,497.67,122.41,-50.66,110.52,119.96,基準日前に公表済みの通期決算短信または直近四半期決算を確認予定,,,,,,,,,,,,未入力,使用不可,財務根拠を公式資料で確認するまで、本検証には使用しない。
2024-06-01,5801.T,古河電工,3928.78,73.88,-52.06,61.99,71.42,基準日前に公表済みの通期決算短信または直近四半期決算を確認予定,,,,,,,,,,,,未入力,使用不可,財務根拠を公式資料で確認するまで、本検証には使用しない。
