ticker,name,theme,evidence_level,official_or_observed_evidence,source,usage_limit,next_check
6503.T,三菱電機,FA・AI関連半導体設備投資,公式セグメント確認,"FAシステムは売上高7,982億円（+726）・営業利益766億円（+298）・営業利益率9.6%（+3.2pt）。AI関連半導体設備投資需要の増加が確認されている。",三菱電機 2026年3月期 決算説明会資料 P10 / p1_segment_ai_confirmation_draft_20260615.csv,AIという単語だけで扱わず、FAシステムの受注高・売上高増加要因として確認する。株価反応が弱い間は小口上限を維持。,FA受注高・営業利益率・半導体設備投資サイクルを更新
5801.T,古河電工,データセンター・電線・光通信,公式財務確認＋セグメント記述確認,2026年3月期は売上+8.8%・営業利益+35.8%・ROE19.1%。情報通信ソリューションでデータセンタ関連製品の需要増加と高速大容量通信向け製品の拡販を確認。3Qではインフラ売上+17.8%・営業利益82億円を確認。,古河電工 2026年3月期決算短信・3Q決算短信,データセンター需要は確認できるが価格未取得・イベント未検証のため買付根拠にしない。株式分割後の価格と指数比を確認するまで監視,価格取得・決算後20営業日反応・データセンター関連売上比率・指数比を更新
8035.T,東京エレクトロン,WFE・半導体製造装置,公式市場見通し確認,CY2026〜2027のWFE市場は150〜170Bドル/年、CY2025比+20%以上。先端デバイス向けは+30%以上の見通し。,東京エレクトロン 2026年3月期 決算説明会資料 P14 / p1_segment_ai_confirmation_draft_20260615.csv,市場見通しだけで購入候補化を確定しない。地政学リスク・SOX・6月イベント後反応・価格過熱を併用。,WFE見通し・SOX・受注・粗利率・地政学リスクを更新
8035.T,東京エレクトロン,高シェア工程・先端パッケージング,公式シェア確認,塗布・現像はシェア90%以上、絶縁膜エッチングはシェア50%以上。先端パッケージングはFY2027売上YoY+60%以上の見通し。,東京エレクトロン 2026年3月期 決算説明会資料 P15 / p1_segment_ai_confirmation_draft_20260615.csv,高シェアは構造優位の根拠だが、株価上昇の確定根拠ではない。利益率・受注・指数反応と併用する。,高シェア工程の売上寄与・利益率・受注動向を更新
8035.T,東京エレクトロン,AIサーバー需要・先端ロジック,公式会社予想確認,"FY2027上期予想は売上高15,700億円・売上総利益7,150億円・営業利益4,310億円・営業利益率27.5%。AIサーバー向け需要が牽引。",東京エレクトロン 2026年3月期 決算説明会資料 P16 / p1_segment_ai_confirmation_draft_20260615.csv,強い会社予想だけで買付に戻さない。高PER・高PBR・半導体サイクル・ホルムズ海峡リスクを同時に確認する。,FY2027上期進捗・粗利率・DRAM/先端ロジック投資・イベント後反応を更新
6501.T,日立製作所,DSS・AI・Lumada・フィジカルAI,公式セグメント確認,DSSは過去最高益更新。国内DX/モダナイゼーション売上はYoY+7%。GlobalLogic等のシナジー売上はQ4ドルベースYoY+44%。HMAXをグローバルにローンチ。,日立製作所 2026年3月期連結決算の概要 P6,AIやフィジカルAIの言葉だけでは使わず、DSS売上・利益率・GlobalLogic/HDS・HMAXの実績とセットで補助根拠にする。決算後20営業日反応は弱いため初回増額根拠にはしない。,DSS売上・Adj. EBITA率・HMAX商用化・指数比を継続確認
6501.T,日立製作所,エナジー・電力網・データセンター周辺,公式セグメント確認,"FY2026見通しでエナジー売上37,000億円・Adj. EBITA5,000億円。パワーグリッドは送電網設備の堅調な需要継続と受注残の売上転換により増収増益見通し。",日立製作所 2026年3月期連結決算の概要 P4,データセンター一般論ではなく、送電網・パワーグリッドの需要と受注残の売上転換を確認材料にする。株価反応が弱い間は確認後候補まで。,エナジー受注残・Power Grid利益率・中東リスク・指数比を更新
7011.T,三菱重工,防衛・航空宇宙・エナジー受注,公式決算確認,2025年度は受注高+19.5%・売上収益+14.1%・事業利益+21.8%。売上収益は航空・防衛・宇宙とエナジーで増加、事業利益はエナジーと航空・防衛・宇宙で増加。,三菱重工 2025年度決算短信・決算説明資料,防衛・電力テーマは公式受注と利益で確認できるが、株価は過熱・反動・指数劣後注意。質的に強くても初回買付には戻さない。,受注高の質・防衛/エナジー利益率・株価反動・指数比を確認
6146.T,ディスコ,半導体製造装置・精密加工,公式財務確認,2026年3月期は売上+36.4%・営業利益+47.6%・EPS+36.0%。3Q時点でも売上+48.4%・営業利益+58.3%と高成長。,ディスコ 2026年3月期公式決算PDF・3Q公式PDF・top10公式2期入力,成長実績は確認。ただしPER約79倍・PBR12.32倍で高い期待を織り込むため、質的テーマだけで購入候補化しない。,受注・製品別売上・粗利率・SOX/NASDAQ・決算後反応を確認
5803.T,フジクラ,データセンター・光ファイバー・電線,公式財務確認,2026年3月期は売上+20.7%・営業利益+39.2%・EPS+72.4%。3Q時点でも売上+20.2%・営業利益+47.7%。,フジクラ 2026年3月期TDnet決算PDF・3Q決算PDF・top10公式2期入力,データセンター/光ファイバー需要の仮説は財務成長と整合するが、寄与比率は未分離。1年上昇率346.2%と急落リスクが大きいため買付根拠にはしない。,光ファイバー/データセンター関連売上比率・受注・銅価格・急落後の反発確認
5802.T,住友電工,AIデータセンター・電力ケーブル・光通信,公式資料確認,"公式決算短信で、生成AI市場拡大を背景にデータセンター向け光配線製品・光ケーブル・光デバイス需要が増加、情報通信関連事業の売上高326,632百万円(+46.3%)、営業利益77,435百万円(+57,509百万円)を確認。環境エネルギー関連事業でも電力ケーブル・受変電設備需要により売上高1,178,780百万円(+9.0%)を確認。",住友電気工業 2026年3月期決算短信,公式テーマ接続は補助使用可。ただし決算後反応と価格過熱確認が未完了のため、単独の買付根拠にはしない。,決算後1日/5日/20営業日反応、分割前後のPER/PBR、データセンター需要の継続を確認。
7012.T,川崎重工業,防衛・エネルギー・ロボット,公式資料確認,公式決算短信で、航空宇宙システムは防衛省向け・民間航空機向けで増収増益、エネルギーソリューション&マリンはLNG基地大型増強工事等を受注、精密機械・ロボットでは半導体製造装置向けロボット増加を確認。,川崎重工業 2026年3月期決算短信,公式テーマ接続は補助使用可。ただし価格未取得、イベント反応未接続、不正事案の継続確認が残るため、買付根拠にはしない。,現在株価、決算後反応、コンプライアンス事案、受注残・セグメント利益の継続を確認。
2802.T,味の素,食品・ABF・ヘルスケア,公式資料確認,売上収益+3.5%、事業利益+13.7%、ROE17.7%、FY2027会社予想で売上・事業利益増を公式資料で確認。食品安定性とABF/ヘルスケア成長を補助根拠化。,味の素 2026年3月期決算短信・決算説明資料（2026/5/7）,高PERとイベント後軽微マイナスが残るため、上昇主力ではなく分散枠。決算・価格条件が崩れたら減額する。,ABF、ヘルスケア、原材料コスト、価格改定、当日価格を確認。
8766.T,東京海上HD,保険・金利・資本政策,公式資料確認,公式決算で経常収益+5.1%、年間配当+26.7%、自己資本比率17.0%を確認。一方、経常利益-7.6%、親会社株主帰属当期純利益-7.1%、営業CF-56.6%で、直近実績は強弱混在。,東京海上HD 2025年度期末 決算短信・決算説明資料,保険・金利テーマの監視根拠として使う。決算後反応が弱いため、通常Aへの昇格根拠にはしない。,金利、保険セクター指数、自然災害損害、資本政策、次回決算後反応を確認。
6367.T,ダイキン工業,空調・冷却・AIデータセンター周辺需要,公式資料確認,公式決算で売上高+5.5%、営業利益+3.3%、EPS+3.9%、自己資本比率55.9%を確認。AIデータセンター冷却需要は構造テーマだが、全社利益への寄与率は未分離。,ダイキン工業 2026年3月期 決算短信・決算説明資料,冷却テーマの監視根拠として使う。決算後20営業日反応が通常A水準未達のため、この材料だけで買付候補に上げない。,データセンター向け冷却需要、地域別採算、為替、次回決算後反応を確認。
6981.T,村田製作所,AIサーバー・MLCC・車載電子部品,公式財務確認＋公式事業記述確認,公式決算で、AIサーバーおよび周辺機器によりデータセンター関連需要が拡大し、サーバー向けMLCC、インダクタ、EMI除去フィルタが増加したことを確認。FY2027会社予想でも営業利益+34.8%を確認。,村田製作所 2026年3月期決算短信 2026-04-30,AI需要を単独で加点しない。MLCC・サーバー・車載の売上/利益、価格下落、為替、決算後反応と合わせて使う。,MLCC価格、サーバー/車載需要、FY2027進捗、指数比を更新。
6954.T,ファナック,FA・ロボット・フィジカルAI周辺,公式財務確認＋設備投資循環確認,2026年3月期で売上+7.6%、営業利益+15.7%、営業利益率21.4%、自己資本比率89.2%を確認。FA・ロボット需要に対する財務耐性と利益率を確認。,ファナック 2026年3月期決算短信 2026-04-24,フィジカルAIという言葉だけで買付根拠にしない。工作機械受注、設備投資循環、中国需要、為替、イベント後反応と併用する。,工作機械受注、ロボット需要、地域別需要、指数比を更新。
9433.T,KDDI,通信インフラ・AIデータ基盤・低遅延網,公式財務確認＋公式中期戦略確認,公式決算で売上+4.1%、純利益+7.9%、ROE14.0%を確認。中期経営戦略でAI前提社会の土台、全国低遅延網、AI計算資源基盤、3年1.2兆円規模の投資方針を確認。,KDDI 2026年3月期決算短信・決算説明会資料（中期経営戦略）,通信安定枠として扱う。AIデータ基盤は補助材料であり、自己株TOB、金融子会社上場準備、ガバナンス関連開示、旧イベント履歴を別枠で確認する。,中期戦略の進捗、通信/金融セグメント、ガバナンス関連開示、指数比を更新。
2503.T,キリンHD,食品・飲料・ヘルスサイエンス・価格改定,公式四半期決算確認,2026年12月期第1四半期で売上収益+5.0%、事業利益+37.7%、親会社所有者帰属四半期利益+11.3%を確認。守り寄りの消費・ヘルスケア補完枠として確認。,キリンHD 2026年12月期第1四半期決算短信,第1四半期の確認であり、通期のROE/PBR・原材料コスト・価格改定効果を補完して使う。守り枠候補であって高成長枠ではない。,通期進捗、ROE/PBR、原材料コスト、ヘルスサイエンス寄与、価格改定効果を更新。
6971.T,京セラ,半導体関連部品・AIデータセンター・半導体製造装置用部品,公式実績層,"公式資料で、半導体関連部品売上379,432百万円(+16.0%)、同税引前利益46,933百万円、情報通信関連市場向けセラミックパッケージ、データセンター向け有機パッケージ、半導体製造装置用部品の販売増を確認。2027年3月期の前提としてAI関連投資の加速も記載。",京セラ 2026年3月期 決算説明会資料 2026-04-30、訂正版 2026-05-08,質的材料単独では買付根拠にしない。イベント後20営業日で日経平均比+25.99%を確認したため、公式根拠+市場反応の組み合わせとして通常購入ゲートへ再投入する。,PBR/BPS、原材料価格、半導体関連部品の翌期継続性、AIデータセンター向け需要、悪材料開示を注文前に確認。
8411.T,みずほFG,銀行・金利・株主還元,公式資料確認,経常利益+34.6%、純利益+41.0%、ROE11.4%、増配予想を公式決算短信で確認。金利上昇局面の銀行候補として補助根拠化。,みずほフィナンシャルグループ 2026年3月期決算短信（2026/5/15）,金利上昇だけで買付根拠にしない。イベント反応はA未達に近い中立扱いとして、購入時は指数・銀行セクター・信用コストを確認する。,日銀政策、10年国債利回り、銀行セクター指数、信用コスト、当日価格を確認。
9983.T,ファーストリテイリング,消費・海外成長・円安/円高感応,公式資料確認,売上+9.6%、営業利益+12.6%、ROE20.2%、自己資本比率58.9%を公式決算で確認。海外成長とブランド力を質的補助根拠化。,"FAST RETAILING CO., LTD. Consolidated Financial Results for FY2025（2025/10/9）",指数超過の強いイベント根拠ではない。購入する場合は分散枠として、月次売上と為替を確認する。,月次売上、為替、消費関連指数、直近ニュース、当日価格を確認。
3407.T,旭化成,ヘルスケア・住宅・素材・電子材料,公式資料確認,営業利益+9.1%、純利益+17.6%、EPS+19.4%、増配を公式決算説明資料で確認。複数事業による分散耐性を質的補助根拠化。,旭化成 2025年度決算説明資料（2026/5/12）,テーマ株のような急成長根拠ではない。分散・安定補助として扱い、素材市況悪化時は減額する。,素材市況、医薬/クリティカルケア寄与、為替、当日価格を確認。
4063.T,信越化学工業,半導体材料・化学・構造優位,公式資料確認,営業利益率24.7%、ROE10.4%を公式決算で確認。ただし営業利益・純利益は前年比マイナス。,Shin-Etsu Chemical Consolidated Financial Results for FY2026（2026/4/28）,財務の質は高いが、通常購入枠ではなく監視枠。半導体材料の需要回復と株価下落耐性改善を確認してから再判定。,半導体材料市況、塩ビ/シリコーン市況、最大下落率、当日価格を確認。
5020.T,ENEOS HD,資源・エネルギー・供給網・原油調達,公式資料確認,公式資料で原油調達先多様化、ホルムズ海峡非経由調達、国家備蓄活用、機動的輸入、生産振替、海外事業・トレーディング拡大、還元方針を確認。中東・原油イベントに対する供給網対応を質的根拠化。,ENEOSグループ 2025年度決算および2026年度業績見通し（2026/5/14）,原油価格・マージン・中東情勢の影響が大きい。イベント後反応は弱いため、通常10社に入れても比率は抑える。,原油価格、精製マージン、中東情勢、為替、当日価格、悪材料開示を確認。
5019.T,出光興産,資源・エネルギー・ナフサ/原油・還元,公式資料確認,公式資料で営業利益+30.8%、在庫影響除き営業+持分+13.7%、ROE10.6%、配当36円、総還元性向50%以上、原油・ナフサ調達、中東情勢と原油価格の影響を確認。,出光興産 2025年度決算説明資料（2026/5/12）,原油価格下落・タイムラグが利益に逆風。イベント後反応は弱いため、通常10社に入れても比率は抑える。,ドバイ原油価格、ナフサ/精製マージン、為替、タイムラグ影響、当日価格を確認。
