universe_rank,updated_at,ticker,company,sector,theme,universe_reason
64,2026/05/21 13:29,4519.T,中外製薬,医薬品,医薬・ロシュ連携,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
65,2026/05/21 13:29,4568.T,第一三共,医薬品,がん領域,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
66,2026/05/21 13:29,4503.T,アステラス製薬,医薬品,医薬・パイプライン,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
67,2026/05/21 13:29,4502.T,武田薬品,医薬品,大型医薬・配当,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
68,2026/05/21 13:29,4523.T,エーザイ,医薬品,認知症薬,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
69,2026/05/21 13:29,4543.T,テルモ,医療機器,医療機器,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
70,2026/05/21 13:29,6869.T,シスメックス,医療機器,検査機器,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
71,2026/05/21 13:29,2802.T,味の素,食品,食品・ヘルスケア,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
72,2026/05/21 13:29,2801.T,キッコーマン,食品,海外食品,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
73,2026/05/21 13:29,2502.T,アサヒGHD,飲料,酒類・海外,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
74,2026/05/21 13:29,2503.T,キリンHD,飲料,飲料・医薬,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
75,2026/05/21 13:29,4452.T,花王,生活必需品,日用品・値上げ,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
76,2026/05/21 13:29,4911.T,資生堂,化粧品,中国・免税,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
77,2026/05/21 13:29,8113.T,ユニ・チャーム,生活必需品,アジア・衛生用品,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
78,2026/05/21 13:29,9843.T,ニトリHD,小売,家具・円高メリット,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
79,2026/05/21 13:29,7532.T,パン・パシフィック,小売,ディスカウント・インバウンド,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
80,2026/05/21 13:29,4661.T,オリエンタルランド,レジャー,テーマパーク,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
81,2026/05/21 13:29,2413.T,エムスリー,医療IT,医療DX,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
82,2026/05/21 13:29,4689.T,LINEヤフー,ネット,広告・EC,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
83,2026/05/21 13:29,4755.T,楽天グループ,ネット/通信,EC・金融・通信,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
84,2026/05/21 13:29,4751.T,サイバーエージェント,ネット広告,広告・ゲーム,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
85,2026/05/21 13:29,4385.T,メルカリ,ネット,フリマ・FinTech,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
86,2026/05/21 13:29,2432.T,ディー・エヌ・エー,ゲーム/IT,ゲーム・スポーツ,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
87,2026/05/21 13:29,7832.T,バンダイナムコHD,ゲーム/IP,IP・ゲーム,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
88,2026/05/21 13:29,9766.T,コナミグループ,ゲーム/IP,ゲーム・スポーツ,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
89,2026/05/21 13:29,9697.T,カプコン,ゲーム,ゲームIP,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
90,2026/05/21 13:29,3659.T,ネクソン,ゲーム,オンラインゲーム,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
91,2026/05/21 13:29,1925.T,大和ハウス工業,住宅/建設,住宅・物流施設,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
92,2026/05/21 13:29,1801.T,大成建設,建設,インフラ・防災,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
93,2026/05/21 13:29,1802.T,大林組,建設,インフラ・防災,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
94,2026/05/21 13:29,1803.T,清水建設,建設,インフラ・防災,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
95,2026/05/21 13:29,1812.T,鹿島,建設,インフラ・防災,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
96,2026/05/21 13:29,9020.T,JR東日本,鉄道,交通・インバウンド,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
97,2026/05/21 13:29,9022.T,JR東海,鉄道,新幹線・リニア,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
98,2026/05/21 13:29,9021.T,JR西日本,鉄道,交通・インバウンド,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
99,2026/05/21 13:29,9202.T,ANA HD,空運,旅行・インバウンド,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
100,2026/05/21 13:29,3092.T,ZOZO,EC,アパレルEC,大型・中堅の主要企業、時流テーマ、NISA 1年保有テストの比較対象を混ぜた一次母集団
