ticker,name,updated_at,source,period,official_values_confirmed,market_derived_items,gate_change,remaining_checks
6367.T,ダイキン工業,2026-06-22,ダイキン工業 2026年3月期 決算短信 data/official_ir_pdfs/6367_T_5_決算短信.pdf、決算説明資料 data/official_ir_pdfs/6367_T_6_決算説明資料.pdf,2026年3月期,"売上高5,015,036百万円（+5.5%）、営業利益414,991百万円（+3.3%）、親会社株主帰属当期純利益275,229百万円（+4.0%）、EPS939.92円（+3.9%）、自己資本比率55.9%（+1.3pt）、営業CF465,848百万円（-9.4%）、年間配当340円（+3.0%）、2027年3月期会社予想売上高5,150,000百万円（+2.7%）をPDF本文照合済み。",PER/PBRは注文前の株価基準日で再計算。空調・冷却需要はテーマ根拠だが、DC需要寄与率は別途確認。,文字化けしていた公式財務根拠を修正。financial_status pass 候補として整理。,決算後20営業日反応は通常A水準未達。AIデータセンター冷却需要の売上寄与、地域別採算、為替影響を継続確認。
2802.T,味の素,2026-06-22,味の素 2026年3月期決算短信・決算説明資料（2026/5/7）,2026年3月期,"売上収益1,583,719百万円(+3.5%)、事業利益181,163百万円(+13.7%)、親会社所有者帰属当期利益134,675百万円(+91.6%)、EPS138.36円、ROE17.7%、BPS804.24円、営業CF239,351百万円、FY2027会社予想は売上収益1,723,000百万円(+8.8%)、事業利益197,000百万円(+8.7%)を確認。",PER/PBRは株価基準日で再計算。ABF、ヘルスケア、価格改定、原材料コストを注文前に確認。,文字化けしていた公式財務根拠を修正し、financial_status pass 根拠として整理,イベント後20営業日反応は-4.15%で軽微注意。高PER説明、ABF/ヘルスケア成長の継続、原材料コストを確認。
6981.T,村田製作所,2026-06-22,村田製作所 2026年3月期決算短信〔IFRS〕 2026-04-30,2026年3月期,"売上収益1,830,856百万円(+5.0%)・営業利益281,835百万円(+0.8%)・税引前利益308,643百万円(+1.4%)・親会社所有者帰属当期利益233,920百万円(+0.0%)・EPS127.66円・ROE8.8%・営業利益率15.4%・BPS1,493.58円・親会社所有者帰属持分比率85.0%・営業CF425,222百万円・FY2027会社予想売上+7.1%/営業利益+34.8%/EPS160.96円を確認",PER/PBRは注文前の株価基準で再計算。公式EPS/BPS/ROEは確認済み。電子部品サイクルと為替感応は別途確認。,financial_status 補助 から pass 候補へ更新,MLCC・サーバー・車載向け需要の継続、価格下落、為替、指数比を継続確認。
6954.T,ファナック,2026-06-22,ファナック 2026年3月期決算短信〔日本基準〕 2026-04-24,2026年3月期,"売上高857,831百万円(+7.6%)・営業利益183,763百万円(+15.7%)・経常利益227,485百万円(+15.6%)・親会社株主帰属当期純利益166,543百万円(+12.9%)・EPS178.47円・ROE9.3%・営業利益率21.4%・自己資本比率89.2%・BPS1,998.45円・営業CF250,896百万円・FY2027会社予想売上+6.0%/営業利益+15.5%/EPS198.14円を確認",PER/PBRは注文前の株価基準で再計算。公式EPS/BPS/ROEは確認済み。設備投資循環・中国需要・為替感応は別途確認。,financial_status 補助 から pass 候補へ更新,FA・ロボット需要、工作機械受注、設備投資サイクル、指数比を継続確認。
9433.T,KDDI,2026-06-22,KDDI 2026年3月期決算短信〔IFRS〕・決算説明会資料・中期経営戦略 2026-05-12,2026年3月期,"売上高6,071,915百万円(+4.1%)・営業利益1,099,125百万円(+1.1%)・税引前利益1,117,904百万円(+4.1%)・親会社所有者帰属当期利益707,112百万円(+7.9%)・EPS183.59円・ROE14.0%・BPS1,333.50円・親会社所有者帰属持分比率26.6%・営業CF1,788,853百万円・FY2027会社予想売上+5.6%/調整後営業利益+5.0%/EPS196.29円を確認",PER/PBRは注文前の株価基準で再計算。公式EPS/BPS/ROEは確認済み。自己株TOB・金融子会社上場準備・改善報告書関連は別枠で確認。,financial_status 補助 から pass 候補へ更新,通信の安定性、AIデータ基盤投資、ガバナンス関連開示、旧イベント履歴を継続確認。
2503.T,キリンHD,2026-06-22,キリンHD 2026年12月期第1四半期決算短信〔IFRS〕 2026-05-14,2026年12月期第1四半期,"売上収益573,033百万円(+5.0%)・事業利益49,992百万円(+37.7%)・税引前利益50,344百万円(+31.6%)・親会社所有者帰属四半期利益27,078百万円(+11.3%)・EPS33.46円・親会社所有者帰属持分比率38.7%・FY2026会社予想売上+1.9%/事業利益-6.7%/親会社所有者帰属利益+5.7%/EPS193.00円・配当予想76円を確認",PERはFY2026会社予想EPSと注文前株価で再計算。PBR/ROEは通期資料または証券会社画面で補完し、初回は条件付き扱い。,financial_status 補助/注意 から pass候補へ更新,通期のROE/PBR、医薬・ヘルスサイエンス寄与、価格改定効果、原材料コストを継続確認。
6971.T,京セラ,2026-06-22,京セラ 2026年3月期 決算説明会資料 2026-04-30、訂正版 2026-05-08（TDnet/Yahoo開示PDF）,2026年3月期,"売上高2,070,203百万円(+2.8%)・営業利益168,994百万円(+165.6%)・税引前利益140,969百万円(+485.0%)・親会社所有者帰属当期利益118,138百万円(+332.8%)・EPS102.70円・ROE4.3%・年間配当52円・配当性向50.6%・自己株式取得2,000億円完了を確認。半導体関連部品売上379,432百万円(+16.0%)、同税引前利益46,933百万円へ改善。",2026-05-08基準株価2814.5円とEPS102.70円ではPER約27.4倍の参考値。PBR/BPSは公式短信または証券会社画面で注文前再確認。,financial_layer 不足 から pass候補へ更新。PBR未確定のため、注文前チェックにPBR/BPS再確認を残す。,一時損益の影響が大きいため、利益成長だけを買付根拠にしない。PBR/BPS、半導体関連部品の継続性、原材料価格、AIデータセンター向け需要、指数比を継続確認。
8411.T,みずほFG,2026-06-22,みずほフィナンシャルグループ 2026年3月期決算短信（2026/5/15）,2026年3月期,"経常収益9,085,438百万円(+0.6%)、経常利益1,573,159百万円(+34.6%)、親会社株主帰属当期純利益1,248,632百万円(+41.0%)、EPS502.92円、ROE11.4%、年間配当145円、翌期配当予想150円を確認。",PER/PBRは株価基準日で再計算。銀行株のため自己資本比率・信用コスト・日銀政策後反応を注文前に確認。,financial_status 不足 から pass 候補へ更新,イベント後20営業日反応は+1.91%でA条件(+2%)にわずかに未達。銀行セクター全体、信用コスト、長期金利を注文前に確認。
9983.T,ファーストリテイリング,2026-06-22,"FAST RETAILING CO., LTD. Consolidated Financial Results for FY2025（2025/10/9）",2025年8月期,"Revenue 3,400,539百万円(+9.6%)、Business profit 551,156百万円(+13.6%)、Operating profit 564,265百万円(+12.6%)、Profit attributable to owners 433,009百万円(+16.4%)、EPS1,411.44円、ROE20.2%、Equity ratio 58.9%、年間配当500円を確認。",PER/PBRは株価基準日で再計算。小売・海外売上・為替影響を注文前に確認。,financial_status 不足 から pass 候補へ更新,イベント後20営業日反応は-1.45%で大きな反証ではないが、A条件ではない。月次売上、為替、消費環境を確認。
3407.T,旭化成,2026-06-22,旭化成 2025年度決算説明資料（2026/5/12）,2025年度,"売上高30,745億円(+1.2%)、営業利益2,312億円(+9.1%)、売上高営業利益率7.5%、親会社株主帰属当期純利益1,588億円(+17.6%)、EPS116.97円、年間配当42円、2026年度配当予想44円を確認。",PER/PBRは株価基準日で再計算。医薬・クリティカルケア・エレクトロニクス・住宅の寄与を継続確認。,financial_status 不足 から pass 候補へ更新,イベント後20営業日反応は-0.54%で中立。素材市況、為替、医薬/ヘルスケア寄与を注文前に確認。
4063.T,信越化学工業,2026-06-22,Shin-Etsu Chemical Consolidated Financial Results for FY2026（2026/4/28）,2026年3月期,"Net sales 2,573,969百万円(+0.5%)、Operating income 635,204百万円(-14.4%)、Ordinary income 708,281百万円(-13.7%)、Net income attributable to owners 474,459百万円(-11.2%)、EPS252.69円、ROE10.4%、営業利益率24.7%を確認。",PER/PBRは株価基準日で再計算。半導体材料・塩ビ・シリコーンの市況回復を注文前に確認。,financial_status 不足 から pass 候補へ更新。ただし通常購入10社には未採用,財務は強いが直近期は減益、5年最大下落が大きく通常枠には届きにくい。監視枠で継続。
5020.T,ENEOS HD,2026-06-22,ENEOSグループ 2025年度決算および2026年度業績見通し（2026/5/14）,2025年度/2026年度見通し,"原油調達先の多様化、ホルムズ海峡を経由しない調達、国家備蓄原油活用、機動的な製品輸入、生産振替などの安定供給策を確認。海外事業・トレーディング拡大、営業利益+1,100億円、キャッシュフロー+2,500億円の改善目標、1株配当34円、総還元性向50%以上、在庫影響除き当期利益2,642億円+4,000億円を確認。",PER/PBRは株価基準日で再計算。原油価格、精製マージン、為替、中東情勢、JX金属関連の影響を注文前に確認。,financial_status 不足 から pass 候補へ更新,イベント後20営業日反応は-9.56%で弱い。強反証基準には届かないが、通常枠に入れる場合は小さめ・当日価格確認が必要。
5019.T,出光興産,2026-06-22,出光興産 2025年度決算説明資料（2026/5/12）,2025年度/2026年度見通し,"売上高81,059億円(-11.8%)、営業利益2,122億円(+30.8%)、営業+持分2,147億円(+16.2%)、在庫影響除き営業+持分2,441億円(+13.7%)、経常利益2,296億円(+6.9%)、当期純利益1,719億円(+65.2%)、在庫影響除き当期純利益1,923億円(+54.1%)、ROE10.6%、配当36円、総還元性向50%以上を確認。",PER/PBRは株価基準日で再計算。原油価格、石炭価格、為替、タイムラグ影響、国内マージンを注文前に確認。,financial_status 不足 から pass 候補へ更新,イベント後20営業日反応は-8.21%で弱い。原油下落時のマイナスタイムラグが明記されているため小さめに扱う。
