updated_at,ticker,company,sector,theme,usefulness_level,primary_purpose,latest_period,latest_release_date,latest_sales,latest_sales_yoy_pct,latest_operating_profit,latest_operating_profit_yoy_pct,latest_eps,latest_eps_yoy_pct,prior_period,prior_release_date,prior_sales_yoy_pct,prior_operating_profit_yoy_pct,prior_eps_yoy_pct,forecast_revision_sales_pct,forecast_revision_profit_pct,source_url_primary,source_url_secondary,input_status,proxy_data_status,notes
2026/05/22 13:56,8725.T,MS&AD,保険,金利上昇・保険運用,A 詳細確認,NISA 1年保有,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,Yahoo業績データあり,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,8035.T,東京エレクトロン,半導体装置,半導体サイクル,A 詳細確認,時流テーマ,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,Yahoo業績データあり,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,6857.T,アドバンテスト,半導体装置,AI半導体検査,A 詳細確認,時流テーマ,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,Yahoo業績データあり,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,6146.T,ディスコ,半導体装置,切断・研削装置,A 詳細確認,時流テーマ,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,Yahoo業績データあり,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,6098.T,リクルートHD,人材/IT,求人・HRテック,B 観察継続,補助比較,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,Yahoo業績データあり,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,6503.T,三菱電機,総合電機,電力制御・FA,B 観察継続,時流テーマ,,,,,,,,,,,,,,,,https://www.mitsubishielectric.co.jp/ir/library/results/,https://www.mitsubishielectric.co.jp/ir/,未入力（公式資料確認待ち）,Yahoo業績データあり,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,6981.T,村田製作所,電子部品,MLCC・スマホ/車載,B 観察継続,時流テーマ,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,Yahoo業績データあり,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,6367.T,ダイキン工業,空調,データセンター冷却・空調,B 観察継続,時流テーマ,,,,,,,,,,,,,,,,https://www.daikin.co.jp/investor,https://www.daikin.co.jp/investor/library,未入力（公式資料確認待ち）,Yahoo業績データあり,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,9434.T,ソフトバンク,通信,通信・配当,B 観察継続,NISA 1年保有,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,Yahoo業績データあり,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,6971.T,京セラ,電子部品,部品・通信,B 観察継続,補助比較,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,Yahoo業績データあり,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,6645.T,オムロン,制御機器,FA・ヘルスケア,B 観察継続,テンバガー探索,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,Yahoo業績データあり,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,6501.T,日立製作所,総合電機,電力・DX・インフラ,B 観察継続,時流テーマ,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,Yahoo業績データあり,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,6702.T,富士通,IT,DX・AI・サービス,B 観察継続,時流テーマ,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,Yahoo業績データあり,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,6954.T,ファナック,FA,ロボット・工作機械,B 観察継続,時流テーマ,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,Yahoo業績データあり,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,6902.T,デンソー,自動車部品,車載・電動化,B 観察継続,景気・マクロ感応,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,Yahoo業績データあり,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,6861.T,キーエンス,FA,高収益・自動化,B 観察継続,指数比較・大型代表,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,Yahoo業績データあり,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,7011.T,三菱重工,重工/防衛,防衛・電力・宇宙,B 観察継続,時流テーマ,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,Yahoo業績データあり,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,6594.T,ニデック,モーター,EV・精密モーター,B 観察継続,テンバガー探索,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,Yahoo業績データあり,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,7269.T,スズキ,自動車,インド・小型車,B 観察継続,景気・マクロ感応,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,Yahoo業績データあり,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,6701.T,NEC,IT/防衛,AI・官公庁・防衛,B 観察継続,時流テーマ,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,Yahoo業績データあり,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,9433.T,KDDI,通信,守り・通信インフラ,B 観察継続,NISA 1年保有,,,,,,,,,,,,,,,,https://www.kddi.com/corporate/ir/ir-library/earning/,https://www.kddi.com/corporate/ir/,未入力（公式資料確認待ち）,Yahoo業績データあり,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,7013.T,IHI,重工/防衛,航空・防衛,B 観察継続,テンバガー探索,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,Yahoo業績データあり,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,8058.T,三菱商事,商社,資源・還元,D 低優先・比較のみ,景気・マクロ感応,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,代理データ不足,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,8031.T,三井物産,商社,資源・還元,B 観察継続,景気・マクロ感応,,,,,,,,,,,,,,,,https://www.mitsui.com/jp/ja/ir/library/meeting/index.html,https://www.mitsui.com/jp/ja/ir/,未入力（公式資料確認待ち）,Yahoo業績データあり,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,9432.T,NTT,通信,守り・通信インフラ,B 観察継続,NISA 1年保有,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,Yahoo業績データあり,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,6301.T,コマツ,建機,資源・インフラ,B 観察継続,景気・マクロ感応,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,Yahoo業績データあり,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,8001.T,伊藤忠商事,商社,資源・非資源,B 観察継続,景気・マクロ感応,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,Yahoo業績データあり,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,6758.T,ソニーグループ,エンタメ/半導体,ゲーム・音楽・画像センサー,B 観察継続,指数比較・大型代表,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,Yahoo業績データあり,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,5108.T,ブリヂストン,タイヤ,タイヤ・価格転嫁,B 観察継続,NISA 1年保有,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,Yahoo業績データあり,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,7974.T,任天堂,ゲーム,新ハード・IP,B 観察継続,指数比較・大型代表,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,Yahoo業績データあり,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,6273.T,SMC,FA,空圧機器・自動化,B 観察継続,時流テーマ,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,Yahoo業績データあり,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,6326.T,クボタ,機械,農機・水インフラ,B 観察継続,景気・マクロ感応,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,Yahoo業績データあり,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,7202.T,いすゞ自動車,商用車,商用車・新興国,B 観察継続,景気・マクロ感応,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,Yahoo業績データあり,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,7203.T,トヨタ自動車,自動車,世界販売・円安・HV/EV,B 観察継続,景気・マクロ感応,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,Yahoo業績データあり,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,6526.T,ソシオネクスト,半導体,ASIC・AI半導体,B 観察継続,テンバガー探索,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,Yahoo業績データあり,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,6201.T,豊田自動織機,機械/車載,物流・車載,B 観察継続,景気・マクロ感応,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,Yahoo業績データあり,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,7267.T,ホンダ,自動車,二輪・自動車,B 観察継続,景気・マクロ感応,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,Yahoo業績データあり,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,7270.T,SUBARU,自動車,米国販売,B 観察継続,景気・マクロ感応,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,Yahoo業績データあり,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,6723.T,ルネサス,半導体,車載・産業半導体,B 観察継続,時流テーマ,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,Yahoo業績データあり,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,2802.T,味の素,食品,食品・ヘルスケア,C データ補完後に判定,NISA 1年保有,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,代理データ不足,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,4063.T,信越化学工業,化学,半導体材料・塩ビ,C データ補完後に判定,時流テーマ,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,代理データ不足,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,4385.T,メルカリ,ネット,フリマ・FinTech,C データ補完後に判定,テンバガー探索,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,代理データ不足,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,8053.T,住友商事,商社,資源・非資源,D 低優先・比較のみ,景気・マクロ感応,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,代理データ不足,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,1605.T,INPEX,エネルギー,原油・ガス,D 低優先・比較のみ,景気・マクロ感応,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,代理データ不足,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,4005.T,住友化学,化学,石化・農薬,D 低優先・比較のみ,景気・マクロ感応,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,代理データ不足,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,2503.T,キリンHD,飲料,飲料・医薬,C データ補完後に判定,NISA 1年保有,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,代理データ不足,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,8002.T,丸紅,商社,資源・電力,D 低優先・比較のみ,景気・マクロ感応,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,代理データ不足,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,5020.T,ENEOS HD,エネルギー,原油・精製,D 低優先・比較のみ,景気・マクロ感応,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,代理データ不足,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,5019.T,出光興産,エネルギー,原油・化学,D 低優先・比較のみ,景気・マクロ感応,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,代理データ不足,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,3407.T,旭化成,素材/住宅,素材・住宅,C データ補完後に判定,時流テーマ,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,代理データ不足,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,4503.T,アステラス製薬,医薬品,医薬・パイプライン,D 低優先・比較のみ,補助比較,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,代理データ不足,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,4911.T,資生堂,化粧品,中国・免税,D 低優先・比較のみ,景気・マクロ感応,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,代理データ不足,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,4543.T,テルモ,医療機器,医療機器,C データ補完後に判定,時流テーマ,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,代理データ不足,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,1812.T,鹿島,建設,インフラ・防災,D 低優先・比較のみ,景気・マクロ感応,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,代理データ不足,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,4188.T,三菱ケミカルG,化学,素材・石化,D 低優先・比較のみ,景気・マクロ感応,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,代理データ不足,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,4502.T,武田薬品,医薬品,大型医薬・配当,C データ補完後に判定,NISA 1年保有,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,代理データ不足,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,3402.T,東レ,素材,炭素繊維・繊維,C データ補完後に判定,時流テーマ,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,代理データ不足,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,2801.T,キッコーマン,食品,海外食品,C データ補完後に判定,NISA 1年保有,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,代理データ不足,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,2432.T,ディー・エヌ・エー,ゲーム/IT,ゲーム・スポーツ,C データ補完後に判定,テンバガー探索,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,代理データ不足,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,9766.T,コナミグループ,ゲーム/IP,ゲーム・スポーツ,D 低優先・比較のみ,補助比較,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,代理データ不足,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,4523.T,エーザイ,医薬品,認知症薬,D 低優先・比較のみ,補助比較,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,代理データ不足,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,1802.T,大林組,建設,インフラ・防災,D 低優先・比較のみ,景気・マクロ感応,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,代理データ不足,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,1803.T,清水建設,建設,インフラ・防災,D 低優先・比較のみ,景気・マクロ感応,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,代理データ不足,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,9020.T,JR東日本,鉄道,交通・インバウンド,D 低優先・比較のみ,景気・マクロ感応,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,代理データ不足,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,4755.T,楽天グループ,ネット/通信,EC・金融・通信,C データ補完後に判定,テンバガー探索,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,代理データ不足,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,1801.T,大成建設,建設,インフラ・防災,D 低優先・比較のみ,景気・マクロ感応,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,代理データ不足,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,6869.T,シスメックス,医療機器,検査機器,C データ補完後に判定,NISA 1年保有,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,代理データ不足,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,4689.T,LINEヤフー,ネット,広告・EC,C データ補完後に判定,テンバガー探索,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,代理データ不足,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,4751.T,サイバーエージェント,ネット広告,広告・ゲーム,C データ補完後に判定,テンバガー探索,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,代理データ不足,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,9697.T,カプコン,ゲーム,ゲームIP,D 低優先・比較のみ,補助比較,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,代理データ不足,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,4661.T,オリエンタルランド,レジャー,テーマパーク,D 低優先・比較のみ,景気・マクロ感応,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,代理データ不足,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,4568.T,第一三共,医薬品,がん領域,C データ補完後に判定,NISA 1年保有,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,代理データ不足,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,2502.T,アサヒGHD,飲料,酒類・海外,C データ補完後に判定,NISA 1年保有,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,代理データ不足,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,4452.T,花王,生活必需品,日用品・値上げ,C データ補完後に判定,NISA 1年保有,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,代理データ不足,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,8113.T,ユニ・チャーム,生活必需品,アジア・衛生用品,C データ補完後に判定,NISA 1年保有,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,代理データ不足,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,7532.T,パン・パシフィック,小売,ディスカウント・インバウンド,C データ補完後に判定,NISA 1年保有,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,代理データ不足,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,2413.T,エムスリー,医療IT,医療DX,C データ補完後に判定,テンバガー探索,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,代理データ不足,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,7832.T,バンダイナムコHD,ゲーム/IP,IP・ゲーム,D 低優先・比較のみ,補助比較,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,代理データ不足,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,1925.T,大和ハウス工業,住宅/建設,住宅・物流施設,C データ補完後に判定,NISA 1年保有,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,代理データ不足,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,9021.T,JR西日本,鉄道,交通・インバウンド,D 低優先・比較のみ,景気・マクロ感応,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,代理データ不足,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,9202.T,ANA HD,空運,旅行・インバウンド,D 低優先・比較のみ,景気・マクロ感応,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,代理データ不足,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,3092.T,ZOZO,EC,アパレルEC,C データ補完後に判定,テンバガー探索,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,代理データ不足,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,4519.T,中外製薬,医薬品,医薬・ロシュ連携,C データ補完後に判定,NISA 1年保有,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,代理データ不足,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,9022.T,JR東海,鉄道,新幹線・リニア,D 低優先・比較のみ,景気・マクロ感応,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,代理データ不足,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,9843.T,ニトリHD,小売,家具・円高メリット,C データ補完後に判定,NISA 1年保有,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,代理データ不足,公式資料から入力する欄。推測値は入れない。
2026/05/22 13:56,3659.T,ネクソン,ゲーム,オンラインゲーム,C データ補完後に判定,テンバガー探索,,,,,,,,,,,,,,,,,,未入力（公式資料確認待ち）,代理データ不足,公式資料から入力する欄。推測値は入れない。
