rank,ticker,company,theme_id,theme_name,qualitative_score,nisa_connected,nisa_score,nisa_category,data_confidence,hard_gate,universe_level,quote_status,performance_status,chart_status,bridge_status,bridge_reason,next_action
11,8766.T,東京海上HD,RATE_BANK,金利上昇・銀行保険,78.9,未接続,,,,,A 詳細確認,取得,取得,取得,母集団内・NISA点未計算,100社母集団には存在。現在の位置づけ=A 詳細確認、株価=取得、業績=取得。,NISA 1年保有スコアへ接続し、PER/PBR/ROE・決算反応・下落耐性を計算
12,6501.T,日立製作所,DEFENSE_POLICY,防衛・安全保障,77.7,接続済み,53.5,保留,60,決算後反応未取得 / データ信頼度70未満,B 観察継続,取得,取得,取得,数値確認中,NISA 1年保有スコアは接続済み。ただし分類=保留、ゲート=決算後反応未取得 / データ信頼度70未満。,未取得データ、過熱、下落耐性、決算後反応の改善を確認するまで購入候補にしない。
13,8058.T,三菱商事,YEN_RESOURCE,円安・資源・商社,77.4,未接続,,,,,D 低優先・比較のみ,取得,取得失敗: HTTP 500,取得,母集団内・NISA点未計算,100社母集団には存在。現在の位置づけ=D 低優先・比較のみ、株価=取得、業績=取得失敗: HTTP 500。,NISA 1年保有スコアへ接続し、PER/PBR/ROE・決算反応・下落耐性を計算
14,8001.T,伊藤忠商事,YEN_RESOURCE,円安・資源・商社,76.6,未接続,,,,,B 観察継続,取得,取得,取得,母集団内・NISA点未計算,100社母集団には存在。現在の位置づけ=B 観察継続、株価=取得、業績=取得。,NISA 1年保有スコアへ接続し、PER/PBR/ROE・決算反応・下落耐性を計算
15,8031.T,三井物産,YEN_RESOURCE,円安・資源・商社,76.1,未接続,,,,,B 観察継続,取得,取得,取得,母集団内・NISA点未計算,100社母集団には存在。現在の位置づけ=B 観察継続、株価=取得、業績=取得。,NISA 1年保有スコアへ接続し、PER/PBR/ROE・決算反応・下落耐性を計算
16,2802.T,味の素,PRICE_PASS,物価高・価格転嫁力,74.7,接続済み,61.3,保留,25,決算後反応未取得 / データ信頼度70未満,C データ補完後に判定,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,数値確認中,NISA 1年保有スコアは接続済み。ただし分類=保留、ゲート=決算後反応未取得 / データ信頼度70未満。,未取得データ、過熱、下落耐性、決算後反応の改善を確認するまで購入候補にしない。
17,2801.T,キッコーマン,PRICE_PASS,物価高・価格転嫁力,74.2,未接続,,,,,C データ補完後に判定,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,母集団内・NISA点未計算,100社母集団には存在。現在の位置づけ=C データ補完後に判定、株価=取得失敗: HTTP 500、業績=取得失敗: HTTP 500。,NISA 1年保有スコアへ接続し、PER/PBR/ROE・決算反応・下落耐性を計算
18,4452.T,花王,PRICE_PASS,物価高・価格転嫁力,73.2,未接続,,,,,C データ補完後に判定,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,母集団内・NISA点未計算,100社母集団には存在。現在の位置づけ=C データ補完後に判定、株価=取得失敗: HTTP 500、業績=取得失敗: HTTP 500。,NISA 1年保有スコアへ接続し、PER/PBR/ROE・決算反応・下落耐性を計算
19,4063.T,信越化学工業,NAPHTHA_CHEM,ナフサ・原油・化学品,71.9,接続済み,66,保留,25,決算後反応未取得 / データ信頼度70未満,C データ補完後に判定,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,数値確認中,NISA 1年保有スコアは接続済み。ただし分類=保留、ゲート=決算後反応未取得 / データ信頼度70未満。,未取得データ、過熱、下落耐性、決算後反応の改善を確認するまで購入候補にしない。
20,4519.T,中外製薬,HEALTHCARE_POLICY,医薬・ヘルスケア政策,71.1,未接続,,,,,C データ補完後に判定,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,母集団内・NISA点未計算,100社母集団には存在。現在の位置づけ=C データ補完後に判定、株価=取得失敗: HTTP 500、業績=取得失敗: HTTP 500。,NISA 1年保有スコアへ接続し、PER/PBR/ROE・決算反応・下落耐性を計算
21,5020.T,ENEOS,NAPHTHA_CHEM,ナフサ・原油・化学品,70.4,接続済み,54.4,保留,25,決算後反応未取得 / データ信頼度70未満,D 低優先・比較のみ,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,数値確認中,NISA 1年保有スコアは接続済み。ただし分類=保留、ゲート=決算後反応未取得 / データ信頼度70未満。,未取得データ、過熱、下落耐性、決算後反応の改善を確認するまで購入候補にしない。
22,4188.T,三菱ケミカルG,NAPHTHA_CHEM,ナフサ・原油・化学品,69.9,未接続,,,,,D 低優先・比較のみ,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,母集団内・NISA点未計算,100社母集団には存在。現在の位置づけ=D 低優先・比較のみ、株価=取得失敗: HTTP 500、業績=取得失敗: HTTP 500。,NISA 1年保有スコアへ接続し、PER/PBR/ROE・決算反応・下落耐性を計算
23,1802.T,大林組,DISASTER_INFRA,災害復旧・インフラ強靭化,68.1,未接続,,,,,D 低優先・比較のみ,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,母集団内・NISA点未計算,100社母集団には存在。現在の位置づけ=D 低優先・比較のみ、株価=取得失敗: HTTP 500、業績=取得失敗: HTTP 500。,NISA 1年保有スコアへ接続し、PER/PBR/ROE・決算反応・下落耐性を計算
24,9433.T,KDDI,DISASTER_INFRA,災害復旧・インフラ強靭化,67.6,未接続,,,,,B 観察継続,取得,取得,取得,母集団内・NISA点未計算,100社母集団には存在。現在の位置づけ=B 観察継続、株価=取得、業績=取得。,NISA 1年保有スコアへ接続し、PER/PBR/ROE・決算反応・下落耐性を計算
