指標,指標順位,コード,銘柄,値,最終扱い,補足
直近1年最大下落率の小ささ,1,9432.T,NTT,-7.7,除外,直近1年でS&P500に劣後 / 5年でS&P500に劣後
直近1年最大下落率の小ささ,2,8725.T,MS&AD,-12,再選定候補,主要指標で通過
直近1年最大下落率の小ささ,3,6201.T,豊田自動織機,-12,除外,直近1年でS&P500に劣後
直近1年最大下落率の小ささ,4,9433.T,KDDI,-12.1,除外,直近1年でS&P500に劣後 / 5年でS&P500に劣後
直近1年最大下落率の小ささ,5,9983.T,ファーストリテイリング,-12.2,再選定候補,主要指標で通過
直近1年最大下落率の小ささ,6,2503.T,キリンHD,-12.8,除外,5年でS&P500に劣後
直近1年最大下落率の小ささ,7,9434.T,ソフトバンク,-14.1,除外,直近1年でS&P500に劣後
直近1年最大下落率の小ささ,8,4502.T,武田薬品,-14.1,除外,直近1年でS&P500に劣後 / 5年でS&P500に劣後
直近1年最大下落率の小ささ,9,2801.T,キッコーマン,-14.3,除外,直近1年でS&P500に劣後 / 5年でS&P500に劣後
直近1年最大下落率の小ささ,10,6367.T,ダイキン工業,-14.5,除外,5年でS&P500に劣後
