updated_at,event_id,ticker,company,event_theme,primary_source,price_source,validation_unit,formula,status
2026/05/26 16:45,8316-02,8316.T,三井住友FG,信用コスト,企業IR、決算短信、決算説明資料、日銀/FRB/官公庁、取引所開示,株価OHLCV、日経平均/TOPIX、必要に応じてSOX・業種指数,イベント前日終値、イベント後1営業日/5営業日/20営業日の終値,超過リターン = 個別株リターン - ベンチマークリターン,取得待ち
2026/05/26 16:45,8316-03,8316.T,三井住友FG,海外金利・為替,企業IR、決算短信、決算説明資料、日銀/FRB/官公庁、取引所開示,株価OHLCV、日経平均/TOPIX、必要に応じてSOX・業種指数,イベント前日終値、イベント後1営業日/5営業日/20営業日の終値,超過リターン = 個別株リターン - ベンチマークリターン,取得待ち
2026/05/26 16:45,8306-01,8306.T,三菱UFJ FG,日銀・金利,企業IR、決算短信、決算説明資料、日銀/FRB/官公庁、取引所開示,株価OHLCV、日経平均/TOPIX、必要に応じてSOX・業種指数,イベント前日終値、イベント後1営業日/5営業日/20営業日の終値,超過リターン = 個別株リターン - ベンチマークリターン,取得待ち
2026/05/26 16:45,8306-02,8306.T,三菱UFJ FG,海外金利・景気,企業IR、決算短信、決算説明資料、日銀/FRB/官公庁、取引所開示,株価OHLCV、日経平均/TOPIX、必要に応じてSOX・業種指数,イベント前日終値、イベント後1営業日/5営業日/20営業日の終値,超過リターン = 個別株リターン - ベンチマークリターン,取得待ち
2026/05/26 16:45,8306-03,8306.T,三菱UFJ FG,株主還元,企業IR、決算短信、決算説明資料、日銀/FRB/官公庁、取引所開示,株価OHLCV、日経平均/TOPIX、必要に応じてSOX・業種指数,イベント前日終値、イベント後1営業日/5営業日/20営業日の終値,超過リターン = 個別株リターン - ベンチマークリターン,取得待ち
2026/05/26 16:45,6367-01,6367.T,ダイキン工業,データセンター冷却,企業IR、決算短信、決算説明資料、日銀/FRB/官公庁、取引所開示,株価OHLCV、日経平均/TOPIX、必要に応じてSOX・業種指数,イベント前日終値、イベント後1営業日/5営業日/20営業日の終値,超過リターン = 個別株リターン - ベンチマークリターン,取得待ち
2026/05/26 16:45,6367-02,6367.T,ダイキン工業,地域別空調需要,企業IR、決算短信、決算説明資料、日銀/FRB/官公庁、取引所開示,株価OHLCV、日経平均/TOPIX、必要に応じてSOX・業種指数,イベント前日終値、イベント後1営業日/5営業日/20営業日の終値,超過リターン = 個別株リターン - ベンチマークリターン,取得待ち
2026/05/26 16:45,6367-03,6367.T,ダイキン工業,中国・為替,企業IR、決算短信、決算説明資料、日銀/FRB/官公庁、取引所開示,株価OHLCV、日経平均/TOPIX、必要に応じてSOX・業種指数,イベント前日終値、イベント後1営業日/5営業日/20営業日の終値,超過リターン = 個別株リターン - ベンチマークリターン,取得待ち
2026/05/26 16:45,6503-01,6503.T,三菱電機,電力・データセンター,企業IR、決算短信、決算説明資料、日銀/FRB/官公庁、取引所開示,株価OHLCV、日経平均/TOPIX、必要に応じてSOX・業種指数,イベント前日終値、イベント後1営業日/5営業日/20営業日の終値,超過リターン = 個別株リターン - ベンチマークリターン,取得待ち
2026/05/26 16:45,6503-02,6503.T,三菱電機,FA・設備投資,企業IR、決算短信、決算説明資料、日銀/FRB/官公庁、取引所開示,株価OHLCV、日経平均/TOPIX、必要に応じてSOX・業種指数,イベント前日終値、イベント後1営業日/5営業日/20営業日の終値,超過リターン = 個別株リターン - ベンチマークリターン,取得待ち
2026/05/26 16:45,6503-03,6503.T,三菱電機,防衛・宇宙,企業IR、決算短信、決算説明資料、日銀/FRB/官公庁、取引所開示,株価OHLCV、日経平均/TOPIX、必要に応じてSOX・業種指数,イベント前日終値、イベント後1営業日/5営業日/20営業日の終値,超過リターン = 個別株リターン - ベンチマークリターン,取得待ち
2026/05/26 16:45,5020-01,5020.T,ENEOS HD,原油・精製マージン,企業IR、決算短信、決算説明資料、日銀/FRB/官公庁、取引所開示,株価OHLCV、日経平均/TOPIX、必要に応じてSOX・業種指数,イベント前日終値、イベント後1営業日/5営業日/20営業日の終値,超過リターン = 個別株リターン - ベンチマークリターン,取得待ち
2026/05/26 16:45,5020-02,5020.T,ENEOS HD,中東・海上輸送,企業IR、決算短信、決算説明資料、日銀/FRB/官公庁、取引所開示,株価OHLCV、日経平均/TOPIX、必要に応じてSOX・業種指数,イベント前日終値、イベント後1営業日/5営業日/20営業日の終値,超過リターン = 個別株リターン - ベンチマークリターン,取得待ち
2026/05/26 16:45,5020-03,5020.T,ENEOS HD,脱炭素・構造転換,企業IR、決算短信、決算説明資料、日銀/FRB/官公庁、取引所開示,株価OHLCV、日経平均/TOPIX、必要に応じてSOX・業種指数,イベント前日終値、イベント後1営業日/5営業日/20営業日の終値,超過リターン = 個別株リターン - ベンチマークリターン,取得待ち
2026/05/26 16:45,6146-01,6146.T,ディスコ,AI半導体・HBM,企業IR、決算短信、決算説明資料、日銀/FRB/官公庁、取引所開示,株価OHLCV、日経平均/TOPIX、必要に応じてSOX・業種指数,イベント前日終値、イベント後1営業日/5営業日/20営業日の終値,超過リターン = 個別株リターン - ベンチマークリターン,取得待ち
2026/05/26 16:45,6146-02,6146.T,ディスコ,半導体設備投資,企業IR、決算短信、決算説明資料、日銀/FRB/官公庁、取引所開示,株価OHLCV、日経平均/TOPIX、必要に応じてSOX・業種指数,イベント前日終値、イベント後1営業日/5営業日/20営業日の終値,超過リターン = 個別株リターン - ベンチマークリターン,取得待ち
2026/05/26 16:45,6146-03,6146.T,ディスコ,高PER・過熱,企業IR、決算短信、決算説明資料、日銀/FRB/官公庁、取引所開示,株価OHLCV、日経平均/TOPIX、必要に応じてSOX・業種指数,イベント前日終値、イベント後1営業日/5営業日/20営業日の終値,超過リターン = 個別株リターン - ベンチマークリターン,取得待ち
2026/05/26 16:45,4385-01,4385.T,メルカリ,国内消費,企業IR、決算短信、決算説明資料、日銀/FRB/官公庁、取引所開示,株価OHLCV、日経平均/TOPIX、必要に応じてSOX・業種指数,イベント前日終値、イベント後1営業日/5営業日/20営業日の終値,超過リターン = 個別株リターン - ベンチマークリターン,取得待ち
2026/05/26 16:45,4385-02,4385.T,メルカリ,FinTech・広告,企業IR、決算短信、決算説明資料、日銀/FRB/官公庁、取引所開示,株価OHLCV、日経平均/TOPIX、必要に応じてSOX・業種指数,イベント前日終値、イベント後1営業日/5営業日/20営業日の終値,超過リターン = 個別株リターン - ベンチマークリターン,取得待ち
2026/05/26 16:45,4385-03,4385.T,メルカリ,規制・競争,企業IR、決算短信、決算説明資料、日銀/FRB/官公庁、取引所開示,株価OHLCV、日経平均/TOPIX、必要に応じてSOX・業種指数,イベント前日終値、イベント後1営業日/5営業日/20営業日の終値,超過リターン = 個別株リターン - ベンチマークリターン,取得待ち
