No,ticker,銘柄,ゲート,入力ID,入力項目,候補値,現在の扱い,次アクション,転記可否,確認内容,リスク,取得元,参照URL,公式確認,スコア反映,P1復帰,買付上限
13,6503.T,三菱電機,価格ゲート,6503_sp500_gap_1y,S&P500との差,101.3%,再計算待ち,株価時系列から再現,保留,既存計算値は候補として採用。基準日、指数、計算式を再現できたら転記する。,列ズレ・基準日ズレがあると説明不能になる。,784_integrated_recalculation_scores_20260528.csv,,未,禁止,0社,0円
14,6503.T,三菱電機,イベント後ゲート,6503_event_cpi_result,6月CPI結果,,未補完,取得作業,不可,候補値がないため、公式IR、株価再取得、またはイベント後入力を行う。,空欄のまま転記しない。,,,未,禁止,0社,0円
15,6503.T,三菱電機,イベント後ゲート,6503_event_boj_result,日銀会合結果,,未補完,取得作業,不可,候補値がないため、公式IR、株価再取得、またはイベント後入力を行う。,空欄のまま転記しない。,,,未,禁止,0社,0円
16,6503.T,三菱電機,イベント後ゲート,6503_event_fomc_result,FOMC結果,,未補完,取得作業,不可,候補値がないため、公式IR、株価再取得、またはイベント後入力を行う。,空欄のまま転記しない。,,,未,禁止,0社,0円
17,6503.T,三菱電機,イベント後ゲート,6503_post_event_index_reaction,イベント後指数反応,,未補完,取得作業,不可,候補値がないため、公式IR、株価再取得、またはイベント後入力を行う。,空欄のまま転記しない。,,,未,禁止,0社,0円
18,6503.T,三菱電機,イベント後ゲート,6503_post_event_ticker_reaction,イベント後個別株反応,,未補完,取得作業,不可,候補値がないため、公式IR、株価再取得、またはイベント後入力を行う。,空欄のまま転記しない。,,,未,禁止,0社,0円
19,6503.T,三菱電機,説明可能性ゲート,6503_one_line_reason,1行の残す理由,電力制御・FA・データセンター周辺需要を確認対象にする。ただし全社利益への寄与を公式資料で確認するまでP1復帰しない。,文章候補,数値接続後に採用,保留,財務・価格・イベント後反応の数値が埋まったあと、説明文として矛盾がないか確認する。,テーマ名だけの説明に戻さない。,入力キューから作成した説明候補,,未,禁止,0社,0円
20,6503.T,三菱電機,説明可能性ゲート,6503_keep_condition,残す条件,PER/PBR/ROE、営業利益率、事業別成長、6月イベント後の指数比反応がそろい、過熱・急落条件に抵触しない場合のみ残す。,文章候補,数値接続後に採用,保留,財務・価格・イベント後反応の数値が埋まったあと、説明文として矛盾がないか確認する。,テーマ名だけの説明に戻さない。,入力キューから作成した説明候補,,未,禁止,0社,0円
21,6503.T,三菱電機,説明可能性ゲート,6503_drop_condition,落とす条件,6月イベント後に指数比で弱い、FA・電力関連の全社寄与が確認できない、または高値圏からの急落リスクが強い場合は落とす。,文章候補,数値接続後に採用,保留,財務・価格・イベント後反応の数値が埋まったあと、説明文として矛盾がないか確認する。,テーマ名だけの説明に戻さない。,入力キューから作成した説明候補,,未,禁止,0社,0円
22,6503.T,三菱電機,説明可能性ゲート,6503_unconfirmed_items,未確認事項,公式PER/PBR/ROE、営業利益率、事業別成長、イベント後反応、銘柄別上値・下値ルール。,文章候補,数値接続後に採用,保留,財務・価格・イベント後反応の数値が埋まったあと、説明文として矛盾がないか確認する。,テーマ名だけの説明に戻さない。,入力キューから作成した説明候補,,未,禁止,0社,0円
23,8035.T,東京エレクトロン,財務ゲート,8035_per_official,PER,54.2倍,公式確認候補,PDF目視確認,確認後可,PDF原文のEPS/BPSと株価基準日、計算式を照合する。合えば入力キューへ転記する。,株価基準日と分母が合わない場合は転記しない。,2026年3月期 決算短信〔日本基準〕,https://www.tel.co.jp/ir/library/report/jngpc500000000l6-att/fy26q4tanshin-j.pdf,未,禁止,0社,0円
24,8035.T,東京エレクトロン,財務ゲート,8035_pbr_official,PBR,15.11倍,公式確認候補,PDF目視確認,確認後可,PDF原文のEPS/BPSと株価基準日、計算式を照合する。合えば入力キューへ転記する。,株価基準日と分母が合わない場合は転記しない。,2026年3月期 決算短信〔日本基準〕,https://www.tel.co.jp/ir/library/report/jngpc500000000l6-att/fy26q4tanshin-j.pdf,未,禁止,0社,0円
25,8035.T,東京エレクトロン,財務ゲート,8035_roe_official,ROE,,未補完,取得作業,不可,候補値がないため、公式IR、株価再取得、またはイベント後入力を行う。,空欄のまま転記しない。,,,未,禁止,0社,0円
26,8035.T,東京エレクトロン,財務ゲート,8035_operating_margin,営業利益率,,未補完,取得作業,不可,候補値がないため、公式IR、株価再取得、またはイベント後入力を行う。,空欄のまま転記しない。,,,未,禁止,0社,0円
27,8035.T,東京エレクトロン,財務ゲート,8035_order_or_segment_growth,受注・事業別売上/利益の伸び,,未補完,取得作業,不可,候補値がないため、公式IR、株価再取得、またはイベント後入力を行う。,空欄のまま転記しない。,,,未,禁止,0社,0円
28,8035.T,東京エレクトロン,価格ゲート,8035_price_date,株価計算日,,未補完,取得作業,不可,候補値がないため、公式IR、株価再取得、またはイベント後入力を行う。,空欄のまま転記しない。,,,未,禁止,0社,0円
29,8035.T,東京エレクトロン,価格ゲート,8035_current_price,直近株価,,未補完,取得作業,不可,候補値がないため、公式IR、株価再取得、またはイベント後入力を行う。,空欄のまま転記しない。,,,未,禁止,0社,0円
30,8035.T,東京エレクトロン,価格ゲート,8035_return_60d,60日騰落率,16.6%,再計算待ち,株価時系列から再現,保留,既存計算値は候補として採用。基準日、指数、計算式を再現できたら転記する。,列ズレ・基準日ズレがあると説明不能になる。,784_integrated_recalculation_scores_20260528.csv,,未,禁止,0社,0円
31,8035.T,東京エレクトロン,価格ゲート,8035_return_1y,1年騰落率,130.3%,再計算待ち,株価時系列から再現,保留,既存計算値は候補として採用。基準日、指数、計算式を再現できたら転記する。,列ズレ・基準日ズレがあると説明不能になる。,784_integrated_recalculation_scores_20260528.csv,,未,禁止,0社,0円
32,8035.T,東京エレクトロン,価格ゲート,8035_cagr_5y,5年CAGR,29.5%,再計算待ち,株価時系列から再現,保留,既存計算値は候補として採用。基準日、指数、計算式を再現できたら転記する。,列ズレ・基準日ズレがあると説明不能になる。,784_integrated_recalculation_scores_20260528.csv,,未,禁止,0社,0円
33,8035.T,東京エレクトロン,価格ゲート,8035_cagr_10y,10年CAGR,38.2%,再計算待ち,株価時系列から再現,保留,既存計算値は候補として採用。基準日、指数、計算式を再現できたら転記する。,列ズレ・基準日ズレがあると説明不能になる。,784_integrated_recalculation_scores_20260528.csv,,未,禁止,0社,0円
34,8035.T,東京エレクトロン,価格ゲート,8035_max_drawdown_1y,1年最大下落率,-28.8%,再計算待ち,株価時系列から再現,保留,既存計算値は候補として採用。基準日、指数、計算式を再現できたら転記する。,列ズレ・基準日ズレがあると説明不能になる。,784_integrated_recalculation_scores_20260528.csv,,未,禁止,0社,0円
35,8035.T,東京エレクトロン,価格ゲート,8035_sp500_gap_1y,S&P500との差,102.7%,再計算待ち,株価時系列から再現,保留,既存計算値は候補として採用。基準日、指数、計算式を再現できたら転記する。,列ズレ・基準日ズレがあると説明不能になる。,784_integrated_recalculation_scores_20260528.csv,,未,禁止,0社,0円
36,8035.T,東京エレクトロン,イベント後ゲート,8035_event_cpi_result,6月CPI結果,,未補完,取得作業,不可,候補値がないため、公式IR、株価再取得、またはイベント後入力を行う。,空欄のまま転記しない。,,,未,禁止,0社,0円
37,8035.T,東京エレクトロン,イベント後ゲート,8035_event_boj_result,日銀会合結果,,未補完,取得作業,不可,候補値がないため、公式IR、株価再取得、またはイベント後入力を行う。,空欄のまま転記しない。,,,未,禁止,0社,0円
38,8035.T,東京エレクトロン,イベント後ゲート,8035_event_fomc_result,FOMC結果,,未補完,取得作業,不可,候補値がないため、公式IR、株価再取得、またはイベント後入力を行う。,空欄のまま転記しない。,,,未,禁止,0社,0円
39,8035.T,東京エレクトロン,イベント後ゲート,8035_post_event_index_reaction,イベント後指数反応,,未補完,取得作業,不可,候補値がないため、公式IR、株価再取得、またはイベント後入力を行う。,空欄のまま転記しない。,,,未,禁止,0社,0円
40,8035.T,東京エレクトロン,イベント後ゲート,8035_post_event_ticker_reaction,イベント後個別株反応,,未補完,取得作業,不可,候補値がないため、公式IR、株価再取得、またはイベント後入力を行う。,空欄のまま転記しない。,,,未,禁止,0社,0円
41,8035.T,東京エレクトロン,説明可能性ゲート,8035_one_line_reason,1行の残す理由,WFE見通し、製品シェア、AIサーバー需要との接続を確認対象にする。ただし高PERと半導体投資サイクルの下落リスクを同時に見る。,文章候補,数値接続後に採用,保留,財務・価格・イベント後反応の数値が埋まったあと、説明文として矛盾がないか確認する。,テーマ名だけの説明に戻さない。,入力キューから作成した説明候補,,未,禁止,0社,0円
42,8035.T,東京エレクトロン,説明可能性ゲート,8035_keep_condition,残す条件,WFE見通し、利益率、PER/PBR、イベント後のSOX・日経平均比反応がそろい、高PERを説明できる場合のみ残す。,文章候補,数値接続後に採用,保留,財務・価格・イベント後反応の数値が埋まったあと、説明文として矛盾がないか確認する。,テーマ名だけの説明に戻さない。,入力キューから作成した説明候補,,未,禁止,0社,0円
43,8035.T,東京エレクトロン,説明可能性ゲート,8035_drop_condition,落とす条件,FOMC後の金利上昇、SOX反落、会社見通し悪化、高PERを支える利益成長不足が確認された場合は落とす。,文章候補,数値接続後に採用,保留,財務・価格・イベント後反応の数値が埋まったあと、説明文として矛盾がないか確認する。,テーマ名だけの説明に戻さない。,入力キューから作成した説明候補,,未,禁止,0社,0円
44,8035.T,東京エレクトロン,説明可能性ゲート,8035_unconfirmed_items,未確認事項,公式PER/PBR/ROE、営業利益率、WFE見通し、イベント後反応、半導体サイクル悪化時の停止条件。,文章候補,数値接続後に採用,保留,財務・価格・イベント後反応の数値が埋まったあと、説明文として矛盾がないか確認する。,テーマ名だけの説明に戻さない。,入力キューから作成した説明候補,,未,禁止,0社,0円
