統合順位,統合10社順位,コード,銘柄,旧候補,統合扱い,4項目合計,総合スコア100点換算,既存選定スコア,長期安定性,S&P比較,下落耐性,5年CAGR,10年CAGR,直近1年,60日,5年S&P差,直近1年S&P差,5年最大下落,直近1年最大下落,理由
40,,9984.T,ソフトバンクG,旧候補,除外,209.1,52.3,65,46.1,82.8,15.2,28.1,25.5,265.9,70,15.7,238.3,-50.8,-48.6,除外条件: 直近1年の下落率が大きい / 急騰後の反動確認が必要 / 直近1年の最大下落率が大きい
41,,7013.T,IHI,,除外,208.2,52,45,65.7,75.8,21.7,51,23.2,37.4,-34.2,38.6,9.9,-43.1,-43.1,除外条件: 直近60日が弱い / 直近1年の下落率が大きい / 直近60日が弱い / 直近1年の最大下落率が大きい
42,,2503.T,キリンHD,,除外,206.1,51.5,14,52.2,44.4,95.5,7.8,6.8,35.8,2.9,-4.6,8.3,-21.8,-12.8,除外条件: 5年でS&P500に劣後
43,,6701.T,NEC,,除外,203.9,51,48,71.6,55.1,29.3,34,25.2,9.9,-0.2,21.6,-17.6,-39.5,-39.5,除外条件: 直近1年でS&P500に劣後 / 直近1年の下落率が大きい / 直近1年の最大下落率が大きい
44,,3407.T,旭化成,,除外,201.6,50.4,12,52.2,58.6,78.8,10.5,12.4,79.4,-1.7,-1.9,51.9,-26.2,-21.8,除外条件: 5年でS&P500に劣後
45,,7202.T,いすゞ自動車,,除外,200.7,50.2,35,51.6,48.5,65.7,13.4,9.4,23.9,-18.5,1,-3.6,-26.5,-25.9,除外条件: 直近1年でS&P500に劣後 / 直近60日が弱い / 直近60日が弱い
46,,6201.T,豊田自動織機,,除外,200.6,50.1,32,52.4,49.5,66.7,18.5,18.2,14.5,1.2,6.1,-13,-43.2,-12,除外条件: 直近1年でS&P500に劣後
47,,1803.T,清水建設,,除外,200.1,50,6,63.8,70.7,59.6,27.9,13.7,72.1,-21.4,15.6,44.6,-28.4,-27.5,除外条件: 直近60日が弱い
48,,6920.T,レーザーテック,,除外,198.1,49.5,70,32.6,76.3,19.2,17,63,171.6,19.8,4.7,144.1,-76.6,-27.1,除外条件: 過去5年の最大下落率が大きい
49,,6702.T,富士通,,除外,196.3,49.1,53,53.9,44.4,44.9,15.7,24.9,7.5,0.1,3.3,-20,-33.2,-33,除外条件: 直近1年でS&P500に劣後 / 直近1年の最大下落率が大きい
50,,1801.T,大成建設,,除外,193.4,48.3,5,68.7,77.3,42.4,33.8,16.8,85.2,-24.3,21.5,57.7,-33.7,-33.7,除外条件: 直近60日が弱い / 直近1年の最大下落率が大きい
51,,6861.T,キーエンス,,除外,192,48,50,40,38.9,63.1,7.6,16.5,23.6,15.2,-4.7,-3.9,-39.8,-17.9,除外条件: 直近1年でS&P500に劣後 / 5年でS&P500に劣後
52,,4063.T,信越化学工業,,監視,189.8,47.5,18,48.6,63.1,60.1,16.5,21.6,63.6,23.9,4.2,36.1,-47.1,-14.9,総合点は高いが、急騰後反動または下落幅の確認が必要。
53,,6367.T,ダイキン工業,,除外,188.2,47.1,56,31.7,40.9,59.6,2.6,11,48.2,20.3,-9.7,20.6,-50,-14.5,除外条件: 5年でS&P500に劣後
54,,7269.T,スズキ,,除外,183,45.7,49,47.1,40.4,46.5,12,12.4,7.5,-15.8,-0.3,-20,-35.1,-28,除外条件: 直近1年でS&P500に劣後 / 5年でS&P500に劣後 / 直近60日が弱い / 直近60日が弱い
55,,9020.T,JR東日本,,除外,179.4,44.9,6,51.2,37.4,84.8,7.9,2,15.4,-9.4,-4.4,-12.2,-24.6,-18.5,除外条件: 直近1年でS&P500に劣後 / 5年でS&P500に劣後
56,,3402.T,東レ,,除外,177.4,44.4,7,49.2,43.9,77.3,11.8,3.9,15.5,-13.8,-0.6,-12,-26.5,-21.7,除外条件: 直近1年でS&P500に劣後 / 5年でS&P500に劣後
57,,6723.T,ルネサス,,除外,170.4,42.6,21,46.9,82.3,20.2,30.7,21.3,147.9,48.2,18.4,120.3,-58.6,-30.7,除外条件: 直近1年の最大下落率が大きい
58,,1925.T,大和ハウス工業,,除外,170.4,42.6,1,59.8,28.8,80.8,10.3,6.8,-8,-20.3,-2.1,-35.5,-21.6,-21.8,除外条件: 直近1年でS&P500に劣後 / 5年でS&P500に劣後 / 直近60日が弱い / 直近60日が弱い
59,,6326.T,クボタ,,除外,168.8,42.2,35,34.8,53.5,45.5,4.2,7.8,83.3,-8.8,-8.1,55.7,-40.2,-25.2,除外条件: 5年でS&P500に劣後
60,,7203.T,トヨタ自動車,,除外,168,42,34,47.6,47.5,38.9,13.8,13.7,18.7,-18.6,1.5,-8.9,-41.7,-26.8,除外条件: 直近1年でS&P500に劣後 / 直近60日が弱い / 直近60日が弱い
61,,7267.T,ホンダ,,除外,167.6,41.9,30,45.7,33.8,58.1,8.9,7.2,5.8,-5.2,-3.5,-21.8,-34.2,-24.1,除外条件: 直近1年でS&P500に劣後 / 5年でS&P500に劣後
62,,6902.T,デンソー,,除外,165.9,41.5,52,35.6,24.2,54,2.5,8.5,0.8,-14,-9.8,-26.8,-43.1,-19.5,除外条件: 直近1年でS&P500に劣後 / 5年でS&P500に劣後
63,,4503.T,アステラス製薬,,除外,158.2,39.6,12,42.2,48.5,55.6,7.8,6.8,57.7,-14.7,-4.6,30.2,-41.6,-20.1,除外条件: 5年でS&P500に劣後
64,,6098.T,リクルートHD,,除外,157.2,39.3,59,34.1,47,17.2,12.7,24,21,51.2,0.3,-6.5,-58.1,-34.7,除外条件: 直近1年でS&P500に劣後 / 5年最大下落率が大きい / 直近1年の最大下落率が大きい
65,,4188.T,三菱ケミカルG,,除外,154,38.5,9,43.5,48,53.5,8,10.9,51.8,-0.3,-4.3,24.3,-34.4,-25.4,除外条件: 5年でS&P500に劣後
66,,6526.T,ソシオネクスト,,除外,153.3,38.3,34,48.1,68.2,3,40.5,,26,31.8,28.2,-1.6,-75.4,-50.4,除外条件: 直近1年でS&P500に劣後 / 直近1年の下落率が大きい / 5年最大下落率が大きい / 直近1年の最大下落率が大きい / 過去5年の最大下落率が大きい
67,,4519.T,中外製薬,,除外,151.2,37.8,0,52.7,43.4,55.1,15.7,21.7,6.9,-24.8,3.4,-20.6,-29.1,-28.8,除外条件: 直近1年でS&P500に劣後 / 直近60日が弱い / 直近60日が弱い
68,,9202.T,ANA HD,,除外,147.1,36.8,1,41.6,27.3,77.3,2.8,0,3.8,-12.4,-9.5,-23.7,-26.2,-21.8,除外条件: 直近1年でS&P500に劣後 / 5年でS&P500に劣後
69,,9766.T,コナミグループ,,除外,146.9,36.7,7,55.6,42.4,41.9,24.2,18.1,-3.4,-1.6,11.8,-30.9,-36.9,-30.5,除外条件: 直近1年でS&P500に劣後 / 直近1年の最大下落率が大きい
70,,6758.T,ソニーグループ,,除外,145.8,36.5,38,47.2,27.8,32.8,10,19.5,-9.1,2,-2.3,-36.6,-39.8,-33.5,除外条件: 直近1年でS&P500に劣後 / 5年でS&P500に劣後 / 直近1年の最大下落率が大きい
71,,4005.T,住友化学,,除外,140.9,35.2,15,31.5,48.5,46,2.1,4.9,79.5,7.3,-10.3,51.9,-47.2,-22.4,除外条件: 5年でS&P500に劣後
72,,4452.T,花王,,除外,137.9,34.5,1,37.9,18.7,80.3,0.3,2,-6,-8.1,-12.1,-33.5,-31.9,-15.4,除外条件: 直近1年でS&P500に劣後 / 5年でS&P500に劣後
73,,6273.T,SMC,,除外,136.9,34.2,36,25.6,36.4,38.9,2,10.7,27.2,-7,-10.3,-0.3,-52.7,-23.4,除外条件: 直近1年でS&P500に劣後 / 5年でS&P500に劣後
74,,2801.T,キッコーマン,,除外,134.9,33.7,7,29.9,25.3,72.7,0.4,7,7.2,-4.9,-12,-20.3,-38.2,-14.3,除外条件: 直近1年でS&P500に劣後 / 5年でS&P500に劣後
75,,6645.T,オムロン,,除外,130.9,32.7,54,7.7,34.8,34.3,-7,6.3,50.7,4.4,-19.4,23.2,-69.1,-22.7,除外条件: 5年でS&P500に劣後 / 5年最大下落率が大きい / 過去5年の最大下落率が大きい
76,,7532.T,パン・パシフィック,,除外,127.8,31.9,1,48.5,36.4,41.9,14.9,18,-6.1,-15.6,2.6,-33.6,-41.5,-26.5,除外条件: 直近1年でS&P500に劣後 / 直近60日が弱い / 直近60日が弱い
77,,7270.T,SUBARU,,除外,124.6,31.1,29,36.5,26.8,32.3,6.3,-1.6,-2.6,-15.1,-6.1,-30.1,-39.6,-34.9,除外条件: 直近1年でS&P500に劣後 / 5年でS&P500に劣後 / 直近60日が弱い / 直近60日が弱い / 直近1年の最大下落率が大きい
78,,9022.T,JR東海,,除外,123.1,30.8,0,40.3,27.8,55.1,2,-0.2,11.3,-24.1,-10.3,-16.3,-30.3,-27.5,除外条件: 直近1年でS&P500に劣後 / 5年でS&P500に劣後 / 直近60日が弱い / 直近60日が弱い
79,,2502.T,アサヒGHD,,除外,120.9,30.2,1,38.1,12.6,69.2,-0.5,4.3,-17,-11.6,-12.8,-44.5,-29.2,-23.1,除外条件: 直近1年でS&P500に劣後 / 5年でS&P500に劣後
80,,9697.T,カプコン,,除外,114.6,28.7,4,49,28.3,33.3,13.5,27,-27.2,-7.5,1.1,-54.8,-38,-38,除外条件: 直近1年でS&P500に劣後 / 直近1年の下落率が大きい / 直近1年の最大下落率が大きい
81,,2432.T,ディー・エヌ・エー,,除外,113.5,28.4,7,28.7,26.8,51,5.5,3.5,-0.2,5.4,-6.9,-27.7,-46.4,-21,除外条件: 直近1年でS&P500に劣後 / 5年でS&P500に劣後
82,,9021.T,JR西日本,,除外,111.2,27.8,1,37,12.6,60.6,-1.2,-0.5,-13.7,-20.7,-13.6,-41.3,-32.9,-24.3,除外条件: 直近1年でS&P500に劣後 / 5年でS&P500に劣後 / 直近60日が弱い / 直近60日が弱い
83,,7832.T,バンダイナムコHD,,除外,106,26.5,1,43.9,23.2,37.9,9.1,17.6,-19.8,-9.9,-3.3,-47.3,-35.1,-35.1,除外条件: 直近1年でS&P500に劣後 / 5年でS&P500に劣後 / 直近1年の下落率が大きい / 直近1年の最大下落率が大きい
84,,4543.T,テルモ,,除外,104.3,26.1,11,35.2,20.7,37.4,3.7,8.9,-10.7,18,-8.7,-38.3,-38.9,-31.3,除外条件: 直近1年でS&P500に劣後 / 5年でS&P500に劣後 / 直近1年の最大下落率が大きい
85,,7974.T,任天堂,,除外,92.5,23.1,36,31.8,13.6,11.1,3.3,18.8,-41.3,-18.6,-9.1,-68.8,-52.1,-52.1,除外条件: 直近1年でS&P500に劣後 / 5年でS&P500に劣後 / 直近60日が弱い / 直近1年の下落率が大きい / 直近60日が弱い / 直近1年の最大下落率が大きい
86,,4385.T,メルカリ,,除外,85.8,21.5,17,8.7,41.9,18.2,-5,,71.5,12.9,-17.3,44,-77.2,-27.1,除外条件: 5年でS&P500に劣後 / 5年最大下落率が大きい / 過去5年の最大下落率が大きい
87,,6594.T,ニデック,,除外,73.1,18.3,50,3.4,12.1,7.6,-15.1,3.3,-4.6,11.4,-27.4,-32.1,-71.8,-42.5,除外条件: 直近1年でS&P500に劣後 / 5年でS&P500に劣後 / 直近1年の下落率が大きい / 5年最大下落率が大きい / 直近1年の最大下落率が大きい / 過去5年の最大下落率が大きい
88,,8113.T,ユニ・チャーム,,除外,66.4,16.6,1,18.9,9.1,37.4,-7.3,3.7,-13.5,-11.6,-19.6,-41.1,-54,-23.6,除外条件: 直近1年でS&P500に劣後 / 5年でS&P500に劣後
89,,3092.T,ZOZO,,除外,58.1,14.5,1,26.3,7.6,23.2,-2.3,7.8,-34.8,-9.8,-14.6,-62.4,-46.8,-35.2,除外条件: 直近1年でS&P500に劣後 / 5年でS&P500に劣後 / 直近1年の下落率が大きい / 直近1年の最大下落率が大きい
90,,4523.T,エーザイ,,除外,57.4,14.3,6,5.9,16.7,28.8,-9.1,-3,2.6,-23.2,-21.5,-24.9,-69.5,-24.4,除外条件: 直近1年でS&P500に劣後 / 5年でS&P500に劣後 / 直近60日が弱い / 5年最大下落率が大きい / 直近60日が弱い / 過去5年の最大下落率が大きい
91,,4911.T,資生堂,,除外,56.9,14.2,12,0,22.7,22.2,-18.9,-0.1,19.9,-14.9,-31.2,-7.6,-72.8,-26.7,除外条件: 直近1年でS&P500に劣後 / 5年でS&P500に劣後 / 5年最大下落率が大きい / 過去5年の最大下落率が大きい
92,,4568.T,第一三共,,除外,52,13,1,23.2,13.6,14.1,2.7,13.7,-30.4,-11.6,-9.6,-58,-57.7,-39.3,除外条件: 直近1年でS&P500に劣後 / 5年でS&P500に劣後 / 直近1年の下落率が大きい / 5年最大下落率が大きい / 直近1年の最大下落率が大きい
93,,3659.T,ネクソン,,除外,43.1,10.8,-3,18.3,13.1,14.6,-2,10.1,-13.5,-29.7,-14.3,-41,-50.5,-50.5,除外条件: 直近1年でS&P500に劣後 / 5年でS&P500に劣後 / 直近60日が弱い / 直近1年の下落率が大きい / 直近60日が弱い / 直近1年の最大下落率が大きい
94,,4689.T,LINEヤフー,,除外,42.3,10.6,4,15.6,9.6,13.1,-3.4,-0.2,-20.3,11.2,-15.8,-47.8,-60.3,-35.3,除外条件: 直近1年でS&P500に劣後 / 5年でS&P500に劣後 / 直近1年の下落率が大きい / 5年最大下落率が大きい / 直近1年の最大下落率が大きい / 過去5年の最大下落率が大きい
95,,4755.T,楽天グループ,,除外,40.1,10,5,6.8,11.1,17.2,-10.1,-4.1,-6.4,-8.9,-22.4,-33.9,-64.7,-31.5,除外条件: 直近1年でS&P500に劣後 / 5年でS&P500に劣後 / 5年最大下落率が大きい / 直近1年の最大下落率が大きい / 過去5年の最大下落率が大きい
96,,4751.T,サイバーエージェント,,除外,39.9,10,4,9.6,10.6,15.7,-8.6,8.3,-10.5,-4.3,-21,-38,-67.4,-32.1,除外条件: 直近1年でS&P500に劣後 / 5年でS&P500に劣後 / 5年最大下落率が大きい / 直近1年の最大下落率が大きい / 過去5年の最大下落率が大きい
97,,9843.T,ニトリHD,,除外,39.6,9.9,-3,13.8,10.6,18.2,-7.1,1.9,-13.4,-18.9,-19.5,-40.9,-52.9,-35,除外条件: 直近1年でS&P500に劣後 / 5年でS&P500に劣後 / 直近60日が弱い / 直近1年の下落率が大きい / 直近60日が弱い / 直近1年の最大下落率が大きい
98,,4661.T,オリエンタルランド,,除外,35.9,9,3,15.7,7.1,10.1,-7,4.7,-27.4,-19.9,-19.4,-54.9,-62.2,-42.5,除外条件: 直近1年でS&P500に劣後 / 5年でS&P500に劣後 / 直近60日が弱い / 直近1年の下落率が大きい / 5年最大下落率が大きい / 直近60日が弱い / 直近1年の最大下落率が大きい / 過去5年の最大下落率が大きい
99,,6869.T,シスメックス,,除外,10.4,2.6,4,1.3,1,4,-17.2,-5.4,-42.1,-0.1,-29.6,-69.6,-74.2,-49.3,除外条件: 直近1年でS&P500に劣後 / 5年でS&P500に劣後 / 直近1年の下落率が大きい / 5年最大下落率が大きい / 直近1年の最大下落率が大きい / 過去5年の最大下落率が大きい
100,,2413.T,エムスリー,,除外,3.5,0.9,1,0,2,0.5,-27.7,-0.8,-30.3,-14.6,-40.1,-57.8,-86.8,-51.4,除外条件: 直近1年でS&P500に劣後 / 5年でS&P500に劣後 / 直近1年の下落率が大きい / 5年最大下落率が大きい / 直近1年の最大下落率が大きい / 過去5年の最大下落率が大きい
