作成,シナリオ,銘柄,会社名,初期区分,点数,判定,CPI,日銀,FOMC,20営業日反応,同業説明,質的根拠,ベンチ根拠
2026/05/27 15:40,標準通過,7173.T,東京きらぼしFG,監視,53,外す,注意,良好,注意,中立,要確認,要確認,要確認
2026/05/27 15:40,標準通過,9984.T,ソフトバンクG,別評価監視,51,外す,注意,良好,注意,中立,要確認,要確認,要確認
2026/05/27 15:40,標準通過,7735.T,SCREEN HD,監視,53,外す,注意,良好,注意,中立,要確認,要確認,要確認
2026/05/27 15:40,標準通過,6146.T,ディスコ,反応検算,51,外す,注意,良好,注意,中立,要確認,要確認,要確認
2026/05/27 15:40,標準通過,7011.T,三菱重工業,反応検算,51,外す,注意,良好,注意,中立,要確認,要確認,要確認
2026/05/27 15:40,良好確認,8316.T,三井住友FG,中心確認,109,残す,良好,良好,良好,良好,説明可能,確認,確認
2026/05/27 15:40,良好確認,6762.T,TDK,中心確認,109,残す,良好,良好,良好,良好,説明可能,確認,確認
2026/05/27 15:40,良好確認,8053.T,住友商事,中心確認,109,残す,良好,良好,良好,良好,説明可能,確認,確認
2026/05/27 15:40,良好確認,2802.T,味の素,条件付き中心,104,残す,良好,良好,良好,良好,説明可能,確認,確認
2026/05/27 15:40,良好確認,8306.T,三菱UFJ FG,補欠比較,97,残す,良好,良好,良好,良好,説明可能,確認,確認
2026/05/27 15:40,良好確認,7173.T,東京きらぼしFG,監視,94,残す,良好,良好,良好,良好,説明可能,確認,確認
2026/05/27 15:40,良好確認,9984.T,ソフトバンクG,別評価監視,92,残す,良好,良好,良好,良好,説明可能,確認,確認
2026/05/27 15:40,良好確認,7735.T,SCREEN HD,監視,94,残す,良好,良好,良好,良好,説明可能,確認,確認
2026/05/27 15:40,良好確認,6146.T,ディスコ,反応検算,92,残す,良好,良好,良好,良好,説明可能,確認,確認
2026/05/27 15:40,良好確認,7011.T,三菱重工業,反応検算,92,残す,良好,良好,良好,良好,説明可能,確認,確認
2026/05/27 15:40,金利・半導体逆風,8316.T,三井住友FG,中心確認,68,保留,注意,良好,注意,中立,要確認,要確認,要確認
2026/05/27 15:40,金利・半導体逆風,6762.T,TDK,中心確認,10,外す,注意,注意,悪化,悪化,要確認,要確認,弱い
2026/05/27 15:40,金利・半導体逆風,8053.T,住友商事,中心確認,43,外す,注意,注意,悪化,中立,要確認,要確認,要確認
2026/05/27 15:40,金利・半導体逆風,2802.T,味の素,条件付き中心,38,外す,注意,注意,悪化,中立,要確認,要確認,要確認
2026/05/27 15:40,金利・半導体逆風,8306.T,三菱UFJ FG,補欠比較,56,保留,注意,良好,注意,中立,要確認,要確認,要確認
2026/05/27 15:40,金利・半導体逆風,7173.T,東京きらぼしFG,監視,53,外す,注意,良好,注意,中立,要確認,要確認,要確認
2026/05/27 15:40,金利・半導体逆風,9984.T,ソフトバンクG,別評価監視,-7,外す,注意,注意,悪化,悪化,要確認,要確認,弱い
2026/05/27 15:40,金利・半導体逆風,7735.T,SCREEN HD,監視,-5,外す,注意,注意,悪化,悪化,要確認,要確認,弱い
2026/05/27 15:40,金利・半導体逆風,6146.T,ディスコ,反応検算,-7,外す,注意,注意,悪化,悪化,要確認,要確認,弱い
2026/05/27 15:40,金利・半導体逆風,7011.T,三菱重工業,反応検算,26,外す,注意,注意,悪化,中立,要確認,要確認,要確認
2026/05/27 15:40,悪化ケース,8316.T,三井住友FG,中心確認,-62,外す,悪化,悪化,悪化,悪化,説明不足,否定,弱い
2026/05/27 15:40,悪化ケース,6762.T,TDK,中心確認,-62,外す,悪化,悪化,悪化,悪化,説明不足,否定,弱い
2026/05/27 15:40,悪化ケース,8053.T,住友商事,中心確認,-62,外す,悪化,悪化,悪化,悪化,説明不足,否定,弱い
2026/05/27 15:40,悪化ケース,2802.T,味の素,条件付き中心,-67,外す,悪化,悪化,悪化,悪化,説明不足,否定,弱い
2026/05/27 15:40,悪化ケース,8306.T,三菱UFJ FG,補欠比較,-74,外す,悪化,悪化,悪化,悪化,説明不足,否定,弱い
2026/05/27 15:40,悪化ケース,7173.T,東京きらぼしFG,監視,-77,外す,悪化,悪化,悪化,悪化,説明不足,否定,弱い
2026/05/27 15:40,悪化ケース,9984.T,ソフトバンクG,別評価監視,-79,外す,悪化,悪化,悪化,悪化,説明不足,否定,弱い
2026/05/27 15:40,悪化ケース,7735.T,SCREEN HD,監視,-77,外す,悪化,悪化,悪化,悪化,説明不足,否定,弱い
2026/05/27 15:40,悪化ケース,6146.T,ディスコ,反応検算,-79,外す,悪化,悪化,悪化,悪化,説明不足,否定,弱い
2026/05/27 15:40,悪化ケース,7011.T,三菱重工業,反応検算,-79,外す,悪化,悪化,悪化,悪化,説明不足,否定,弱い
