優先区分,ticker,銘柄,現在扱い,入力項目,入力値,出所区分,参照URLまたは資料名,資料日付,計算根拠メモ,入力状態,検算結果,反映可否,注意
P2: 監視・除外補完,7011.T,三菱重工業,C: 除外継続,PER,,,,,,未入力,未完了,反映しない,入力値・出所・資料日付・公式確認済みが必要
P2: 監視・除外補完,7011.T,三菱重工業,C: 除外継続,PBR,,,,,,未入力,未完了,反映しない,入力値・出所・資料日付・公式確認済みが必要
P2: 監視・除外補完,7011.T,三菱重工業,C: 除外継続,ROE_pct,,,,,,未入力,未完了,反映しない,入力値・出所・資料日付・公式確認済みが必要
P2: 監視・除外補完,7011.T,三菱重工業,C: 除外継続,営業利益率_pct,,,,,,未入力,未完了,反映しない,入力値・出所・資料日付・公式確認済みが必要
P2: 監視・除外補完,7011.T,三菱重工業,C: 除外継続,今期会社予想_前期比,,,,,,未入力,未完了,反映しない,入力値・出所・資料日付・公式確認済みが必要
P2: 監視・除外補完,7011.T,三菱重工業,C: 除外継続,参照URLまたは資料名,,,,,,未入力,未完了,反映しない,入力値・出所・資料日付・公式確認済みが必要
P2: 監視・除外補完,7011.T,三菱重工業,C: 除外継続,資料日付,,,,,,未入力,未完了,反映しない,入力値・出所・資料日付・公式確認済みが必要
P2: 監視・除外補完,7011.T,三菱重工業,C: 除外継続,入力状態,,,,,,未入力,未完了,反映しない,入力値・出所・資料日付・公式確認済みが必要
P2: 監視・除外補完,7011.T,三菱重工業,C: 除外継続,受注またはセグメント寄与,,,,,,未入力,未完了,反映しない,入力値・出所・資料日付・公式確認済みが必要
P2: 監視・除外補完,8035.T,東京エレクトロン,C: 監視継続,PER,,,,,,未入力,未完了,反映しない,入力値・出所・資料日付・公式確認済みが必要
P2: 監視・除外補完,8035.T,東京エレクトロン,C: 監視継続,PBR,,,,,,未入力,未完了,反映しない,入力値・出所・資料日付・公式確認済みが必要
P2: 監視・除外補完,8035.T,東京エレクトロン,C: 監視継続,ROE_pct,,,,,,未入力,未完了,反映しない,入力値・出所・資料日付・公式確認済みが必要
P2: 監視・除外補完,8035.T,東京エレクトロン,C: 監視継続,営業利益率_pct,,,,,,未入力,未完了,反映しない,入力値・出所・資料日付・公式確認済みが必要
P2: 監視・除外補完,8035.T,東京エレクトロン,C: 監視継続,今期会社予想_前期比,,,,,,未入力,未完了,反映しない,入力値・出所・資料日付・公式確認済みが必要
P2: 監視・除外補完,8035.T,東京エレクトロン,C: 監視継続,参照URLまたは資料名,,,,,,未入力,未完了,反映しない,入力値・出所・資料日付・公式確認済みが必要
P2: 監視・除外補完,8035.T,東京エレクトロン,C: 監視継続,資料日付,,,,,,未入力,未完了,反映しない,入力値・出所・資料日付・公式確認済みが必要
P2: 監視・除外補完,8035.T,東京エレクトロン,C: 監視継続,入力状態,,,,,,未入力,未完了,反映しない,入力値・出所・資料日付・公式確認済みが必要
P2: 監視・除外補完,8035.T,東京エレクトロン,C: 監視継続,受注またはセグメント寄与,,,,,,未入力,未完了,反映しない,入力値・出所・資料日付・公式確認済みが必要
P2: 監視・除外補完,8035.T,東京エレクトロン,C: 監視継続,高PER説明,,,,,,未入力,未完了,反映しない,入力値・出所・資料日付・公式確認済みが必要
