updated_at,ticker,company_name,event_date,pdf_no,keyword,hit_no,number_candidates,snippet,source_url,review_status
2026/05/19 13:06,9433.T,ＫＤＤＩ,2026-05-12,1,営業利益,9,"3 / 17 / 17 / 38 / 2,204 / 26.3 / 29.3 / 5",".3期 (予) 営業利益 17 -- 17 of 38 -- パーソナルグロース 通信のお客さま基盤へのサービス浸透、接点拡大で二桁成長を目指す 2,204 26.3期 29.3期 (予) 営業利益 (単位：億円) CAGR二桁利益成長へ 事業成長を牽引する5領域 通信のお客さま基盤に浸透、収益拡大とエンゲージメント向上 ⚫ 通信のお客さま基盤へのさらなるサービス浸透 ⚫ 次世代金融サ",https://www.release.tdnet.info/inbs/140120260512524146.pdf,数値候補あり
2026/05/19 13:06,9433.T,ＫＤＤＩ,2026-05-12,1,営業利益,10,20 / 20 / 38,運用まで一括提供 ⚫ AI・トラフィック需要に対応、国内外で事業拡大 Connected* DC AI＋コネクティビティ AI-BPO ⚫ AIを駆使、お客さま体験価値向上と企業業務を変革 営業利益 (単位：億円) 20 -- 20 of 38 -- ビジネスグロース 国内外での需要拡大を捉え、成長の好循環で事業拡大を加速 国内外のAI・トラフィック需要に応え 先駆的DC事業者としての,https://www.release.tdnet.info/inbs/140120260512524146.pdf,数値候補あり
2026/05/19 13:06,9433.T,ＫＤＤＩ,2026-05-12,1,営業利益,11,40% / 3 / 5%,オ見直し ⚫ ROE/ROICスプレッドは維持向上を目指す ⚫ 配当性向40%超（調整後当期利益*3ベース） ⚫ 安定増配をベースに、自己株式取得は 成長投資と比較検討し、機動的に実施 ⚫ 営業利益：CAGR5%成長 ⇒ テレコムコア： LTV重視への構造変革の推進による安定成長 ⇒ パーソナル / ビジネスグロース： テレコムコアとの高付加価値型の好循環創出で CAGR二桁成長 前中,https://www.release.tdnet.info/inbs/140120260512524146.pdf,数値候補あり
2026/05/19 13:06,9433.T,ＫＤＤＩ,2026-05-12,1,営業利益,12,"5% / 3 株 / 26.3 / 27.3 / 60,719億円 / 64,100億円 / +5.6% / 11,518億円 / 12,100億円 / +5.0% / 1 / 7,120億円","己株式公開買付けを決議 ⚫ 発行済株式総数5%を超える自己株式消却を決議*3 株主還元 26.3期 27.3期（予） YOY 売上高 60,719億円 64,100億円 +5.6% 調整後 営業利益 11,518億円 12,100億円 +5.0% 調整後 当期利益*1 7,120億円 7,310億円 （防衛増税影響あり） +2.7% ※26.3期連結営業利益・当期利益は調整後利益*2",https://www.release.tdnet.info/inbs/140120260512524146.pdf,数値候補あり
2026/05/19 13:06,9433.T,ＫＤＤＩ,2026-05-12,1,営業利益,13,"0億円 / +5.6% / 11,518億円 / 12,100億円 / +5.0% / 1 / 7,120億円 / 7,310億円 / +2.7% / 26.3 / 2 / +527億円","0億円 +5.6% 調整後 営業利益 11,518億円 12,100億円 +5.0% 調整後 当期利益*1 7,120億円 7,310億円 （防衛増税影響あり） +2.7% ※26.3期連結営業利益・当期利益は調整後利益*2 IFRSベース実績からの調整額：営業利益+527億円、当期利益+49億円 31 -- 31 of 38 -- 27.3期 連結営業利益のポイント テレコムコアの安",https://www.release.tdnet.info/inbs/140120260512524146.pdf,数値候補あり
2026/05/19 13:06,9433.T,ＫＤＤＩ,2026-05-12,1,営業利益,14,"+5.0% / 1 / 7,120億円 / 7,310億円 / +2.7% / 26.3 / 2 / +527億円 / +49億円 / 31 / 31 / 38","億円 +5.0% 調整後 当期利益*1 7,120億円 7,310億円 （防衛増税影響あり） +2.7% ※26.3期連結営業利益・当期利益は調整後利益*2 IFRSベース実績からの調整額：営業利益+527億円、当期利益+49億円 31 -- 31 of 38 -- 27.3期 連結営業利益のポイント テレコムコアの安定成長とグロース領域の二桁成長を目指す 11,518 12,100",https://www.release.tdnet.info/inbs/140120260512524146.pdf,数値候補あり
2026/05/19 13:06,9433.T,ＫＤＤＩ,2026-05-12,1,営業利益,15,"+2.7% / 26.3 / 2 / +527億円 / +49億円 / 31 / 31 / 38 / 27.3 / 11,518 / 12,100 / +375","+2.7% ※26.3期連結営業利益・当期利益は調整後利益*2 IFRSベース実績からの調整額：営業利益+527億円、当期利益+49億円 31 -- 31 of 38 -- 27.3期 連結営業利益のポイント テレコムコアの安定成長とグロース領域の二桁成長を目指す 11,518 12,100 +375 ▲90 +226 +141 ▲70 26.3期 （調整後） 27.3期(予) （調整",https://www.release.tdnet.info/inbs/140120260512524146.pdf,数値候補あり
2026/05/19 13:06,9433.T,ＫＤＤＩ,2026-05-12,1,営業利益,16,5% / 27.3 / 27,を起点にAI労働力/AI生活力を支える新事業を創造し、 社会実装を先導するフロントランナーへ 事業戦略 ⚫ 持続的成長に向け、テレコムコアは安定成長、グロース領域はCAGR二桁成長 ⚫ 連結営業利益のCAGR5%成長を目指す ⚫ 安定増配をベースに、リターンに基づくキャピタルアロケーションを実施 ⚫ クオリティ向上に向け、資本効率経営を強化 27.3期連結業績予想 株主還元 ⚫ 27.,https://www.release.tdnet.info/inbs/140120260512524146.pdf,数値候補あり
2026/05/19 13:06,9433.T,ＫＤＤＩ,2026-05-12,1,営業利益,17,"27.3 / 27.3 / 5.0％ / 27.3 / 4円 / 84円 / 5.0％ / 3,000億円","%成長を目指す ⚫ 安定増配をベースに、リターンに基づくキャピタルアロケーションを実施 ⚫ クオリティ向上に向け、資本効率経営を強化 27.3期連結業績予想 株主還元 ⚫ 27.3期 調整後営業利益はYOY＋5.0％。中期目標達成に向け、着実な進展を目指す ⚫ 27.3期 DPSは4円増の84円(YOY＋5.0％)。事業成長に沿った安定増配へ ⚫ 総額3,000億円(上限)の自己株式取",https://www.release.tdnet.info/inbs/140120260512524146.pdf,数値候補あり
2026/05/19 13:06,9433.T,ＫＤＤＩ,2026-05-12,1,営業利益,18,"26.3 / 26.3 / 10,991 / 7,071","時実現を目指す 調整後利益の定義 ① 非経常的かつ大規模なコストの除外 －戦略的設備更改、事業構造改革 等 ② ポートフォリオ見直しに伴う一時損益の除外 －株式売却損益、のれん減損 等 連結営業利益・当期利益*より以下を調整 * 親会社の所有者に帰属する調整後当期利益 26.3期調整後利益 (単位：億円) 営業利益 当期利益* 26.3期IFRSベース実績 10,991 7,071 ①",https://www.release.tdnet.info/inbs/140120260512524146.pdf,数値候補あり
2026/05/19 13:06,9433.T,ＫＤＤＩ,2026-05-12,1,営業利益,19,"26.3 / 26.3 / 10,991 / 7,071 / +482 / +325","フォリオ見直しに伴う一時損益の除外 －株式売却損益、のれん減損 等 連結営業利益・当期利益*より以下を調整 * 親会社の所有者に帰属する調整後当期利益 26.3期調整後利益 (単位：億円) 営業利益 当期利益* 26.3期IFRSベース実績 10,991 7,071 ①非経常的かつ 大規模なコストの除外 （契約コスト減損） +482 +325 ②ポートフォリオ見直しに 伴う一時損益の除",https://www.release.tdnet.info/inbs/140120260512524146.pdf,数値候補あり
2026/05/19 13:06,9433.T,ＫＤＤＩ,2026-05-12,1,親会社,1,1 / 20.3 / 26.3 / 2 / 23.3 / 26.3 / 3 / 28 / 28 / 38,超 ⚫ 機動的な自己株式取得 持続的 成長 クオリティ 向上 *1 EPS・利益成長は事業成長による実力値。CAGRは20.3期～26.3期の期間 *2 23.3期～26.3期の期間 *3 親会社の所有者に帰属する当期利益 28 -- 28 of 38 -- サステナビリティ経営の推進 マテリアリティ解決を通じた企業価値向上 マテリアリティ 未来を創る社員の育成 全社員が高い人間力と,https://www.release.tdnet.info/inbs/140120260512524146.pdf,数値候補あり
2026/05/19 13:06,9433.T,ＫＤＤＩ,2026-05-12,1,親会社,2,2030 / 30 / 30 / 38 / 27.3 / 1 / 2 / 3 / 5% / 27.3 / 84.0円,N 2030 社是 企業理念 ブランド サ ス テ ナ ビ リ テ ィ 経 営 30 -- 30 of 38 -- 27.3期 連結業績予想 中期目標の達成に向け、着実な成長を目指す *1 親会社の所有者に帰属する調整後当期利益 *2 調整後利益の詳細についてはAppendix参照 *3 消却後の自己株式比率が5%となるよう自己株式を消却 ⚫ 27.3期 DPS84.0円 （YOY＋,https://www.release.tdnet.info/inbs/140120260512524146.pdf,数値候補あり
2026/05/19 13:06,9433.T,ＫＤＤＩ,2026-05-12,1,親会社,3,"26.3 / 26.3 / 10,991 / 7,071","経常的かつ大規模なコストの除外 －戦略的設備更改、事業構造改革 等 ② ポートフォリオ見直しに伴う一時損益の除外 －株式売却損益、のれん減損 等 連結営業利益・当期利益*より以下を調整 * 親会社の所有者に帰属する調整後当期利益 26.3期調整後利益 (単位：億円) 営業利益 当期利益* 26.3期IFRSベース実績 10,991 7,071 ①非経常的かつ 大規模なコストの除外 （",https://www.release.tdnet.info/inbs/140120260512524146.pdf,数値候補あり
2026/05/19 13:06,9433.T,ＫＤＤＩ,2026-05-12,1,EPS,1,26.3 / 20.3 / 26.3 / 2.9％ / 27.3 / 29.3 / 5.0％,同様。定義はAppendix参照 * 事業成長による実力値：26.3期架空循環取引に伴う外部流出額、契約コスト減損除き テレコムコア 前中期経営戦略を超える事業成長を目指す 前中期経営戦略 EPS目標期間（20.3～26.3期） 営業利益*成長 ： CAGR 2.9％ 中期経営戦略予想 （27.3～29.3期） 営業利益成長 ： CAGR 5.0％ 効果的なコスト投下による 成長加速,https://www.release.tdnet.info/inbs/140120260512524146.pdf,数値候補あり
2026/05/19 13:06,9433.T,ＫＤＤＩ,2026-05-12,1,EPS,2,19.3 / 1.5倍 / 1 / 2.9％ / 1 / 3.2％ / 1,LTV重視への構造変革の推進による安定成長 ⇒ パーソナル / ビジネスグロース： テレコムコアとの高付加価値型の好循環創出で CAGR二桁成長 前中期経営戦略（結果） 新中期経営戦略 ⚫ EPS：19.3期比1.5倍実質達成*1 ⇒ 利益成長：CAGR 2.9％*1 ＋還元貢献：CAGR 3.2％*1 ⚫ モバイル収入の底打ち反転を実現 ⚫ 金融・ビジネスセグメントの二桁成長を達成,https://www.release.tdnet.info/inbs/140120260512524146.pdf,数値候補あり
2026/05/19 13:06,9433.T,ＫＤＤＩ,2026-05-12,1,EPS,3,11.8％ / 2 / 40% / 1 / 20.3 / 26.3 / 2 / 23.3 / 26.3 / 3 / 28 / 28,コントロールし、 AI・DC等の次世代投資も強化 （CAPEX to Sales 平均11.8％*2） ⚫ 配当性向40%超 ⚫ 機動的な自己株式取得 持続的 成長 クオリティ 向上 *1 EPS・利益成長は事業成長による実力値。CAGRは20.3期～26.3期の期間 *2 23.3期～26.3期の期間 *3 親会社の所有者に帰属する当期利益 28 -- 28 of 38 -- サス,https://www.release.tdnet.info/inbs/140120260512524146.pdf,数値候補あり
2026/05/19 13:06,9433.T,ＫＤＤＩ,2026-05-12,1,配当,1,2.0倍 / 12％ / 1,2.0倍目安にコントロール 規律に基づき、 事業ポートフォリオを見直し 営業CF ダイベストメント レバレッジ活用 成長領域への投資 （M&A等） 設備投資 リース 株主還元 自己株式取得 配当 基礎FCF 事業運営上、 必要な設備投資を確保 CAPEX to Sales 12％以下を意識し コントロール 事業成長に沿った 安定増配 リターンに基づき 成長投資と比較検討 *1 金融,https://www.release.tdnet.info/inbs/140120260512524146.pdf,数値候補あり
2026/05/19 13:06,9433.T,ＫＤＤＩ,2026-05-12,1,配当,2,2.5 / 80.0 / 84.0 / 02.3 / 04.3 / 06.3 / 08.3 / 10.3 / 12.3 / 14.3 / 16.3 / 18.3,2.5 80.0 84.0 02.3期 04.3期 06.3期 08.3期 10.3期 12.3期 14.3期 16.3期 18.3期 20.3期 22.3期 24.3期 27.3期(予) 配当方針 (単位 : 円) ⚫ 事業成長に沿った安定増配 ⚫ 連結配当性向は調整後ベースで40%超を維持する方針 26.3期で24期連続増配。事業成長に沿った安定増配にこだわる 26 -- 26,https://www.release.tdnet.info/inbs/140120260512524146.pdf,数値候補あり
2026/05/19 13:06,9433.T,ＫＤＤＩ,2026-05-12,1,配当,3,8.3 / 10.3 / 12.3 / 14.3 / 16.3 / 18.3 / 20.3 / 22.3 / 24.3 / 27.3 / 40% / 26.3,8.3期 10.3期 12.3期 14.3期 16.3期 18.3期 20.3期 22.3期 24.3期 27.3期(予) 配当方針 (単位 : 円) ⚫ 事業成長に沿った安定増配 ⚫ 連結配当性向は調整後ベースで40%超を維持する方針 26.3期で24期連続増配。事業成長に沿った安定増配にこだわる 26 -- 26 of 38 -- 資本効率経営の強化 資本効率経営をコミットする,https://www.release.tdnet.info/inbs/140120260512524146.pdf,数値候補あり
2026/05/19 13:06,9433.T,ＫＤＤＩ,2026-05-12,1,配当,4,12％ / 40% / 3 / 5%,to Sales 12％以下を意識しコントロール ⚫ 成長投資に向けたレバレッジ活用 ⚫ 規律ある成長投資と事業ポートフォリオ見直し ⚫ ROE/ROICスプレッドは維持向上を目指す ⚫ 配当性向40%超（調整後当期利益*3ベース） ⚫ 安定増配をベースに、自己株式取得は 成長投資と比較検討し、機動的に実施 ⚫ 営業利益：CAGR5%成長 ⇒ テレコムコア： LTV重視への構造変,https://www.release.tdnet.info/inbs/140120260512524146.pdf,数値候補あり
2026/05/19 13:06,9433.T,ＫＤＤＩ,2026-05-12,1,配当,5,11.8％ / 2 / 40% / 1 / 20.3 / 26.3 / 2 / 23.3 / 26.3,打ち反転を実現 ⚫ 金融・ビジネスセグメントの二桁成長を達成 ⚫ 設備投資の水準をコントロールし、 AI・DC等の次世代投資も強化 （CAPEX to Sales 平均11.8％*2） ⚫ 配当性向40%超 ⚫ 機動的な自己株式取得 持続的 成長 クオリティ 向上 *1 EPS・利益成長は事業成長による実力値。CAGRは20.3期～26.3期の期間 *2 23.3期～26.3期の期,https://www.release.tdnet.info/inbs/140120260512524146.pdf,数値候補あり
2026/05/19 13:06,9433.T,ＫＤＤＩ,2026-05-12,1,業績予想,1,2030 / 30 / 30 / 38 / 27.3 / 1 / 2 / 3 / 5%,る会社」 アップデート アップデート KDDI VISION 2030 社是 企業理念 ブランド サ ス テ ナ ビ リ テ ィ 経 営 30 -- 30 of 38 -- 27.3期 連結業績予想 中期目標の達成に向け、着実な成長を目指す *1 親会社の所有者に帰属する調整後当期利益 *2 調整後利益の詳細についてはAppendix参照 *3 消却後の自己株式比率が5%となるよう自己,https://www.release.tdnet.info/inbs/140120260512524146.pdf,数値候補あり
2026/05/19 13:06,9433.T,ＫＤＤＩ,2026-05-12,1,業績予想,2,5% / 27.3 / 27.3 / 5.0％ / 27.3 / 4円 / 84円 / 5.0％,GR二桁成長 ⚫ 連結営業利益のCAGR5%成長を目指す ⚫ 安定増配をベースに、リターンに基づくキャピタルアロケーションを実施 ⚫ クオリティ向上に向け、資本効率経営を強化 27.3期連結業績予想 株主還元 ⚫ 27.3期 調整後営業利益はYOY＋5.0％。中期目標達成に向け、着実な進展を目指す ⚫ 27.3期 DPSは4円増の84円(YOY＋5.0％)。事業成長に沿った安定増配へ,https://www.release.tdnet.info/inbs/140120260512524146.pdf,数値候補あり
2026/05/19 13:06,9433.T,ＫＤＤＩ,2026-05-12,1,ROE,1,3,本効率経営をコミットするために役員報酬の評価指標に追加 資本効率性の向上策 役員報酬改定 持続的利益成長 規律ある成長投資 ダイベストメント レバレッジ活用 ROICの向上 WACCの低減 ROEとROICスプレッドを指標化し、維持・向上 ROEの向上 TSR*(3年間) ＋ ROICスプレッド(中期終了年度) 収益・利益成長率・ KPI・ROE 基本報酬 会社業績連動 （単年度）,https://www.release.tdnet.info/inbs/140120260512524146.pdf,数値候補あり
2026/05/19 13:06,9433.T,ＫＤＤＩ,2026-05-12,1,ROE,2,3,追加 資本効率性の向上策 役員報酬改定 持続的利益成長 規律ある成長投資 ダイベストメント レバレッジ活用 ROICの向上 WACCの低減 ROEとROICスプレッドを指標化し、維持・向上 ROEの向上 TSR*(3年間) ＋ ROICスプレッド(中期終了年度) 収益・利益成長率・ KPI・ROE 基本報酬 会社業績連動 （単年度） クオリティ連動 （中期毎） 役位 変更 変更 固定,https://www.release.tdnet.info/inbs/140120260512524146.pdf,数値候補あり
2026/05/19 13:06,9433.T,ＫＤＤＩ,2026-05-12,1,ROE,3,3,活用 ROICの向上 WACCの低減 ROEとROICスプレッドを指標化し、維持・向上 ROEの向上 TSR*(3年間) ＋ ROICスプレッド(中期終了年度) 収益・利益成長率・ KPI・ROE 基本報酬 会社業績連動 （単年度） クオリティ連動 （中期毎） 役位 変更 変更 固定報酬 （現金） 変動報酬 （現金） 変動報酬 （株式） キャピタルアロケーションを実践 役員報酬の評価,https://www.release.tdnet.info/inbs/140120260512524146.pdf,数値候補あり
2026/05/19 13:06,9433.T,ＫＤＤＩ,2026-05-12,1,ROE,4,27 / 27 / 38,連動 （単年度） クオリティ連動 （中期毎） 役位 変更 変更 固定報酬 （現金） 変動報酬 （現金） 変動報酬 （株式） キャピタルアロケーションを実践 役員報酬の評価指標に資本効率性 （ROE・ROICスプレッド）を追加 * TOPIX及びピアグループとの相対比較の両面で評価 安定増配 27 -- 27 of 38 -- 中期財務目標 前中期を基盤に、持続的成長とさらなるクオリテ,https://www.release.tdnet.info/inbs/140120260512524146.pdf,数値候補あり
2026/05/19 13:06,9433.T,ＫＤＤＩ,2026-05-12,1,ROE,5,12％ / 40% / 3 / 5,るクオリティ向上を目指す ⚫ 設備投資はCAPEX to Sales 12％以下を意識しコントロール ⚫ 成長投資に向けたレバレッジ活用 ⚫ 規律ある成長投資と事業ポートフォリオ見直し ⚫ ROE/ROICスプレッドは維持向上を目指す ⚫ 配当性向40%超（調整後当期利益*3ベース） ⚫ 安定増配をベースに、自己株式取得は 成長投資と比較検討し、機動的に実施 ⚫ 営業利益：CAGR5,https://www.release.tdnet.info/inbs/140120260512524146.pdf,数値候補あり
2026/05/19 13:06,9433.T,ＫＤＤＩ,2026-05-12,1,FCF,1,1 / 27.3 / 29.3 / 2 / 2.0倍,安定増配をベースに、リターンに基づくキャピタルアロケーションを実行 キャピタルアロケーションポリシー*1 （27.3期～29.3期） キャッシュ創出 キャッシュ配分 持続的な利益成長・ 基礎FCF*2の拡大 Net Debt EBITDA 2.0倍目安にコントロール 規律に基づき、 事業ポートフォリオを見直し 営業CF ダイベストメント レバレッジ活用 成長領域への投資 （M&A等）,https://www.release.tdnet.info/inbs/140120260512524146.pdf,数値候補あり
2026/05/19 13:06,9433.T,ＫＤＤＩ,2026-05-12,1,FCF,2,12％ / 1,安にコントロール 規律に基づき、 事業ポートフォリオを見直し 営業CF ダイベストメント レバレッジ活用 成長領域への投資 （M&A等） 設備投資 リース 株主還元 自己株式取得 配当 基礎FCF 事業運営上、 必要な設備投資を確保 CAPEX to Sales 12％以下を意識し コントロール 事業成長に沿った 安定増配 リターンに基づき 成長投資と比較検討 *1 金融事業除き *,https://www.release.tdnet.info/inbs/140120260512524146.pdf,数値候補あり
2026/05/19 13:06,9433.T,ＫＤＤＩ,2026-05-12,1,FCF,3,12％ / 1 / 2 / 23 / 23 / 38,営上、 必要な設備投資を確保 CAPEX to Sales 12％以下を意識し コントロール 事業成長に沿った 安定増配 リターンに基づき 成長投資と比較検討 *1 金融事業除き *2 基礎FCF = 「営業CF」–「設備投資」–「リース」+「税引後純利息支払額」。キャッシュ配分先の元利返済は上記では記載を省略 規律に基づき、積極検討 23 -- 23 of 38 -- さらなる成長,https://www.release.tdnet.info/inbs/140120260512524146.pdf,数値候補あり
