updated_at,ticker,company,period_type,period,release_date,source_kind,verified_status,local_text_status,sales_million_yen,sales_yoy_pct,profit_metric,profit_million_yen,profit_yoy_pct,net_profit_million_yen,net_profit_yoy_pct,eps_yen,prior_eps_yen,eps_yoy_calc_pct,source_url,note
2026/05/24 12:21,7012.T,川崎重工業,最新,2026年3月期,2026-05-12,TDnet PDF,公式PDF確認済,抽出成功,2308744,25.2,事業利益,182368,41.3,111671,62.1,663.76,409.23,62.2,https://www2.jpx.co.jp/disc/70120/140120260511523885.pdf,売上収益・事業利益とも伸長。重工/防衛テーマとして扱うが、受注残と為替影響は別確認。
2026/05/24 12:21,7012.T,川崎重工業,1つ前,2026年3月期3Q,2026-02-09,TDnet PDF,公式PDF確認済,抽出成功,1561403,10.9,事業利益,82437,4.3,65853,49.1,393.97,263.64,49.4,https://www2.jpx.co.jp/disc/70120/140120260205548511.pdf,3Q時点では事業利益の伸びが小さく、通期で伸びが強まった形。
2026/05/24 12:21,8306.T,三菱UFJ FG,最新,2026年3月期,2026-05-15,公式PDF,公式PDF確認済,抽出成功,13512912,3.6,経常利益,2912738,24.1,2117610,21.8,181.68,145.41,24.9,https://www.mufg.jp/dam/ir/fs/2025/pdf/summary2603_ja.pdf,銀行のため売上欄は経常収益。金利上昇メリットと信用コストを別枠で確認。
2026/05/24 12:21,8306.T,三菱UFJ FG,1つ前,2026年3月期3Q,2026-02-09,公式PDF,公式PDF確認済,抽出成功,10643805,3.6,経常利益,2509250,3.6,1813508,3.7,158.89,149.85,6,https://www.mufg.jp/dam/ir/fs/2025/pdf/summary2512_ja.pdf,3Q時点から通期で利益伸びが強まった。一般事業会社とは別指標で扱う。
2026/05/24 12:21,6762.T,TDK,最新,2026年3月期,2026-04-28,公式PDF,公式PDF確認済,抽出成功,2411073,3,営業利益,248358,13.8,177263,16.8,91.34,78.04,17,https://www.tdk.com/system/files/2026042800_0mqf56xw_ja.pdf,売上成長は小さいが利益成長は継続。電子部品・電池テーマとして株価過熱も確認。
2026/05/24 12:21,6762.T,TDK,1つ前,2026年3月期3Q,2026-02-02,公式PDF,公式PDF確認済,抽出成功,1808318,0.8,営業利益,196055,13.7,141050,11.2,72.61,65.35,11.1,https://www.tdk.com/system/files/2026020200_tpcdg8if_ja.pdf,3Q時点から売上・EPSの伸びはやや改善。
2026/05/24 12:21,5802.T,住友電工,最新,2026年3月期,2026-05-14,公式PDF,公式PDF確認済,抽出成功,4880643,3.9,営業利益,310607,14.3,217438,14.2,277.86,243.83,14,https://sumitomoelectric.com/jp/sites/japan/files/2026-05/download_documents/2025_allv.pdf,電線・車載関連。通期では3Qより利益成長が鈍化しているため過熱確認が必要。
2026/05/24 12:21,5802.T,住友電工,1つ前,2026年3月期3Q,2026-02-04,公式PDF,公式PDF確認済,抽出成功,3675562,4.2,営業利益,258833,19.4,163778,19.5,209.33,175.23,19.5,https://sumitomoelectric.com/jp/sites/japan/files/2026-02/download_documents/2025_3.pdf,3Q時点の利益伸びは強かったが、通期では伸び率が低下。
2026/05/24 12:21,6146.T,ディスコ,最新,2026年3月期,2026-04-22,公式PDF,公式PDF確認済,抽出成功,431965,36.4,営業利益,166189,47.6,117169,36,1082.34,795.78,36,https://www.disco.co.jp/jp/ir/library/doc/fr/fr20260422.pdf,半導体製造装置の高収益銘柄。PBRが高いため割高耐性の確認が必須。
2026/05/24 12:21,6146.T,ディスコ,1つ前,2026年3月期3Q,2026-01-21,公式PDF,公式PDF確認済,抽出成功,331485,48.4,営業利益,129788,58.3,91247,45.7,843.05,578.56,45.7,https://www.disco.co.jp/jp/ir/library/doc/fr/fr20260121.pdf,3Q時点の伸びが非常に強く、通期では伸び率がやや鈍化。
